Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2017-04-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,23.83982,668
DISALEXI,2017-04-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
DISALEXI,2017-04-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,73.782578,39743
DISALEXI,2017-04-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,77.955904,9502
DISALEXI,2017-04-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,66.999561,157189
DISALEXI,2017-04-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,66.145279,74278
DISALEXI,2017-04-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,52.595881,9710
DISALEXI,2017-04-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
DISALEXI,2017-04-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
DISALEXI,2017-04-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,88.505182,5982
DISALEXI,2017-04-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,59.412665,2353
DISALEXI,2017-04-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,53.105919,1605
DISALEXI,2017-04-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,70.394687,137884
DISALEXI,2017-04-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,58.344841,48489
DISALEXI,2017-04-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,111.874332,374
DISALEXI,2017-04-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
DISALEXI,2017-04-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,63.254511,7870
DISALEXI,2017-04-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
DISALEXI,2017-04-01,5-054,5-054,ASH VALLEY,ASH VALLEY,68.50587,12096
DISALEXI,2017-04-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
DISALEXI,2017-04-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,101.127869,1830
