Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2005-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,35.642216,668
PTJPL,2005-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
PTJPL,2005-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,57.247113,39743
PTJPL,2005-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,58.390655,9502
PTJPL,2005-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,47.199551,158721
PTJPL,2005-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,46.72902,74142
PTJPL,2005-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,46.406731,9746
PTJPL,2005-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
PTJPL,2005-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
PTJPL,2005-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,32.915747,5982
PTJPL,2005-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,49.082873,2353
PTJPL,2005-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,36.28162,1605
PTJPL,2005-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,40.06689,137884
PTJPL,2005-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,56.377632,48489
PTJPL,2005-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,63.732342,538
PTJPL,2005-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
PTJPL,2005-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,41.893393,7870
PTJPL,2005-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
PTJPL,2005-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,45.512395,11739
PTJPL,2005-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
PTJPL,2005-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,62.523708,1877
