Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2008-03-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,74.026087,230
SIMS,2008-03-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SIMS,2008-03-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,54.6475,37356
SIMS,2008-03-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,53.11921,9068
SIMS,2008-03-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,36.720682,147817
SIMS,2008-03-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,36.587625,66796
SIMS,2008-03-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,64.886826,9048
SIMS,2008-03-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SIMS,2008-03-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SIMS,2008-03-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,73.436917,4930
SIMS,2008-03-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,61.772517,1943
SIMS,2008-03-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,85.154665,1597
SIMS,2008-03-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,45.723956,98140
SIMS,2008-03-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,28.238937,40496
SIMS,2008-03-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,88.629126,515
SIMS,2008-03-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SIMS,2008-03-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,62.984307,5544
SIMS,2008-03-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SIMS,2008-03-01,5-054,5-054,ASH VALLEY,ASH VALLEY,22.969828,5767
SIMS,2008-03-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SIMS,2008-03-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,48.94602,1834
SIMS,2008-03-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,97.333333,18
SIMS,2008-03-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,61.065041,123
SIMS,2008-03-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,68.680392,510
SIMS,2008-03-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SIMS,2008-03-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SIMS,2008-03-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SIMS,2008-03-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,85.68,25
SIMS,2008-03-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SIMS,2008-03-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SIMS,2008-03-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,60.762431,905
SIMS,2008-03-01,5-015,5-015,BIG VALLEY,BIG VALLEY,62.16093,30013
SIMS,2008-03-01,5-004,5-004,BIG VALLEY,BIG VALLEY,39.897833,153553
SIMS,2008-03-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,57.714115,7517
SIMS,2008-03-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SIMS,2008-03-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,74.786008,972
SIMS,2008-03-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,,0
SIMS,2008-03-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,79.226819,10224
SIMS,2008-03-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,78.0,2
SIMS,2008-03-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SIMS,2008-03-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,33.228539,2656
SIMS,2008-03-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,5.012036,43036
SIMS,2008-03-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,58.714286,7
SIMS,2008-03-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,23.8812,867
SIMS,2008-03-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
SIMS,2008-03-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
