Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,Pixel_Count,ET_MM,ET_INCH
SIMS,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,82.525487,3.249035
SIMS,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,35.43549,1.395098
SIMS,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,0,,
SIMS,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,0,,
SIMS,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,30041,47.370827,1.864993
SIMS,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35318,105.703579,4.161558
SIMS,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,106.447754,4.190856
SIMS,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,134.655016,5.301379
SIMS,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,139.552077,5.494176
SIMS,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35331,146.616456,5.772301
SIMS,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,126.869398,4.994858
SIMS,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,94.667109,3.727052
SIMS,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35390,64.625996,2.544331
SIMS,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35389,46.133827,1.816292
SIMS,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35386,36.151614,1.423292
SIMS,2025-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,25.329714,0.997233
SIMS,2025-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,29.496445,1.161277
SIMS,2025-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,48.052775,1.891842
SIMS,2025-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,74.426749,2.930187
SIMS,2025-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,86.743455,3.415097
SIMS,2025-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,96.044342,3.781273
SIMS,2025-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,89.967177,3.542015
SIMS,2025-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,81.856915,3.222713
SIMS,2025-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,66.480488,2.617342
SIMS,2025-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,52.801135,2.078785
SIMS,2025-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,26.693408,1.050922
SIMS,2025-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36286,16.44593,0.647478
SIMS,2003-10-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,31.191205,1.228
SIMS,2003-11-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295383,22.645003,0.891536
SIMS,2003-12-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,196942,17.07653,0.672304
SIMS,2004-01-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,197261,18.599708,0.732272
SIMS,2004-02-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,25.128133,0.989297
SIMS,2004-03-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,28.8153,1.134461
SIMS,2004-04-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,48.374975,1.904527
SIMS,2004-05-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,85.222552,3.355219
SIMS,2004-06-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,129.252708,5.088689
SIMS,2004-07-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,160.130775,6.304361
SIMS,2004-08-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,105.475344,4.152573
SIMS,2004-09-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,58.226283,2.292373
SIMS,2004-10-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,39.520042,1.555907
SIMS,2004-11-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,295630,20.410868,0.803577
SIMS,2004-12-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,286576,19.34684,0.761687
SIMS,2025-01-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,10.435344,0.41084
SIMS,2025-02-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,25.742279,1.013476
SIMS,2025-03-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,34.303247,1.350522
SIMS,2025-04-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,61.183426,2.408796
SIMS,2025-05-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,97.094156,3.822605
SIMS,2025-06-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,125.830189,4.953944
SIMS,2025-07-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,153.668584,6.049944
SIMS,2025-08-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296359,127.269244,5.0106
