Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,Pixel_Count,ET_MM,ET_INCH
SSEBOP,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,70.770432,2.786237
SSEBOP,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,21.755912,0.856532
SSEBOP,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,0,,
SSEBOP,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,0,,
SSEBOP,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,30823,40.924277,1.611192
SSEBOP,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36291,93.781351,3.692179
SSEBOP,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,98.049197,3.860205
SSEBOP,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,117.337504,4.619587
SSEBOP,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,124.347652,4.895577
SSEBOP,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36277,126.234115,4.969847
SSEBOP,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,107.374271,4.227334
SSEBOP,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,82.608266,3.252294
SSEBOP,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,52.976763,2.085699
SSEBOP,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36346,36.620563,1.441754
SSEBOP,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36297,29.338127,1.155044
SSEBOP,2025-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,25.564322,1.006469
SSEBOP,2025-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,23.341189,0.918944
SSEBOP,2025-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,39.25132,1.545328
SSEBOP,2025-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,65.925806,2.595504
SSEBOP,2025-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,76.28718,3.003432
SSEBOP,2025-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36362,89.983747,3.542667
SSEBOP,2025-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,80.247113,3.159335
SSEBOP,2025-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,70.440931,2.773265
SSEBOP,2025-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,55.458503,2.183406
SSEBOP,2025-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,42.584644,1.676561
SSEBOP,2025-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,23.085937,0.908895
SSEBOP,2025-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36364,15.483225,0.609576
SSEBOP,2003-10-01,1-002.01,1-002,KLAMATH RIVER VALLEY,KLAMATH RIVER VALLEY - TULELAKE,296556,31.877001,1.255
