Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
DISALEXI,2015-06-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,26.100745,37173
DISALEXI,2015-06-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,11.89396,179169
DISALEXI,2015-06-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,117.278113,110092
DISALEXI,2015-06-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,94.739256,29366
DISALEXI,2015-06-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,77.153599,509333
DISALEXI,2015-06-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,74.803552,304600
DISALEXI,2015-06-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,76.554527,30572
DISALEXI,2015-06-01,7-016,7-016,AMES VALLEY,AMES VALLEY,6.400782,487562
DISALEXI,2015-06-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,10.25193,584286
DISALEXI,2015-06-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,77.276983,22366
DISALEXI,2015-06-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,135.729049,38900
DISALEXI,2015-06-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,9.64218,9175
DISALEXI,2015-06-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,9.059876,4539309
DISALEXI,2015-06-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,85.424455,89741
DISALEXI,2015-06-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,151.862436,2915
DISALEXI,2015-06-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,113.440154,1295
DISALEXI,2015-06-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,90.540179,17646
DISALEXI,2015-06-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,3.58385,1152300
DISALEXI,2015-06-01,5-054,5-054,ASH VALLEY,ASH VALLEY,79.98412,27015
DISALEXI,2015-06-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,1.362458,124166
DISALEXI,2015-06-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,162.191372,8669
DISALEXI,2015-06-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,107.636173,3334
DISALEXI,2015-06-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,57.68771,77332
DISALEXI,2015-06-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,13.395783,40934
DISALEXI,2015-06-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,42.538589,5442
DISALEXI,2015-06-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,4.643788,175679
DISALEXI,2015-06-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,3.790417,402232
DISALEXI,2015-06-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,208.910146,23516
DISALEXI,2015-06-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,73.724169,63296
DISALEXI,2015-06-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,181.737283,6920
DISALEXI,2015-06-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,0.282275,32897
DISALEXI,2015-06-01,5-015,5-015,BIG VALLEY,BIG VALLEY,107.95969,105433
DISALEXI,2015-06-01,5-004,5-004,BIG VALLEY,BIG VALLEY,77.713421,413691
DISALEXI,2015-06-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,9.870564,144867
DISALEXI,2015-06-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,2.574993,138327
DISALEXI,2015-06-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,16.788773,9994
DISALEXI,2015-06-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,150.944832,5021
DISALEXI,2015-06-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,7.452117,282155
DISALEXI,2015-06-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,3.927942,405078
DISALEXI,2015-06-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,123.610708,6201
DISALEXI,2015-06-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,81.957003,36119
DISALEXI,2015-06-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,63.061958,144017
DISALEXI,2015-06-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,2.246211,2234028
DISALEXI,2015-06-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,17.099529,14006
DISALEXI,2015-06-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,5.067911,413087
DISALEXI,2015-06-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,0.994,97673
DISALEXI,2015-06-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,24.088171,31076
DISALEXI,2015-06-01,6-101,6-101,BULL FLAT,BULL FLAT,18.048982,78416
DISALEXI,2015-06-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,82.576359,10575
DISALEXI,2015-06-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,49.167467,12910
DISALEXI,2015-06-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,42.171547,14515
DISALEXI,2015-06-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,73.049509,358135
DISALEXI,2015-06-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,1.659913,39581
DISALEXI,2015-06-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,6.15361,31593
DISALEXI,2015-06-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,1.13137,1213309
DISALEXI,2015-06-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,3.337874,35753
DISALEXI,2015-06-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,28.779222,81720
DISALEXI,2015-06-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,4.470303,261304
DISALEXI,2015-06-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,8.056541,340228
DISALEXI,2015-06-01,6-061,6-061,CAMEO AREA,CAMEO AREA,6.484776,41842
DISALEXI,2015-06-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,32.974532,15902
DISALEXI,2015-06-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,3.463348,24310
