Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2009-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,18.805881,37173
EEMETRIC,2009-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,7.220725,179273
EEMETRIC,2009-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,41.120056,110099
EEMETRIC,2009-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,24.374889,29366
EEMETRIC,2009-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,29.09236,513210
EEMETRIC,2009-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,20.415546,305817
EEMETRIC,2009-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,54.824175,30445
EEMETRIC,2009-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,3.295015,486067
EEMETRIC,2009-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,4.001703,584286
EEMETRIC,2009-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,36.891308,22366
EEMETRIC,2009-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,36.474216,38900
EEMETRIC,2009-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,8.503651,9175
EEMETRIC,2009-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,7.154239,4540837
EEMETRIC,2009-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,33.003254,89741
EEMETRIC,2009-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,63.957382,3590
EEMETRIC,2009-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,51.788625,3534
EEMETRIC,2009-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,52.050436,17646
EEMETRIC,2009-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,6.870159,1152313
EEMETRIC,2009-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,16.320637,27015
EEMETRIC,2009-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,0.885895,124166
EEMETRIC,2009-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,63.810605,8675
EEMETRIC,2009-10-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,55.502999,3334
EEMETRIC,2009-10-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,46.916307,86029
EEMETRIC,2009-10-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,6.849196,40934
EEMETRIC,2009-10-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,10.709255,6191
EEMETRIC,2009-10-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,3.378469,175679
EEMETRIC,2009-10-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,1.505238,402232
EEMETRIC,2009-10-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,79.567897,57764
EEMETRIC,2009-10-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,37.659439,63551
EEMETRIC,2009-10-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,63.505671,7582
EEMETRIC,2009-10-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,6.36821,32897
EEMETRIC,2009-10-01,5-015,5-015,BIG VALLEY,BIG VALLEY,34.562626,108957
EEMETRIC,2009-10-01,5-004,5-004,BIG VALLEY,BIG VALLEY,27.744893,413987
EEMETRIC,2009-10-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,10.791975,144867
EEMETRIC,2009-10-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,0.558864,138327
EEMETRIC,2009-10-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,6.653792,9994
EEMETRIC,2009-10-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,40.722672,10136
EEMETRIC,2009-10-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,6.309107,282155
