Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
ENSEMBLE,2015-12-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,14.457752,37173
ENSEMBLE,2015-12-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,5.085465,177008
ENSEMBLE,2015-12-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,17.84625,110075
ENSEMBLE,2015-12-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,15.047252,29163
ENSEMBLE,2015-12-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,11.86033,79480
ENSEMBLE,2015-12-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,,0
ENSEMBLE,2015-12-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,14.048278,27880
ENSEMBLE,2015-12-01,7-016,7-016,AMES VALLEY,AMES VALLEY,2.741905,486537
ENSEMBLE,2015-12-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,4.790127,584286
ENSEMBLE,2015-12-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,18.177447,18490
ENSEMBLE,2015-12-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,20.170463,38900
ENSEMBLE,2015-12-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,11.405886,9175
ENSEMBLE,2015-12-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,7.14859,4539524
ENSEMBLE,2015-12-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,14.131148,88846
ENSEMBLE,2015-12-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,24.484123,3590
ENSEMBLE,2015-12-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,13.994363,3016
ENSEMBLE,2015-12-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,25.796838,17646
ENSEMBLE,2015-12-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,4.66696,1152313
ENSEMBLE,2015-12-01,5-054,5-054,ASH VALLEY,ASH VALLEY,7.277265,10838
ENSEMBLE,2015-12-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,5.625429,124166
ENSEMBLE,2015-12-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,19.150184,8696
ENSEMBLE,2015-12-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,24.19976,3334
ENSEMBLE,2015-12-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,25.57015,29159
ENSEMBLE,2015-12-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,9.204304,40934
ENSEMBLE,2015-12-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,8.740753,6191
ENSEMBLE,2015-12-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,2.7165,175679
ENSEMBLE,2015-12-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,3.81113,402219
ENSEMBLE,2015-12-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,17.037389,57290
ENSEMBLE,2015-12-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,26.246998,21154
ENSEMBLE,2015-12-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,23.216302,7582
ENSEMBLE,2015-12-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,22.697674,11352
ENSEMBLE,2015-12-01,5-015,5-015,BIG VALLEY,BIG VALLEY,14.33736,108291
ENSEMBLE,2015-12-01,5-004,5-004,BIG VALLEY,BIG VALLEY,8.879555,14928
ENSEMBLE,2015-12-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,18.98353,144867
ENSEMBLE,2015-12-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,4.575911,138327
ENSEMBLE,2015-12-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,8.31639,9994
ENSEMBLE,2015-12-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,13.715998,10095
ENSEMBLE,2015-12-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,4.45732,282155
ENSEMBLE,2015-12-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,3.098628,405078
ENSEMBLE,2015-12-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,22.168521,6201
ENSEMBLE,2015-12-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,6.679708,36039
ENSEMBLE,2015-12-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,11.470862,137310
ENSEMBLE,2015-12-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,2.841249,2234028
ENSEMBLE,2015-12-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,18.014003,14140
ENSEMBLE,2015-12-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,4.367349,413087
ENSEMBLE,2015-12-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,8.141431,97673
ENSEMBLE,2015-12-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,8.601944,31076
ENSEMBLE,2015-12-01,6-101,6-101,BULL FLAT,BULL FLAT,10.465296,77166
ENSEMBLE,2015-12-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,10.340108,10579
ENSEMBLE,2015-12-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,11.966806,12924
ENSEMBLE,2015-12-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,12.719335,481
ENSEMBLE,2015-12-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,7.058488,240236
