Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
GEESEBAL,2010-04-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,53.651521,37173
GEESEBAL,2010-04-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,6.705084,179258
GEESEBAL,2010-04-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,69.777764,110099
GEESEBAL,2010-04-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,49.200402,29366
GEESEBAL,2010-04-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,52.695116,513126
GEESEBAL,2010-04-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,54.587087,305202
GEESEBAL,2010-04-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,78.235639,30568
GEESEBAL,2010-04-01,7-016,7-016,AMES VALLEY,AMES VALLEY,4.933081,487562
GEESEBAL,2010-04-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,23.861354,584286
GEESEBAL,2010-04-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,77.191451,22366
GEESEBAL,2010-04-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,98.210463,38900
GEESEBAL,2010-04-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,48.926213,9175
GEESEBAL,2010-04-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,22.054848,4541527
GEESEBAL,2010-04-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,44.345127,89741
GEESEBAL,2010-04-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,111.797994,3589
GEESEBAL,2010-04-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,79.238823,3534
GEESEBAL,2010-04-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,101.0565,17646
GEESEBAL,2010-04-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,9.45738,1152313
GEESEBAL,2010-04-01,5-054,5-054,ASH VALLEY,ASH VALLEY,70.065985,26976
GEESEBAL,2010-04-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,13.184286,124166
GEESEBAL,2010-04-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,111.924478,8951
GEESEBAL,2010-04-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,121.241452,3334
GEESEBAL,2010-04-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,80.48223,74956
GEESEBAL,2010-04-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,30.799946,40934
GEESEBAL,2010-04-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,69.551446,6191
GEESEBAL,2010-04-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,2.281388,175679
GEESEBAL,2010-04-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,20.366577,402232
GEESEBAL,2010-04-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,95.517688,57695
GEESEBAL,2010-04-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,103.485079,53715
GEESEBAL,2010-04-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,103.236575,7579
GEESEBAL,2010-04-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,76.734596,32897
GEESEBAL,2010-04-01,5-015,5-015,BIG VALLEY,BIG VALLEY,51.665446,108957
GEESEBAL,2010-04-01,5-004,5-004,BIG VALLEY,BIG VALLEY,66.337302,413819
GEESEBAL,2010-04-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,44.292945,144867
GEESEBAL,2010-04-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,21.19811,138327
GEESEBAL,2010-04-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,33.728837,9994
GEESEBAL,2010-04-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,78.510162,10136
GEESEBAL,2010-04-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,14.490245,282155
GEESEBAL,2010-04-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,5.34411,405077
GEESEBAL,2010-04-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,81.275439,6201
GEESEBAL,2010-04-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,99.920208,36119
