Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2011-04-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,52.913997,37173
SSEBOP,2011-04-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,6.540503,179207
SSEBOP,2011-04-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,65.925603,110099
SSEBOP,2011-04-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,56.417524,29366
SSEBOP,2011-04-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,33.464943,513209
SSEBOP,2011-04-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,30.829777,305817
SSEBOP,2011-04-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,48.071475,30570
SSEBOP,2011-04-01,7-016,7-016,AMES VALLEY,AMES VALLEY,13.363275,487562
SSEBOP,2011-04-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,1.046419,584286
SSEBOP,2011-04-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,77.072431,22366
SSEBOP,2011-04-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,88.354524,38900
SSEBOP,2011-04-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,95.298202,9175
SSEBOP,2011-04-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,29.01537,4542149
SSEBOP,2011-04-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,43.552835,89741
SSEBOP,2011-04-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,84.306685,3590
SSEBOP,2011-04-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,43.803056,3534
SSEBOP,2011-04-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,58.670634,17646
SSEBOP,2011-04-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,2.156656,1152313
SSEBOP,2011-04-01,5-054,5-054,ASH VALLEY,ASH VALLEY,32.276217,27015
SSEBOP,2011-04-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,18.13548,124166
SSEBOP,2011-04-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,64.784408,8966
SSEBOP,2011-04-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,50.378224,3334
SSEBOP,2011-04-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,81.706209,85309
SSEBOP,2011-04-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,67.796013,40934
SSEBOP,2011-04-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,82.003877,6191
SSEBOP,2011-04-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,4.768823,175679
SSEBOP,2011-04-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,11.625945,402232
SSEBOP,2011-04-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,80.648315,57705
SSEBOP,2011-04-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,68.187145,58249
SSEBOP,2011-04-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,94.343622,7581
