MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2003-11-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,15.3938,14,7,22,10.9239,37173
EEMETRIC,2003-11-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,14.7246,15,8,21,8.8458,179226
EEMETRIC,2003-11-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,22.5231,21,14,29,11.2767,109945
EEMETRIC,2003-11-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,17.8917,17,11,24,10.296,29087
EEMETRIC,2003-11-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,8.994,6,1,15,9.5092,457591
EEMETRIC,2003-11-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,6.0925,3,1,9,7.1699,287776
EEMETRIC,2003-11-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,20.5946,20,11,29,11.8165,29908
EEMETRIC,2003-11-01,7-016,7-016,AMES VALLEY,AMES VALLEY,6.7561,4,2,9,7.9156,487562
EEMETRIC,2003-11-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,0.2641,0,0,0,1.5815,584286
EEMETRIC,2003-11-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,33.6719,35,24,43,12.0058,22280
EEMETRIC,2003-11-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,22.034,21,10,33,13.6906,38900
EEMETRIC,2003-11-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,5.1827,4,2,7,4.9094,9175
EEMETRIC,2003-11-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,14.2412,13,7,19,10.1281,4535818
EEMETRIC,2003-11-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,9.1268,6,1,15,9.0505,89741
EEMETRIC,2003-11-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,31.6787,30,14,46,20.9032,3523
EEMETRIC,2003-11-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,18.9594,16,8,29,12.7156,2095
EEMETRIC,2003-11-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,28.7781,27,15,42,16.6194,17646
EEMETRIC,2003-11-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,2.22,0,0,1,6.2346,1152313
EEMETRIC,2003-11-01,5-054,5-054,ASH VALLEY,ASH VALLEY,7.6116,4,2,12,7.8331,22905
EEMETRIC,2003-11-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,14.6484,14,1,25,14.137,124166
EEMETRIC,2003-11-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,21.7783,21,12,30,11.8719,8980
EEMETRIC,2003-11-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,44.548,43,29,59,19.325,3334
EEMETRIC,2003-11-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,22.5336,20,10,33,16.3932,85798
EEMETRIC,2003-11-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,7.5036,6,4,10,5.5039,40934
EEMETRIC,2003-11-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,8.9818,9,3,13,7.169,6101
EEMETRIC,2003-11-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,10.9644,7,4,12,12.5161,175679
EEMETRIC,2003-11-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,16.326,10,2,27,18.8067,401005
EEMETRIC,2003-11-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,13.1003,9,6,13,12.3396,57764
EEMETRIC,2003-11-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,10.0794,7,3,13,9.6914,62798
EEMETRIC,2003-11-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,39.4388,46,23,55,16.9728,7582
EEMETRIC,2003-11-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,17.8737,23,0,30,15.3674,32596
EEMETRIC,2003-11-01,5-015,5-015,BIG VALLEY,BIG VALLEY,19.3486,18,10,27,11.3446,108874
EEMETRIC,2003-11-01,5-004,5-004,BIG VALLEY,BIG VALLEY,6.7481,4,1,11,7.1451,398796
EEMETRIC,2003-11-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,6.7972,4,1,10,8.1371,144867
EEMETRIC,2003-11-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,0.412,0,0,0,1.3173,138327
EEMETRIC,2003-11-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,3.8301,2,1,5,4.8725,9994
EEMETRIC,2003-11-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,20.5803,19,12,27,11.6324,10136
EEMETRIC,2003-11-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,2.9036,0,0,0,11.138,282155
EEMETRIC,2003-11-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,0.5886,0,0,0,3.3434,405078
EEMETRIC,2003-11-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,36.2014,40,25,49,14.6194,6201
EEMETRIC,2003-11-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,9.4912,8,4,14,6.9176,35850
