MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2003-11-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,17.4245,17,10,25.0,9.9074,37173
ENSEMBLE,2003-11-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,9.4371,9,6,12.0,4.6768,174171
ENSEMBLE,2003-11-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,21.5953,22,18,25.0,5.3911,110097
ENSEMBLE,2003-11-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,18.8008,19,15,23.0,6.3068,29266
ENSEMBLE,2003-11-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,9.8863,9,6,13.0,5.368,469904
ENSEMBLE,2003-11-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,8.6038,8,6,11.0,4.3444,287684
ENSEMBLE,2003-11-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,16.6773,16,13,21.0,5.4388,30421
ENSEMBLE,2003-11-01,7-016,7-016,AMES VALLEY,AMES VALLEY,10.7944,10,8,13.0,4.7316,487562
ENSEMBLE,2003-11-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,3.3246,3,2,4.0,2.7627,584286
ENSEMBLE,2003-11-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,26.814,26,21,33.0,7.5618,22366
ENSEMBLE,2003-11-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,26.3434,27,22,33.0,8.2826,38900
ENSEMBLE,2003-11-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,8.1664,8,6,10.0,2.796,9175
ENSEMBLE,2003-11-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,15.4108,15,11,19.0,7.2857,4541581
ENSEMBLE,2003-11-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,15.283,16,10,20.0,7.1474,89741
ENSEMBLE,2003-11-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,40.0111,40,34,46.0,8.3263,3588
ENSEMBLE,2003-11-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,18.7035,18,13,24.0,6.9935,2880
ENSEMBLE,2003-11-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,31.841,30,22,41.0,12.2971,17646
ENSEMBLE,2003-11-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,4.3275,3,2,5.0,5.2562,1152313
ENSEMBLE,2003-11-01,5-054,5-054,ASH VALLEY,ASH VALLEY,7.4654,7,5,9.0,4.2166,22905
ENSEMBLE,2003-11-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,11.1427,11,4,18.0,7.3947,124166
ENSEMBLE,2003-11-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,24.3233,25,19,30.0,7.7629,8980
ENSEMBLE,2003-11-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,36.6563,38,29,45.0,10.7833,3334
ENSEMBLE,2003-11-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,25.4022,25,18,31.0,10.0398,86081
