MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,38.0052,38,28,49,15.1268,37173
GEESEBAL,2003-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,2.2551,1,1,2,5.0345,177981
GEESEBAL,2003-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,25.5058,25,11,38,16.2045,109711
GEESEBAL,2003-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,14.7477,12,4,24,12.7748,29361
GEESEBAL,2003-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,17.1956,13,6,26,14.7506,512714
GEESEBAL,2003-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,13.6773,9,4,20,13.1435,305353
GEESEBAL,2003-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,42.9058,44,32,55,16.7794,30290
GEESEBAL,2003-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,6.6717,4,1,10,7.2332,487562
GEESEBAL,2003-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,3.4125,2,0,5,5.5125,584286
GEESEBAL,2003-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,22.0468,18,4,36,19.6486,22308
GEESEBAL,2003-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,38.0219,46,21,56,21.7164,38690
GEESEBAL,2003-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,3.2932,0,0,6,4.658,9175
GEESEBAL,2003-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,18.7314,17,9,26,13.8745,4542162
