MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2003-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,42.0095,40,32,50,14.0107,37173
PTJPL,2003-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,8.4936,7,5,10,6.3431,178391
PTJPL,2003-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,56.0673,55,42,71,17.914,110098
PTJPL,2003-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,46.7997,45,32,61,17.3922,29366
PTJPL,2003-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,29.4958,27,18,38,14.9731,513210
PTJPL,2003-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,23.1431,18,14,30,13.2138,305817
PTJPL,2003-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,45.3901,45,30,61,18.0619,30572
PTJPL,2003-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,9.5744,9,6,12,4.528,487562
PTJPL,2003-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,11.156,10,8,12,4.4193,584286
PTJPL,2003-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,52.8558,49,38,67,17.3313,22366
PTJPL,2003-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,74.2022,78,70,81,10.4742,38900
PTJPL,2003-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,17.9066,17,16,20,3.8094,9175
PTJPL,2003-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,24.2059,22,16,28,14.3216,4542271
PTJPL,2003-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,37.1199,37,18,55,19.083,89741
PTJPL,2003-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,81.6006,78,66,99,19.0906,3580
PTJPL,2003-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,64.4892,64,46,81,20.4593,3534
PTJPL,2003-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,69.3259,72,54,85,18.1011,17646
PTJPL,2003-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,14.911,12,10,16,11.5685,1152313
