MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2003-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,16.8607,14,4,27.0,14.8402,37173
SSEBOP,2003-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,4.1842,0,0,3.0,11.8921,178929
SSEBOP,2003-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,53.7401,53,38,68.0,21.7387,110098
SSEBOP,2003-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,47.259,47,34,60.0,19.115,29366
SSEBOP,2003-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,22.866,16,5,34.0,22.3809,513210
SSEBOP,2003-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,16.8397,11,3,25.0,17.4287,305817
SSEBOP,2003-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,51.1835,53,29,73.0,27.2895,30572
SSEBOP,2003-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,3.2504,1,0,4.0,5.6765,487562
SSEBOP,2003-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,0.4483,0,0,0.0,2.8819,584286
SSEBOP,2003-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,64.8817,62,45,83.0,28.5381,22366
SSEBOP,2003-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,78.6079,90,70,95.0,24.9935,38900
SSEBOP,2003-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,10.7702,8,3,15.0,9.743,9175
SSEBOP,2003-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,10.1924,5,2,12.0,16.2083,4542273
SSEBOP,2003-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,41.3627,41,16,63.0,27.1538,89741
SSEBOP,2003-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,57.8141,58,40,75.0,23.1395,3588
SSEBOP,2003-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,34.1859,33,14,50.0,23.8145,3534
SSEBOP,2003-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,45.5852,46,33,58.0,18.6449,17646
SSEBOP,2003-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,1.1232,0,0,0.0,8.2144,1152313
SSEBOP,2003-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,19.2346,13,6,28.0,17.786,27015
SSEBOP,2003-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,1.7936,0,0,2.0,3.3852,124166
SSEBOP,2003-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,38.839,39,24,52.0,18.375,8884
SSEBOP,2003-10-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,48.359,49,37,62.0,17.0252,3334
SSEBOP,2003-10-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,58.233,55,32,70.0,39.0903,86224
SSEBOP,2003-10-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,18.9718,14,7,26.0,16.4947,40934
SSEBOP,2003-10-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,32.7643,28,19,39.0,23.6021,6191
SSEBOP,2003-10-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,1.0497,0,0,0.0,3.8916,175679
SSEBOP,2003-10-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,0.9053,0,0,0.0,3.155,402232
SSEBOP,2003-10-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,107.3431,113,100,120.0,18.658,57762
SSEBOP,2003-10-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,75.6355,78,61,92.0,22.5089,63685
SSEBOP,2003-10-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,125.1992,130,122,134.0,13.7319,7582
SSEBOP,2003-10-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,5.4758,3,2,6.0,6.8712,32897
SSEBOP,2003-10-01,5-015,5-015,BIG VALLEY,BIG VALLEY,53.5224,54,33,74.0,26.9945,108957
SSEBOP,2003-10-01,5-004,5-004,BIG VALLEY,BIG VALLEY,20.1205,15,5,30.0,18.7412,413987
SSEBOP,2003-10-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,9.0577,2,0,11.0,15.0742,144867
SSEBOP,2003-10-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,1.7312,0,0,1.0,4.31,138327
SSEBOP,2003-10-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,14.4402,10,5,19.0,14.0773,9994
SSEBOP,2003-10-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,29.8252,28,20,38.0,14.8441,10079
SSEBOP,2003-10-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,6.205,0,0,1.0,21.0713,282155
SSEBOP,2003-10-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,0.4744,0,0,0.0,2.2805,405078
SSEBOP,2003-10-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,114.055,126,109,133.0,30.5645,6201
SSEBOP,2003-10-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,29.5679,31,17,41.0,15.7817,36119
SSEBOP,2003-10-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,32.5416,29,14,47.0,23.4629,146102
SSEBOP,2003-10-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,0.7612,0,0,0.0,6.3793,2233823
SSEBOP,2003-10-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,36.1704,31,20,46.0,23.9517,14244
SSEBOP,2003-10-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,0.5754,0,0,0.0,2.6637,413087
SSEBOP,2003-10-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,1.314,0,0,0.0,5.1625,97673
SSEBOP,2003-10-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,14.1957,12,7,18.0,10.909,31076
SSEBOP,2003-10-01,6-101,6-101,BULL FLAT,BULL FLAT,3.4314,1,0,5.0,5.9091,78457
SSEBOP,2003-10-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,19.9093,13,2,34.0,19.8512,10579
SSEBOP,2003-10-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,35.5756,35,16,53.0,23.1994,12924
