MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2023-06-01,San Luis Obispo,06079,06,079,76.348,79.0,54.0,99.0,35.133,712269
DISALEXI,2023-06-01,San Mateo,06081,06,081,126.0215,131.0,107.0,150.0,33.5658,15747
DISALEXI,2023-06-01,Sierra,06091,06,091,111.6299,109.0,83.0,139.0,40.7648,97042
DISALEXI,2023-06-01,Sacramento,06067,06,067,122.1341,122.0,82.0,160.0,49.3076,753432
DISALEXI,2023-06-01,Tulare,06107,06,107,128.9745,126.4998,88.5012,168.4918,49.9292,3176686
DISALEXI,2023-06-01,San Benito,06069,06,069,86.1092,86.0,66.0,107.0,28.8425,239402
DISALEXI,2023-06-01,Butte,06007,06,007,159.7219,178.0,131.0,196.0,46.6047,1038022
DISALEXI,2023-06-01,Merced,06047,06,047,125.6977,122.4964,86.4995,164.5022,49.3273,2378829
DISALEXI,2023-06-01,Tuolumne,06109,06,109,105.3667,109.0,85.0,126.0,30.2902,7638
DISALEXI,2023-06-01,Orange,06059,06,059,92.6686,94.0,71.0,115.0,28.1202,16677
DISALEXI,2023-06-01,Los Angeles,06037,06,037,67.7857,46.0,22.0,109.0,57.9841,132052
DISALEXI,2023-06-01,Santa Cruz,06087,06,087,90.5009,91.0,74.0,108.0,26.7306,73797
DISALEXI,2023-06-01,Sonoma,06097,06,097,88.3048,88.0,70.0,105.0,27.0649,488589
DISALEXI,2023-06-01,Marin,06041,06,041,103.1572,106.0,82.0,127.0,30.3404,64071
DISALEXI,2023-06-01,Alameda,06001,06,001,81.8605,76.0,60.0,94.0,33.329,47115
DISALEXI,2023-06-01,Alpine,06003,06,003,54.8299,46.0,15.0,88.0,44.9532,14471
DISALEXI,2023-06-01,Placer,06061,06,061,114.9558,112.0,71.0,155.0,53.1838,202479
DISALEXI,2023-06-01,Nevada,06057,06,057,102.5439,103.0,82.0,124.0,30.4393,20816
DISALEXI,2023-06-01,Yolo,06113,06,113,122.9824,122.4971,84.4975,162.4987,51.8197,1424229
DISALEXI,2023-06-01,Fresno,06019,06,019,120.6841,120.5003,76.4981,166.5013,55.2471,5408620
DISALEXI,2023-06-01,Trinity,06105,06,105,54.0795,52.0,30.0,77.0,33.5725,17806
DISALEXI,2023-06-01,Shasta,06089,06,089,114.1884,114.0,82.0,148.0,47.1153,278264
DISALEXI,2023-06-01,Yuba,06115,06,115,153.3016,164.0,113.0,200.0,52.0763,397428
DISALEXI,2023-06-01,Colusa,06011,06,011,167.5753,182.5055,140.5084,202.497,51.5154,1352524
DISALEXI,2023-06-01,Riverside,06065,06,065,108.4966,102.0,56.0,167.0,62.1184,831484
DISALEXI,2023-06-01,Contra Costa,06013,06,013,123.112,116.0,80.0,165.0,58.0659,192282
DISALEXI,2023-06-01,Humboldt,06023,06,023,133.0668,140.0,109.0,163.0,40.4056,144749
DISALEXI,2023-06-01,San Diego,06073,06,073,81.0995,82.0,59.0,105.0,36.0603,238846
DISALEXI,2023-06-01,Monterey,06053,06,053,96.6946,100.0,80.0,116.0,28.2553,1054484
DISALEXI,2023-06-01,Mendocino,06045,06,045,80.4974,80.0,58.0,102.0,30.7,188853
DISALEXI,2023-06-01,El Dorado,06017,06,017,77.1167,76.0,57.0,96.0,28.9691,22797
DISALEXI,2023-06-01,Siskiyou,06093,06,093,101.5806,105.0,69.0,134.0,45.9461,884259
DISALEXI,2023-06-01,Madera,06039,06,039,144.4401,150.4994,108.4938,182.5019,48.2663,1611937
DISALEXI,2023-06-01,Lake,06033,06,033,60.7681,56.0,32.0,85.0,37.4709,132934
DISALEXI,2023-06-01,Ventura,06111,06,111,92.253,94.0,73.0,112.0,28.8381,410613
DISALEXI,2023-06-01,Sutter,06101,06,101,152.589,159.0,114.0,200.0,51.3197,1172434
DISALEXI,2023-06-01,Glenn,06021,06,021,149.1726,165.0,112.0,195.0,56.0609,1192749
DISALEXI,2023-06-01,Mariposa,06043,06,043,62.5294,60.0,40.0,83.0,28.2348,2939
DISALEXI,2023-06-01,San Bernardino,06071,06,071,82.1705,77.0,20.0,131.0,62.7822,117711
DISALEXI,2023-06-01,Stanislaus,06099,06,099,140.0001,146.4982,100.4981,178.4977,48.8113,1784832
