MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2011-09-01,San Luis Obispo,06079,06,079,49.3426,44,26,67,31.1598,717273
EEMETRIC,2011-09-01,San Mateo,06081,06,081,63.1591,63,46,82,24.5403,27660
EEMETRIC,2011-09-01,Sierra,06091,06,091,67.9695,70,31,103,40.2467,97042
EEMETRIC,2011-09-01,Sacramento,06067,06,067,92.3083,97,56,128,43.103,764086
EEMETRIC,2011-09-01,Tulare,06107,06,107,112.0293,119,77,146,44.8774,3186244
EEMETRIC,2011-09-01,San Benito,06069,06,069,55.7414,56,30,82,32.4971,240500
EEMETRIC,2011-09-01,Butte,06007,06,007,109.0751,111,73,152,45.3903,1040011
EEMETRIC,2011-09-01,Merced,06047,06,047,103.4273,112,76,135,42.831,2381208
EEMETRIC,2011-09-01,Tuolumne,06109,06,109,83.0074,90,47,118,42.6686,8658
EEMETRIC,2011-09-01,Orange,06059,06,059,79.7875,83,62,99,25.0945,39531
EEMETRIC,2011-09-01,Los Angeles,06037,06,037,58.3788,43,8,105,52.5954,177889
EEMETRIC,2011-09-01,Santa Cruz,06087,06,087,65.1901,67,50,81,23.3509,80187
EEMETRIC,2011-09-01,Sonoma,06097,06,097,51.0432,50,33,67,23.7935,495897
EEMETRIC,2011-09-01,Marin,06041,06,041,41.5304,38,24,53,24.5756,73707
EEMETRIC,2011-09-01,Alameda,06001,06,001,47.1285,38,17,72,37.2677,56192
EEMETRIC,2011-09-01,Alpine,06003,06,003,88.7821,101,51,128,48.6602,14471
EEMETRIC,2011-09-01,Placer,06061,06,061,90.9359,92,43,139,52.5727,213116
EEMETRIC,2011-09-01,Nevada,06057,06,057,72.3893,77,35,105,40.8768,24566
EEMETRIC,2011-09-01,Yolo,06113,06,113,83.0102,79,42,120,46.8516,1427274
EEMETRIC,2011-09-01,Fresno,06019,06,019,83.6944,82,43,123,48.9207,5415699
EEMETRIC,2011-09-01,Trinity,06105,06,105,68.8928,66,46,90,31.734,17902
EEMETRIC,2011-09-01,Shasta,06089,06,089,79.1289,89,43,113,41.6271,281134
EEMETRIC,2011-09-01,Yuba,06115,06,115,109.0092,115,75,149,43.4468,398736
EEMETRIC,2011-09-01,Colusa,06011,06,011,100.9699,111,68,140,44.2985,1353017
EEMETRIC,2011-09-01,Riverside,06065,06,065,86.4309,81,36,129,56.5468,920266
EEMETRIC,2011-09-01,Contra Costa,06013,06,013,81.8742,87,42,119,43.859,204478
EEMETRIC,2011-09-01,Humboldt,06023,06,023,130.2263,137,122,148,29.2313,187292
EEMETRIC,2011-09-01,San Diego,06073,06,073,88.5686,93,65,114,36.4844,270017
EEMETRIC,2011-09-01,Monterey,06053,06,053,68.4212,71,48,90,31.2482,1078812
EEMETRIC,2011-09-01,Mendocino,06045,06,045,64.3537,63,40,86,33.4934,212716
EEMETRIC,2011-09-01,El Dorado,06017,06,017,50.4754,43,19,76,38.1728,25524
EEMETRIC,2011-09-01,Siskiyou,06093,06,093,72.0041,78,41,103,37.5146,885795
EEMETRIC,2011-09-01,Madera,06039,06,039,88.5234,93,60,120,40.2821,1614939
EEMETRIC,2011-09-01,Lake,06033,06,033,45.648,41,18,67,32.7613,135536
EEMETRIC,2011-09-01,Ventura,06111,06,111,82.389,85,64,102,28.2214,430892
EEMETRIC,2011-09-01,Sutter,06101,06,101,113.4593,125,74,156,47.0533,1173000
EEMETRIC,2011-09-01,Glenn,06021,06,021,94.2576,96,58,139,47.1024,1192981
EEMETRIC,2011-09-01,Mariposa,06043,06,043,35.8141,26,4,59,35.5404,3169
EEMETRIC,2011-09-01,San Bernardino,06071,06,071,78.8667,72,26,125,58.7535,132032
EEMETRIC,2011-09-01,Stanislaus,06099,06,099,103.6513,113,79,133,41.5261,1791150
EEMETRIC,2011-09-01,Imperial,06025,06,025,92.3257,85,48,138,53.6181,1963940
EEMETRIC,2011-09-01,Santa Clara,06085,06,085,64.8968,65,41,89,30.9669,125331
EEMETRIC,2011-09-01,Calaveras,06009,06,009,48.0799,35,13,78,41.6707,22684
EEMETRIC,2011-09-01,Tehama,06103,06,103,50.8169,48,13,82,39.4043,588767
EEMETRIC,2011-09-01,Santa Barbara,06083,06,083,56.817,56,28,83,34.6381,543287
EEMETRIC,2011-09-01,Mono,06051,06,051,105.6667,110,89,125,29.8318,197693
EEMETRIC,2011-09-01,Del Norte,06015,06,015,111.0866,113,92,135,28.2789,39906
EEMETRIC,2011-09-01,Napa,06055,06,055,58.8081,60,39,80,28.1925,238326
EEMETRIC,2011-09-01,Solano,06095,06,095,77.4657,76,43,113,40.2458,835926
EEMETRIC,2011-09-01,Modoc,06049,06,049,77.9458,83,46,111,39.8662,898439
EEMETRIC,2011-09-01,San Joaquin,06077,06,077,99.6161,105,71,131,40.8133,2322410
EEMETRIC,2011-09-01,Inyo,06027,06,027,108.5369,118,88,136,41.7209,79895
EEMETRIC,2011-09-01,Plumas,06063,06,063,79.9441,86,43,117,42.8036,208886
EEMETRIC,2011-09-01,Amador,06005,06,005,59.0655,45,24,94,42.9667,49038
EEMETRIC,2011-09-01,San Francisco,06075,06,075,99.4242,101,91,109,14.9843,2579
EEMETRIC,2011-09-01,Kings,06031,06,031,103.3759,115,48,155,56.8277,2262724
EEMETRIC,2011-09-01,Lassen,06035,06,035,65.3833,64,28,101,42.7322,577357
EEMETRIC,2011-09-01,Kern,06029,06,029,97.5949,111,52,138,49.6547,4013595
