MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2010-03-01,San Luis Obispo,06079,06,079,68.1297,70.0,57.0,80.0,15.9973,712045
ENSEMBLE,2010-03-01,San Mateo,06081,06,081,63.4798,64.0,57.0,71.0,10.0933,27262
ENSEMBLE,2010-03-01,Sierra,06091,06,091,43.0461,44.0,36.0,51.0,10.2764,96847
ENSEMBLE,2010-03-01,Sacramento,06067,06,067,72.8184,74.0,64.0,82.0,12.3157,754307
ENSEMBLE,2010-03-01,Tulare,06107,06,107,77.5371,81.0,63.0,94.0,20.8533,2951586
ENSEMBLE,2010-03-01,San Benito,06069,06,069,68.7039,69.0,57.0,81.0,13.9664,239402
ENSEMBLE,2010-03-01,Butte,06007,06,007,62.29,62.0,54.0,71.0,12.0573,1037984
ENSEMBLE,2010-03-01,Merced,06047,06,047,76.3817,82.0,62.0,93.0,20.7524,2379662
ENSEMBLE,2010-03-01,Tuolumne,06109,06,109,70.1868,72.0,61.0,80.0,12.9258,7638
ENSEMBLE,2010-03-01,Orange,06059,06,059,61.4919,61.0,47.0,76.0,17.6286,16677
ENSEMBLE,2010-03-01,Los Angeles,06037,06,037,58.6398,57.0,38.0,79.0,27.1935,132114
ENSEMBLE,2010-03-01,Santa Cruz,06087,06,087,64.26,64.0,57.0,71.0,9.6974,79097
ENSEMBLE,2010-03-01,Sonoma,06097,06,097,63.1563,64.0,56.0,72.0,10.8629,489833
ENSEMBLE,2010-03-01,Marin,06041,06,041,70.5078,72.0,68.0,74.0,6.1616,70834
ENSEMBLE,2010-03-01,Alameda,06001,06,001,71.9859,73.0,62.0,83.0,13.4193,47122
ENSEMBLE,2010-03-01,Alpine,06003,06,003,34.4572,35.0,27.0,43.0,11.1112,13190
ENSEMBLE,2010-03-01,Placer,06061,06,061,68.2091,69.0,62.0,75.0,10.0993,202479
ENSEMBLE,2010-03-01,Nevada,06057,06,057,56.2564,57.0,51.0,63.0,9.1708,20816
ENSEMBLE,2010-03-01,Yolo,06113,06,113,61.9565,65.0,46.0,79.0,20.1268,1424205
ENSEMBLE,2010-03-01,Fresno,06019,06,019,59.4524,58.0,40.0,81.0,23.9656,5038711
ENSEMBLE,2010-03-01,Trinity,06105,06,105,54.3278,56.0,50.0,61.0,9.7342,17780
ENSEMBLE,2010-03-01,Shasta,06089,06,089,57.8537,58.0,48.0,68.0,14.3286,277875
ENSEMBLE,2010-03-01,Yuba,06115,06,115,65.2636,66.0,60.0,71.0,9.8158,397422
ENSEMBLE,2010-03-01,Colusa,06011,06,011,56.039,55.0,44.0,68.0,16.2879,1352491
ENSEMBLE,2010-03-01,Riverside,06065,06,065,65.8712,64.0,37.0,93.0,32.3905,844254
ENSEMBLE,2010-03-01,Contra Costa,06013,06,013,70.0954,73.0,60.0,81.0,14.5239,192451
ENSEMBLE,2010-03-01,Humboldt,06023,06,023,67.3679,67.0,62.0,73.0,8.9306,193068
ENSEMBLE,2010-03-01,San Diego,06073,06,073,73.456,77.0,64.0,86.0,17.3972,240068
ENSEMBLE,2010-03-01,Monterey,06053,06,053,56.9861,56.0,48.0,66.0,14.3599,1073135
ENSEMBLE,2010-03-01,Mendocino,06045,06,045,69.4995,71.0,65.0,75.0,7.5075,200103
ENSEMBLE,2010-03-01,El Dorado,06017,06,017,53.0237,53.0,47.0,59.0,8.8809,22766
ENSEMBLE,2010-03-01,Siskiyou,06093,06,093,39.8098,40.0,28.0,50.0,16.8567,880321
ENSEMBLE,2010-03-01,Madera,06039,06,039,75.0863,76.0,64.0,87.0,15.8831,1612288
ENSEMBLE,2010-03-01,Lake,06033,06,033,57.3825,60.0,49.0,66.0,11.582,134435
ENSEMBLE,2010-03-01,Ventura,06111,06,111,64.4966,67.0,52.0,78.0,18.9227,422451
ENSEMBLE,2010-03-01,Sutter,06101,06,101,56.7746,57.0,46.0,67.0,15.0635,1172451
ENSEMBLE,2010-03-01,Glenn,06021,06,021,59.5909,60.0,47.0,73.0,16.983,1192738
ENSEMBLE,2010-03-01,Mariposa,06043,06,043,68.787,70.0,61.0,78.0,10.5445,2939
ENSEMBLE,2010-03-01,San Bernardino,06071,06,071,63.652,61.0,33.0,91.0,38.1197,117709
ENSEMBLE,2010-03-01,Stanislaus,06099,06,099,80.2896,82.0,72.0,91.0,14.3193,1787940
ENSEMBLE,2010-03-01,Imperial,06025,06,025,97.1832,106.0,60.0,134.0,42.0411,1963088
ENSEMBLE,2010-03-01,Santa Clara,06085,06,085,68.3351,69.0,60.0,78.0,12.1681,113090
ENSEMBLE,2010-03-01,Calaveras,06009,06,009,68.6533,70.0,61.0,77.0,11.5636,20947
ENSEMBLE,2010-03-01,Tehama,06103,06,103,71.1522,72.0,65.0,77.0,9.3783,579459
ENSEMBLE,2010-03-01,Santa Barbara,06083,06,083,65.6082,66.0,54.0,78.0,17.1619,540511
ENSEMBLE,2010-03-01,Mono,06051,06,051,37.0281,37.0,29.0,46.0,13.1132,99082
ENSEMBLE,2010-03-01,Del Norte,06015,06,015,69.1444,70.0,62.0,77.0,10.9252,38008
ENSEMBLE,2010-03-01,Napa,06055,06,055,59.7864,61.0,53.0,67.0,9.7936,234617
ENSEMBLE,2010-03-01,Solano,06095,06,095,69.8514,77.0,59.0,85.0,19.7367,831073
ENSEMBLE,2010-03-01,Modoc,06049,06,049,35.7619,35.0,27.0,45.0,14.0048,896567
ENSEMBLE,2010-03-01,San Joaquin,06077,06,077,72.4383,72.0,63.0,83.0,13.514,2315413
ENSEMBLE,2010-03-01,Inyo,06027,06,027,39.1936,38.0,27.0,51.0,17.8012,79724
ENSEMBLE,2010-03-01,Plumas,06063,06,063,49.3578,50.0,43.0,56.0,10.7511,191645
ENSEMBLE,2010-03-01,Amador,06005,06,005,72.0972,72.0,65.0,80.0,10.4495,47862
ENSEMBLE,2010-03-01,San Francisco,06075,06,075,,,,,,0
ENSEMBLE,2010-03-01,Kings,06031,06,031,65.3005,65.0,45.0,88.0,25.3013,2060083
ENSEMBLE,2010-03-01,Lassen,06035,06,035,35.5396,36.0,27.0,45.0,14.2274,555138
ENSEMBLE,2010-03-01,Kern,06029,06,029,64.7578,66.0,42.0,88.0,26.7138,3895356
