MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
FILLED,2017-03-01,San Luis Obispo,06079,06,079,66.2099,67.0,54.0,80.0,19.4422,713470
FILLED,2017-03-01,San Mateo,06081,06,081,64.1414,66.0,58.0,73.0,12.3631,27285
FILLED,2017-03-01,Sierra,06091,06,091,51.6109,52.0,44.0,60.0,11.9237,97042
FILLED,2017-03-01,Sacramento,06067,06,067,72.8371,74.0,65.0,82.0,12.4277,754316
FILLED,2017-03-01,Tulare,06107,06,107,75.3474,77.0,59.0,93.0,20.266,3183003
FILLED,2017-03-01,San Benito,06069,06,069,66.0439,68.0,53.0,81.0,17.7499,239402
FILLED,2017-03-01,Butte,06007,06,007,60.7424,61.0,51.0,71.0,14.2973,1038022
FILLED,2017-03-01,Merced,06047,06,047,72.4275,77.0,57.0,89.0,20.5438,2379735
FILLED,2017-03-01,Tuolumne,06109,06,109,77.4089,79.0,69.0,87.0,11.2894,7638
FILLED,2017-03-01,Orange,06059,06,059,70.909,72.0,57.0,85.0,19.1093,16677
FILLED,2017-03-01,Los Angeles,06037,06,037,59.0765,52.0,31.0,87.0,34.9308,132114
FILLED,2017-03-01,Santa Cruz,06087,06,087,64.9651,65.0,57.0,73.0,11.8157,79110
FILLED,2017-03-01,Sonoma,06097,06,097,61.7539,62.0,53.0,71.0,11.8039,489833
FILLED,2017-03-01,Marin,06041,06,041,68.0587,70.0,65.0,74.0,8.3708,70834
FILLED,2017-03-01,Alameda,06001,06,001,66.9934,68.0,56.0,77.0,14.0979,47122
FILLED,2017-03-01,Alpine,06003,06,003,46.6747,48.0,36.0,57.0,14.6484,14471
FILLED,2017-03-01,Placer,06061,06,061,69.3148,70.0,61.0,78.0,12.7961,202479
FILLED,2017-03-01,Nevada,06057,06,057,62.1705,62.0,55.0,69.0,9.7107,20816
FILLED,2017-03-01,Yolo,06113,06,113,62.6775,64.0,47.0,79.0,20.8512,1424255
