MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2015-12-01,San Luis Obispo,06079,06,079,15.1004,15.0,11.0,20.0,6.7531,707577
GEESEBAL,2015-12-01,San Mateo,06081,06,081,6.7677,6.0,1.0,10.0,6.2706,25026
GEESEBAL,2015-12-01,Sierra,06091,06,091,1.8183,1.0,0.0,2.0,2.3077,16080
GEESEBAL,2015-12-01,Sacramento,06067,06,067,9.0543,9.0,5.0,13.0,4.8563,722591
GEESEBAL,2015-12-01,Tulare,06107,06,107,25.1518,26.0,22.0,30.0,6.4783,3080652
GEESEBAL,2015-12-01,San Benito,06069,06,069,11.9973,12.0,9.0,15.0,4.6276,238019
GEESEBAL,2015-12-01,Butte,06007,06,007,3.8878,3.0,2.0,5.0,2.526,1029804
GEESEBAL,2015-12-01,Merced,06047,06,047,15.1932,16.0,7.0,22.0,9.6723,2337839
GEESEBAL,2015-12-01,Tuolumne,06109,06,109,6.568,2.0,1.0,12.0,7.0906,7202
GEESEBAL,2015-12-01,Orange,06059,06,059,22.0386,23.0,17.0,27.0,8.0887,16670
GEESEBAL,2015-12-01,Los Angeles,06037,06,037,5.9753,5.0,1.0,9.0,6.0469,132114
GEESEBAL,2015-12-01,Santa Cruz,06087,06,087,17.6526,17.0,13.0,22.0,6.3581,78815
GEESEBAL,2015-12-01,Sonoma,06097,06,097,3.0549,3.0,1.0,4.0,2.3066,489263
GEESEBAL,2015-12-01,Marin,06041,06,041,1.8136,1.0,0.0,3.0,2.0336,70820
GEESEBAL,2015-12-01,Alameda,06001,06,001,14.156,14.0,12.0,17.0,3.8787,47047
GEESEBAL,2015-12-01,Alpine,06003,06,003,13.5,14.0,11.0,16.0,4.8033,280
GEESEBAL,2015-12-01,Placer,06061,06,061,2.4814,2.0,1.0,3.0,2.3305,198783
GEESEBAL,2015-12-01,Nevada,06057,06,057,3.3392,3.0,1.0,4.0,3.673,19744
GEESEBAL,2015-12-01,Yolo,06113,06,113,3.3464,3.0,2.0,4.0,2.348,1388769
GEESEBAL,2015-12-01,Fresno,06019,06,019,19.8798,20.0,15.0,26.0,7.3419,5307943
