MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2003-10-01,San Luis Obispo,06079,06,079,38.0364,32,17,58,24.4257,717864
PTJPL,2003-10-01,San Mateo,06081,06,081,53.5984,55,37,68,17.9,31589
PTJPL,2003-10-01,Sierra,06091,06,091,33.7134,32,26,40,9.9883,97042
PTJPL,2003-10-01,Sacramento,06067,06,067,48.434,43,24,71,25.7584,764221
PTJPL,2003-10-01,Tulare,06107,06,107,52.0063,52,18,85,32.8424,3186492
PTJPL,2003-10-01,San Benito,06069,06,069,38.3923,28,22,53,22.5573,240500
PTJPL,2003-10-01,Butte,06007,06,007,55.1971,56,31,79,27.3526,1040011
PTJPL,2003-10-01,Merced,06047,06,047,51.3476,52,22,78,27.3837,2381208
PTJPL,2003-10-01,Tuolumne,06109,06,109,47.6701,54,23,69,22.7862,8658
PTJPL,2003-10-01,Orange,06059,06,059,66.1373,66,56,76,14.6228,38466
PTJPL,2003-10-01,Los Angeles,06037,06,037,56.5848,46,27,84,33.9516,176911
PTJPL,2003-10-01,Santa Cruz,06087,06,087,54.9596,54,34,74,22.0516,80999
PTJPL,2003-10-01,Sonoma,06097,06,097,52.0165,50,43,61,12.3554,496386
PTJPL,2003-10-01,Marin,06041,06,041,57.3046,55,51,62,9.4442,73707
PTJPL,2003-10-01,Alameda,06001,06,001,44.9483,35,28,67,21.1257,56192
PTJPL,2003-10-01,Alpine,06003,06,003,45.1634,46,36,52,13.8775,14471
PTJPL,2003-10-01,Placer,06061,06,061,50.7862,52,22,77,28.1575,213064
PTJPL,2003-10-01,Nevada,06057,06,057,53.7598,58,38,69,19.7195,24236
PTJPL,2003-10-01,Yolo,06113,06,113,38.6066,23,16,63,28.5653,1427274
PTJPL,2003-10-01,Fresno,06019,06,019,54.7999,54,21,86,32.8742,5415676
PTJPL,2003-10-01,Trinity,06105,06,105,34.9436,29,23,45,15.5901,17902
PTJPL,2003-10-01,Shasta,06089,06,089,48.8149,51,24,69,25.4825,281134
PTJPL,2003-10-01,Yuba,06115,06,115,61.6026,66,35,86,28.5399,398736
PTJPL,2003-10-01,Colusa,06011,06,011,37.8465,28,17,54,25.4782,1353017
PTJPL,2003-10-01,Riverside,06065,06,065,67.7893,63,21,111,46.822,919833
PTJPL,2003-10-01,Contra Costa,06013,06,013,54.4534,50,30,81,26.2646,204478
PTJPL,2003-10-01,Humboldt,06023,06,023,42.1489,40,35,47,12.5656,194044
PTJPL,2003-10-01,San Diego,06073,06,073,59.6438,65,45,75,21.28,270453
PTJPL,2003-10-01,Monterey,06053,06,053,51.4354,52,29,72,25.1216,1081318
PTJPL,2003-10-01,Mendocino,06045,06,045,47.4331,45,33,59,17.0982,213836
PTJPL,2003-10-01,El Dorado,06017,06,017,43.1167,43,26,61,19.3088,25524
PTJPL,2003-10-01,Siskiyou,06093,06,093,48.566,50,32,63,17.7032,885795
PTJPL,2003-10-01,Madera,06039,06,039,57.477,60,28,83,28.6164,1614939
PTJPL,2003-10-01,Lake,06033,06,033,48.372,46,31,67,20.3782,135536
PTJPL,2003-10-01,Ventura,06111,06,111,68.8128,74,49,86,22.3246,434097
PTJPL,2003-10-01,Sutter,06101,06,101,47.2795,41,19,75,29.4454,1173000
PTJPL,2003-10-01,Glenn,06021,06,021,45.4358,40,19,70,29.1179,1192981
PTJPL,2003-10-01,Mariposa,06043,06,043,29.0546,24,20,31,14.9811,3169
PTJPL,2003-10-01,San Bernardino,06071,06,071,50.4523,44,17,73,37.8852,132014
PTJPL,2003-10-01,Stanislaus,06099,06,099,54.5331,57,26,80,26.3399,1791183
PTJPL,2003-10-01,Imperial,06025,06,025,71.0611,55,26,118,48.355,1963940
PTJPL,2003-10-01,Santa Clara,06085,06,085,48.6519,38,27,76,25.76,125326
PTJPL,2003-10-01,Calaveras,06009,06,009,38.84,29,22,58,20.7288,22684
PTJPL,2003-10-01,Tehama,06103,06,103,55.563,58,18,88,34.0207,588767
PTJPL,2003-10-01,Santa Barbara,06083,06,083,53.1639,56,38,73,23.7084,547388
PTJPL,2003-10-01,Mono,06051,06,051,41.0682,40,31,51,14.583,197693
PTJPL,2003-10-01,Del Norte,06015,06,015,39.7058,37,35,39,9.3239,39906
PTJPL,2003-10-01,Napa,06055,06,055,52.1161,52,39,65,17.0985,238326
PTJPL,2003-10-01,Solano,06095,06,095,48.5055,31,20,84,32.6189,835927
PTJPL,2003-10-01,Modoc,06049,06,049,34.7091,33,22,48,14.2696,898438
PTJPL,2003-10-01,San Joaquin,06077,06,077,50.9419,50,26,74,24.2061,2322404
PTJPL,2003-10-01,Inyo,06027,06,027,50.4769,55,36,66,20.0213,79895
PTJPL,2003-10-01,Plumas,06063,06,063,37.3384,32,25,49,15.0325,208886
PTJPL,2003-10-01,Amador,06005,06,005,39.8535,33,22,61,21.0071,49038
PTJPL,2003-10-01,San Francisco,06075,06,075,76.4438,77,72,81,6.3559,2571
PTJPL,2003-10-01,Kings,06031,06,031,41.838,33,13,67,32.4375,2262235
PTJPL,2003-10-01,Lassen,06035,06,035,33.8285,31,20,47,15.5102,577357
PTJPL,2003-10-01,Kern,06029,06,029,48.6208,47,13,81,33.8877,4013596
