MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SIMS,2018-11-01,San Luis Obispo,06079,06,079,26.6558,26.0,18.0,31.0,13.7706,704219
SIMS,2018-11-01,San Mateo,06081,06,081,27.7776,26.0,23.0,32.0,7.6266,24841
SIMS,2018-11-01,Sierra,06091,06,091,24.7331,26.0,17.0,30.0,6.9554,85679
SIMS,2018-11-01,Sacramento,06067,06,067,27.7205,25.0,21.0,34.0,10.2257,748969
SIMS,2018-11-01,Tulare,06107,06,107,25.9346,25.0,19.0,32.0,8.8356,3181235
SIMS,2018-11-01,San Benito,06069,06,069,23.9445,21.0,19.0,26.0,8.8643,237404
SIMS,2018-11-01,Butte,06007,06,007,30.1859,29.0,22.0,36.0,12.9653,1036475
SIMS,2018-11-01,Merced,06047,06,047,25.9259,24.0,19.0,30.0,8.5866,2377447
SIMS,2018-11-01,Tuolumne,06109,06,109,32.6448,36.0,23.0,42.0,11.2215,7066
SIMS,2018-11-01,Orange,06059,06,059,40.7656,43.0,21.0,61.0,21.0986,16031
SIMS,2018-11-01,Los Angeles,06037,06,037,24.6316,16.0,8.0,34.0,22.5235,125733
SIMS,2018-11-01,Santa Cruz,06087,06,087,32.566,29.0,24.0,42.0,11.2583,77748
SIMS,2018-11-01,Sonoma,06097,06,097,24.6828,24.0,22.0,26.0,6.0855,485186
SIMS,2018-11-01,Marin,06041,06,041,27.9049,28.0,24.0,32.0,6.3512,69336
SIMS,2018-11-01,Alameda,06001,06,001,21.1563,21.0,17.0,24.0,6.384,46648
SIMS,2018-11-01,Alpine,06003,06,003,37.2774,38.0,33.0,42.0,7.4081,11848
SIMS,2018-11-01,Placer,06061,06,061,28.6953,26.0,20.0,37.0,12.0756,202194
SIMS,2018-11-01,Nevada,06057,06,057,38.6964,41.0,31.0,47.0,9.7422,20000
SIMS,2018-11-01,Yolo,06113,06,113,24.7101,22.0,18.0,29.0,9.5457,1423514
SIMS,2018-11-01,Fresno,06019,06,019,26.2896,25.0,19.0,33.0,10.1192,5409072
SIMS,2018-11-01,Trinity,06105,06,105,29.0467,29.0,24.0,34.0,8.6879,16601
SIMS,2018-11-01,Shasta,06089,06,089,30.4332,30.0,21.0,38.0,11.5842,273473
SIMS,2018-11-01,Yuba,06115,06,115,34.0873,30.0,25.0,43.0,13.7212,395909
SIMS,2018-11-01,Colusa,06011,06,011,29.6039,26.0,20.0,36.0,12.9956,1352143
SIMS,2018-11-01,Riverside,06065,06,065,38.5878,38.0,15.0,62.0,25.5921,826804
SIMS,2018-11-01,Contra Costa,06013,06,013,27.0009,25.0,19.0,34.0,10.2424,191872
SIMS,2018-11-01,Humboldt,06023,06,023,43.6848,44.0,37.0,51.0,9.4204,190724
SIMS,2018-11-01,San Diego,06073,06,073,48.787,53.0,31.0,67.0,19.9456,223807
SIMS,2018-11-01,Monterey,06053,06,053,30.2297,27.0,23.0,32.0,12.1226,1067753
SIMS,2018-11-01,Mendocino,06045,06,045,33.6573,31.0,26.0,40.0,9.5001,208566
SIMS,2018-11-01,El Dorado,06017,06,017,30.4943,27.0,24.0,36.0,10.1115,21857
SIMS,2018-11-01,Siskiyou,06093,06,093,19.7867,20.0,13.0,26.0,7.7696,863311
SIMS,2018-11-01,Madera,06039,06,039,27.9608,28.0,23.0,33.0,6.8669,1612513
SIMS,2018-11-01,Lake,06033,06,033,26.1513,24.0,22.0,28.0,8.2223,129378
SIMS,2018-11-01,Ventura,06111,06,111,50.5819,55.0,34.0,65.0,17.8619,413825
SIMS,2018-11-01,Sutter,06101,06,101,27.4075,25.0,19.0,32.0,11.76,1171431
SIMS,2018-11-01,Glenn,06021,06,021,30.3456,28.0,21.0,36.0,12.8687,1192228
SIMS,2018-11-01,Mariposa,06043,06,043,18.058,16.0,14.0,21.0,5.2966,2795
SIMS,2018-11-01,San Bernardino,06071,06,071,40.6274,35.0,18.0,63.0,27.1139,107097
SIMS,2018-11-01,Stanislaus,06099,06,099,28.3513,28.0,22.0,33.0,7.7566,1785221
SIMS,2018-11-01,Imperial,06025,06,025,42.6402,43.0,18.0,65.0,24.2076,1958785
SIMS,2018-11-01,Santa Clara,06085,06,085,25.8961,23.0,21.0,28.0,9.0599,112734
SIMS,2018-11-01,Calaveras,06009,06,009,25.6975,25.0,21.0,30.0,8.499,20177
SIMS,2018-11-01,Tehama,06103,06,103,32.0539,34.0,24.0,39.0,11.1268,579832
SIMS,2018-11-01,Santa Barbara,06083,06,083,32.8283,29.0,23.0,45.0,17.3672,531517
SIMS,2018-11-01,Mono,06051,06,051,33.9229,33.0,28.0,38.0,9.4233,168492
SIMS,2018-11-01,Del Norte,06015,06,015,31.7071,33.0,28.0,36.0,4.8365,39644
SIMS,2018-11-01,Napa,06055,06,055,23.294,23.0,22.0,25.0,3.1701,230582
SIMS,2018-11-01,Solano,06095,06,095,26.035,22.0,18.0,32.0,10.5315,829589
SIMS,2018-11-01,Modoc,06049,06,049,22.6575,23.0,17.0,28.0,7.0144,845142
SIMS,2018-11-01,San Joaquin,06077,06,077,28.121,26.0,21.0,33.0,9.0883,2313172
SIMS,2018-11-01,Inyo,06027,06,027,33.999,33.0,27.0,39.0,13.1436,70484
SIMS,2018-11-01,Plumas,06063,06,063,28.2448,28.0,22.0,35.0,7.9739,166218
SIMS,2018-11-01,Amador,06005,06,005,29.9983,26.0,23.0,38.0,11.023,47089
SIMS,2018-11-01,San Francisco,06075,06,075,,,,,,0
SIMS,2018-11-01,Kings,06031,06,031,20.279,19.0,11.0,26.0,10.5058,2260985
SIMS,2018-11-01,Lassen,06035,06,035,22.0973,22.0,16.0,27.0,7.6855,486250
SIMS,2018-11-01,Kern,06029,06,029,29.7554,29.0,21.0,38.0,14.2084,3998852
