MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2008-09-01,San Luis Obispo,06079,06,079,31.4059,21,3,51,33.4454,718576
SSEBOP,2008-09-01,San Mateo,06081,06,081,47.5278,44,24,72,28.9761,32473
SSEBOP,2008-09-01,Sierra,06091,06,091,30.2617,22,6,44,29.882,97042
SSEBOP,2008-09-01,Sacramento,06067,06,067,74.4797,79,32,111,45.1754,764335
SSEBOP,2008-09-01,Tulare,06107,06,107,71.4918,80,25,110,48.3804,3186496
SSEBOP,2008-09-01,San Benito,06069,06,069,34.4079,25,7,55,32.225,240500
SSEBOP,2008-09-01,Butte,06007,06,007,92.5149,101,66,127,43.403,1040011
SSEBOP,2008-09-01,Merced,06047,06,047,72.4455,80,35,107,44.1618,2381208
SSEBOP,2008-09-01,Tuolumne,06109,06,109,66.4508,74,22,104,44.0734,8658
SSEBOP,2008-09-01,Orange,06059,06,059,57.9922,67,36,80,28.8289,39533
SSEBOP,2008-09-01,Los Angeles,06037,06,037,58.1036,55,5,94,51.6935,177889
SSEBOP,2008-09-01,Santa Cruz,06087,06,087,54.1336,57,31,78,29.6184,81165
SSEBOP,2008-09-01,Sonoma,06097,06,097,39.6914,38,17,59,27.0832,496399
SSEBOP,2008-09-01,Marin,06041,06,041,29.0497,23,10,39,25.8276,73707
SSEBOP,2008-09-01,Alameda,06001,06,001,45.0067,35,14,72,37.0139,56192
SSEBOP,2008-09-01,Alpine,06003,06,003,64.8217,61,32,93,41.0773,14471
SSEBOP,2008-09-01,Placer,06061,06,061,83.9904,95,27,132,54.0191,213116
SSEBOP,2008-09-01,Nevada,06057,06,057,83.6056,90,59,112,35.7743,24566
SSEBOP,2008-09-01,Yolo,06113,06,113,66.0877,56,19,111,49.1683,1427274
SSEBOP,2008-09-01,Fresno,06019,06,019,52.5148,45,4,91,46.7008,5415724
SSEBOP,2008-09-01,Trinity,06105,06,105,41.956,36,14,64,33.3238,17902
SSEBOP,2008-09-01,Shasta,06089,06,089,67.0257,74,23,105,44.8425,281134
SSEBOP,2008-09-01,Yuba,06115,06,115,94.1115,103,64,129,43.6014,398736
SSEBOP,2008-09-01,Colusa,06011,06,011,81.4804,94,37,120,46.6764,1353017
SSEBOP,2008-09-01,Riverside,06065,06,065,62.3779,57,4,109,55.2825,920266
SSEBOP,2008-09-01,Contra Costa,06013,06,013,62.0206,70,18,97,41.8669,204478
SSEBOP,2008-09-01,Humboldt,06023,06,023,97.805,100,71,128,40.976,192632
SSEBOP,2008-09-01,San Diego,06073,06,073,67.6182,70,38,96,38.8535,270375
SSEBOP,2008-09-01,Monterey,06053,06,053,51.1326,52,24,75,32.4271,1081454
SSEBOP,2008-09-01,Mendocino,06045,06,045,58.7637,55,31,81,35.7396,213796
SSEBOP,2008-09-01,El Dorado,06017,06,017,74.0406,74,46,103,37.8997,25524
SSEBOP,2008-09-01,Siskiyou,06093,06,093,65.0356,68,30,98,39.8308,885795
SSEBOP,2008-09-01,Madera,06039,06,039,60.3142,65,19,94,42.6984,1614937
SSEBOP,2008-09-01,Lake,06033,06,033,56.7781,55,25,84,37.5781,135536
SSEBOP,2008-09-01,Ventura,06111,06,111,52.5234,56,32,73,29.1591,433804
SSEBOP,2008-09-01,Sutter,06101,06,101,83.2072,93,33,126,50.1555,1173000
SSEBOP,2008-09-01,Glenn,06021,06,021,82.2377,92,42,120,46.1468,1192981
SSEBOP,2008-09-01,Mariposa,06043,06,043,20.4998,3,0,29,32.314,3169
SSEBOP,2008-09-01,San Bernardino,06071,06,071,60.9505,56,2,107,55.6281,132032
SSEBOP,2008-09-01,Stanislaus,06099,06,099,74.9249,83,44,106,42.3107,1791183
SSEBOP,2008-09-01,Imperial,06025,06,025,58.0269,46,7,101,53.1087,1963940
SSEBOP,2008-09-01,Santa Clara,06085,06,085,48.9938,44,18,79,35.4186,125331
SSEBOP,2008-09-01,Calaveras,06009,06,009,51.2351,42,7,88,45.3617,22684
SSEBOP,2008-09-01,Tehama,06103,06,103,64.4612,63,15,106,48.5454,588767
SSEBOP,2008-09-01,Santa Barbara,06083,06,083,43.5878,40,14,65,34.5706,546834
SSEBOP,2008-09-01,Mono,06051,06,051,69.0729,71,44,92,35.2305,197693
SSEBOP,2008-09-01,Del Norte,06015,06,015,93.8753,98,70,120,31.5785,39906
SSEBOP,2008-09-01,Napa,06055,06,055,56.6855,57,38,74,26.6058,238326
SSEBOP,2008-09-01,Solano,06095,06,095,72.0548,63,30,114,46.5055,835942
SSEBOP,2008-09-01,Modoc,06049,06,049,59.9807,59,23,94,40.8437,898439
SSEBOP,2008-09-01,San Joaquin,06077,06,077,77.1608,83,47,108,41.77,2322412
SSEBOP,2008-09-01,Inyo,06027,06,027,92.1365,97,70,118,36.9316,79895
SSEBOP,2008-09-01,Plumas,06063,06,063,43.8511,28,8,77,41.0308,208886
SSEBOP,2008-09-01,Amador,06005,06,005,55.901,45,16,89,46.8055,49038
SSEBOP,2008-09-01,San Francisco,06075,06,075,79.3659,81,74,86,10.6111,2569
SSEBOP,2008-09-01,Kings,06031,06,031,59.2728,49,2,113,55.2292,2262724
SSEBOP,2008-09-01,Lassen,06035,06,035,44.7565,32,9,75,40.9261,577357
SSEBOP,2008-09-01,Kern,06029,06,029,62.2939,71,5,101,48.1375,4013596
