MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-10-01,Alameda,6001,6,1,20.9281,17.0,5.0,30.0,18.9957,47115
DISALEXI,2003-11-01,Alameda,6001,6,1,12.8369,12.0,7.0,18.0,7.9713,42920
DISALEXI,2003-12-01,Alameda,6001,6,1,11.7036,11.0,9.0,14.0,4.9369,16980
DISALEXI,2004-01-01,Alameda,6001,6,1,21.8029,23.0,18.0,25.0,8.3086,17035
DISALEXI,2004-02-01,Alameda,6001,6,1,30.5165,30.0,25.0,36.0,7.7503,42221
DISALEXI,2004-03-01,Alameda,6001,6,1,69.8766,67.0,54.0,86.0,21.46,47115
DISALEXI,2004-04-01,Alameda,6001,6,1,56.3489,52.0,39.0,69.0,25.2996,47115
DISALEXI,2004-05-01,Alameda,6001,6,1,65.0469,61.0,46.0,77.0,29.3388,47115
DISALEXI,2004-06-01,Alameda,6001,6,1,62.9942,56.0,34.0,80.0,41.633,47115
DISALEXI,2004-07-01,Alameda,6001,6,1,54.8941,48.0,26.0,68.0,41.0154,47097
DISALEXI,2004-08-01,Alameda,6001,6,1,43.1977,35.0,17.0,55.0,35.8317,47097
DISALEXI,2004-09-01,Alameda,6001,6,1,30.6528,23.0,9.0,42.0,28.5802,47115
DISALEXI,2004-10-01,Alameda,6001,6,1,23.8286,22.0,12.0,31.0,14.6754,47115
DISALEXI,2004-11-01,Alameda,6001,6,1,21.4863,22.0,17.0,26.0,6.6512,47114
DISALEXI,2004-12-01,Alameda,6001,6,1,16.873,17.0,12.0,21.0,6.4449,46611
DISALEXI,2005-01-01,Alameda,6001,6,1,25.8035,26.0,21.0,31.0,8.1717,42799
DISALEXI,2005-02-01,Alameda,6001,6,1,31.932,32.0,27.0,37.0,7.2566,44105
DISALEXI,2005-03-01,Alameda,6001,6,1,72.2305,72.0,63.0,82.0,12.2984,47112
DISALEXI,2005-04-01,Alameda,6001,6,1,88.0129,86.0,75.0,99.0,17.596,47115
DISALEXI,2005-05-01,Alameda,6001,6,1,89.7517,88.0,75.0,104.0,21.1598,47115
DISALEXI,2005-06-01,Alameda,6001,6,1,64.5216,62.0,44.0,78.0,28.8357,47115
DISALEXI,2005-07-01,Alameda,6001,6,1,77.3678,70.0,49.0,96.0,40.4594,47115
DISALEXI,2005-08-01,Alameda,6001,6,1,60.1383,53.0,34.0,78.0,36.5145,47115
DISALEXI,2005-09-01,Alameda,6001,6,1,35.3773,31.0,18.0,47.0,24.4213,47115
DISALEXI,2005-10-01,Alameda,6001,6,1,20.2374,18.0,8.0,29.0,15.3268,47115
DISALEXI,2005-11-01,Alameda,6001,6,1,7.4992,6.0,2.0,12.0,6.7552,46872
DISALEXI,2005-12-01,Alameda,6001,6,1,9.9844,10.0,7.0,12.0,4.0501,46871
DISALEXI,2006-01-01,Alameda,6001,6,1,19.2262,20.0,16.0,24.0,5.4106,47114
DISALEXI,2006-02-01,Alameda,6001,6,1,33.1092,32.0,26.0,40.0,10.2673,47115
DISALEXI,2006-03-01,Alameda,6001,6,1,48.9107,49.0,42.0,56.0,10.1768,47110
DISALEXI,2006-04-01,Alameda,6001,6,1,74.5601,75.0,64.0,85.0,13.7103,47110
DISALEXI,2006-05-01,Alameda,6001,6,1,102.1076,99.0,84.0,119.0,27.6586,47115
DISALEXI,2006-06-01,Alameda,6001,6,1,72.9871,71.0,53.0,88.0,32.2299,47115
DISALEXI,2006-07-01,Alameda,6001,6,1,75.4451,72.0,53.0,89.0,34.8372,47115
DISALEXI,2006-08-01,Alameda,6001,6,1,57.8346,52.0,37.0,68.0,33.8558,47115
DISALEXI,2006-09-01,Alameda,6001,6,1,34.8511,31.0,18.0,43.0,25.6608,47115
DISALEXI,2006-10-01,Alameda,6001,6,1,16.8041,14.0,5.0,23.0,16.0181,47115
DISALEXI,2006-11-01,Alameda,6001,6,1,10.7443,9.0,6.0,14.0,6.3972,47115
DISALEXI,2006-12-01,Alameda,6001,6,1,8.4731,8.0,5.0,12.0,5.2975,47115
DISALEXI,2007-01-01,Alameda,6001,6,1,14.3182,14.0,9.0,18.0,7.5015,47115
DISALEXI,2007-02-01,Alameda,6001,6,1,23.0135,23.0,19.0,27.0,6.9226,47115
DISALEXI,2007-03-01,Alameda,6001,6,1,60.5958,57.0,48.0,69.0,19.124,47115
DISALEXI,2007-04-01,Alameda,6001,6,1,58.4156,53.0,41.0,68.0,26.7355,47115
DISALEXI,2007-05-01,Alameda,6001,6,1,51.5212,42.0,24.0,69.0,36.3953,47115
DISALEXI,2007-06-01,Alameda,6001,6,1,50.4038,41.0,20.0,68.0,42.9865,47115
DISALEXI,2007-07-01,Alameda,6001,6,1,46.4872,37.0,14.0,61.0,43.6131,47115
DISALEXI,2007-08-01,Alameda,6001,6,1,36.8917,23.0,6.0,47.0,42.7547,47115
DISALEXI,2007-09-01,Alameda,6001,6,1,20.6225,11.0,1.0,27.0,27.0777,47115
DISALEXI,2007-10-01,Alameda,6001,6,1,10.4941,6.0,0.0,15.0,13.3746,46855
DISALEXI,2007-11-01,Alameda,6001,6,1,9.6795,8.0,2.0,15.0,9.037,43399
DISALEXI,2007-12-01,Alameda,6001,6,1,12.0936,12.0,10.0,15.0,4.9514,14737
DISALEXI,2008-01-01,Alameda,6001,6,1,16.2545,17.0,13.0,20.0,5.955,14700
DISALEXI,2008-02-01,Alameda,6001,6,1,29.9544,29.0,21.0,39.0,12.4846,47066
DISALEXI,2008-03-01,Alameda,6001,6,1,64.4858,59.0,48.0,81.0,23.8016,47115
DISALEXI,2008-04-01,Alameda,6001,6,1,60.5908,52.0,38.0,73.0,34.0376,47115
DISALEXI,2008-05-01,Alameda,6001,6,1,58.9515,50.0,34.0,73.0,36.781,47115
DISALEXI,2008-06-01,Alameda,6001,6,1,59.9648,54.0,31.0,80.0,38.3073,47115
DISALEXI,2008-07-01,Alameda,6001,6,1,64.0445,55.0,33.0,80.0,43.1054,47115
DISALEXI,2008-08-01,Alameda,6001,6,1,40.0914,29.0,10.0,54.0,40.3196,47115
DISALEXI,2008-09-01,Alameda,6001,6,1,25.3216,14.0,2.0,34.0,30.9868,47115
DISALEXI,2008-10-01,Alameda,6001,6,1,14.0406,7.0,2.0,20.0,16.454,47115
DISALEXI,2008-11-01,Alameda,6001,6,1,15.3636,15.0,11.0,20.0,7.4302,40652
DISALEXI,2008-12-01,Alameda,6001,6,1,18.4514,19.0,14.0,23.0,7.0625,22377
DISALEXI,2009-01-01,Alameda,6001,6,1,20.0871,21.0,16.0,25.0,7.3188,47015
DISALEXI,2009-02-01,Alameda,6001,6,1,26.1613,26.0,22.0,31.0,6.3719,47110
DISALEXI,2009-03-01,Alameda,6001,6,1,59.3289,57.0,46.0,71.0,19.215,47115
DISALEXI,2009-04-01,Alameda,6001,6,1,57.4755,52.0,37.0,72.0,27.1007,47115
DISALEXI,2009-05-01,Alameda,6001,6,1,51.0113,44.0,31.0,64.0,28.9845,47115
DISALEXI,2009-06-01,Alameda,6001,6,1,45.9784,35.0,18.0,61.0,38.6356,47115
DISALEXI,2009-07-01,Alameda,6001,6,1,49.885,35.0,15.0,69.0,46.1502,47115
DISALEXI,2009-08-01,Alameda,6001,6,1,40.5757,26.0,6.0,53.0,44.2153,47115
DISALEXI,2009-09-01,Alameda,6001,6,1,26.8869,16.0,3.0,37.0,30.6162,47115
DISALEXI,2009-10-01,Alameda,6001,6,1,25.2827,23.0,15.0,33.0,13.9396,47115
DISALEXI,2009-11-01,Alameda,6001,6,1,13.1483,12.0,7.0,18.0,8.1359,47115
DISALEXI,2009-12-01,Alameda,6001,6,1,12.6794,13.0,9.0,16.0,5.2405,47109
DISALEXI,2010-01-01,Alameda,6001,6,1,18.729,19.0,15.0,23.0,6.0496,47069
DISALEXI,2010-02-01,Alameda,6001,6,1,28.8316,29.0,23.0,34.0,8.2285,47069
DISALEXI,2010-03-01,Alameda,6001,6,1,71.9727,73.0,60.0,83.0,14.6968,47115
DISALEXI,2010-04-01,Alameda,6001,6,1,81.7678,79.0,66.0,98.0,19.1215,47115
DISALEXI,2010-05-01,Alameda,6001,6,1,73.9899,70.0,55.0,89.0,25.811,47115
DISALEXI,2010-06-01,Alameda,6001,6,1,59.9565,53.0,38.0,74.0,32.8354,47115
DISALEXI,2010-07-01,Alameda,6001,6,1,59.8439,54.0,37.0,75.0,33.8018,47115
DISALEXI,2010-08-01,Alameda,6001,6,1,35.601,28.0,13.0,48.0,30.6621,47115
DISALEXI,2010-09-01,Alameda,6001,6,1,29.5882,23.0,9.0,40.0,27.1889,47115
DISALEXI,2010-10-01,Alameda,6001,6,1,20.8198,17.0,10.0,26.0,15.2866,47115
DISALEXI,2010-11-01,Alameda,6001,6,1,19.9871,20.0,15.0,25.0,7.2602,42039
DISALEXI,2010-12-01,Alameda,6001,6,1,12.2708,12.0,10.0,15.0,3.6635,38956
DISALEXI,2011-01-01,Alameda,6001,6,1,22.4747,23.0,18.0,27.0,6.4548,46824
DISALEXI,2011-02-01,Alameda,6001,6,1,37.3723,40.0,34.0,44.0,10.0135,16967
DISALEXI,2011-03-01,Alameda,6001,6,1,56.3807,57.0,48.0,65.0,11.4583,42815
DISALEXI,2011-04-01,Alameda,6001,6,1,82.1431,79.0,65.0,97.0,23.3488,47109
DISALEXI,2011-05-01,Alameda,6001,6,1,73.6091,68.0,57.0,82.0,26.0893,47115
DISALEXI,2011-06-01,Alameda,6001,6,1,66.3516,60.0,45.0,81.0,30.5077,47115
DISALEXI,2011-07-01,Alameda,6001,6,1,65.7109,59.0,39.0,84.0,37.4235,47115
DISALEXI,2011-08-01,Alameda,6001,6,1,50.401,40.0,22.0,66.0,39.3885,47115
DISALEXI,2011-09-01,Alameda,6001,6,1,37.6088,28.0,13.0,49.0,33.4641,47115
DISALEXI,2011-10-01,Alameda,6001,6,1,23.4358,20.0,12.0,30.0,16.0714,47114
DISALEXI,2011-11-01,Alameda,6001,6,1,10.0546,8.0,2.0,16.0,9.2819,47104
DISALEXI,2011-12-01,Alameda,6001,6,1,7.9848,7.0,2.0,12.0,7.3569,37046
DISALEXI,2012-01-01,Alameda,6001,6,1,6.6307,3.0,1.0,11.0,7.9362,40048
DISALEXI,2012-02-01,Alameda,6001,6,1,15.6696,13.0,6.0,23.0,12.1206,47091
DISALEXI,2012-03-01,Alameda,6001,6,1,25.4968,23.0,15.0,33.0,14.8692,47091
DISALEXI,2012-04-01,Alameda,6001,6,1,64.8213,58.0,43.0,77.0,32.3091,47115
DISALEXI,2012-05-01,Alameda,6001,6,1,65.7303,59.0,35.0,88.0,39.0642,47115
DISALEXI,2012-06-01,Alameda,6001,6,1,51.8391,43.0,18.0,77.0,40.6624,47115
