MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-10-01,Alameda,6001,6,1,22.6515,19.0,6.0,33.0,19.2064,55300
DISALEXI,2003-11-01,Alameda,6001,6,1,12.9295,13.0,7.0,18.0,8.3146,50654
DISALEXI,2003-12-01,Alameda,6001,6,1,12.114,12.0,9.0,14.0,5.5691,18882
DISALEXI,2004-01-01,Alameda,6001,6,1,22.2193,23.0,18.0,25.0,9.2657,19071
DISALEXI,2004-02-01,Alameda,6001,6,1,29.2506,29.0,24.0,35.0,8.8203,49912
DISALEXI,2004-03-01,Alameda,6001,6,1,68.2524,66.0,52.0,85.0,22.1367,55300
DISALEXI,2004-04-01,Alameda,6001,6,1,56.6118,53.0,39.0,70.0,25.088,55300
DISALEXI,2004-05-01,Alameda,6001,6,1,69.7962,64.0,48.0,83.0,32.5765,55301
DISALEXI,2004-06-01,Alameda,6001,6,1,69.7682,62.0,38.0,93.0,44.2123,55300
DISALEXI,2004-07-01,Alameda,6001,6,1,59.7701,53.0,29.0,75.0,41.859,55237
DISALEXI,2004-08-01,Alameda,6001,6,1,47.318,40.0,20.0,64.0,36.2301,55237
DISALEXI,2004-09-01,Alameda,6001,6,1,33.8252,28.0,10.0,47.0,28.9998,55300
DISALEXI,2004-10-01,Alameda,6001,6,1,24.7093,23.0,13.0,32.0,14.7137,55300
DISALEXI,2004-11-01,Alameda,6001,6,1,20.8126,22.0,17.0,26.0,7.426,55299
DISALEXI,2004-12-01,Alameda,6001,6,1,16.4086,17.0,12.0,21.0,6.7692,54796
DISALEXI,2005-01-01,Alameda,6001,6,1,24.9335,25.0,20.0,31.0,8.5719,49714
DISALEXI,2005-02-01,Alameda,6001,6,1,31.1982,31.0,26.0,37.0,7.6405,50979
DISALEXI,2005-03-01,Alameda,6001,6,1,69.695,70.0,61.0,81.0,14.2125,55297
DISALEXI,2005-04-01,Alameda,6001,6,1,85.3948,85.0,73.0,98.0,19.7626,55300
DISALEXI,2005-05-01,Alameda,6001,6,1,89.6486,88.0,74.0,105.0,22.2173,55300
DISALEXI,2005-06-01,Alameda,6001,6,1,69.032,65.0,47.0,85.0,30.8522,55300
DISALEXI,2005-07-01,Alameda,6001,6,1,85.1374,76.0,53.0,111.0,43.8547,55300
DISALEXI,2005-08-01,Alameda,6001,6,1,65.1449,57.0,38.0,86.0,38.5891,55300
DISALEXI,2005-09-01,Alameda,6001,6,1,36.5937,32.0,19.0,49.0,24.0932,55300
DISALEXI,2005-10-01,Alameda,6001,6,1,22.2055,20.0,9.0,31.0,16.3612,55300
DISALEXI,2005-11-01,Alameda,6001,6,1,8.5244,6.0,2.0,13.0,7.8182,55057
DISALEXI,2005-12-01,Alameda,6001,6,1,9.8334,10.0,7.0,12.0,4.5554,55056
DISALEXI,2006-01-01,Alameda,6001,6,1,18.4148,19.0,15.0,23.0,6.2623,55299
DISALEXI,2006-02-01,Alameda,6001,6,1,31.7699,31.0,25.0,39.0,10.9757,55300
DISALEXI,2006-03-01,Alameda,6001,6,1,47.0816,48.0,40.0,55.0,11.881,55295
DISALEXI,2006-04-01,Alameda,6001,6,1,72.3918,73.0,62.0,84.0,16.4203,55295
DISALEXI,2006-05-01,Alameda,6001,6,1,103.8117,101.0,84.0,122.0,28.9198,55300
DISALEXI,2006-06-01,Alameda,6001,6,1,78.3077,75.0,56.0,95.0,34.7337,55301
DISALEXI,2006-07-01,Alameda,6001,6,1,83.9233,77.0,56.0,102.0,41.7625,55300
DISALEXI,2006-08-01,Alameda,6001,6,1,62.4569,56.0,40.0,76.0,35.6808,55300
DISALEXI,2006-09-01,Alameda,6001,6,1,38.7562,34.0,20.0,49.0,27.3736,55300
DISALEXI,2006-10-01,Alameda,6001,6,1,18.355,15.0,6.0,25.0,16.5093,55300
DISALEXI,2006-11-01,Alameda,6001,6,1,10.9657,10.0,6.0,15.0,6.8503,55300
DISALEXI,2006-12-01,Alameda,6001,6,1,8.118,8.0,4.0,11.0,5.7112,55300
DISALEXI,2007-01-01,Alameda,6001,6,1,14.1928,14.0,8.0,19.0,8.1962,55300
DISALEXI,2007-02-01,Alameda,6001,6,1,23.5666,23.0,19.0,28.0,8.012,55300
DISALEXI,2007-03-01,Alameda,6001,6,1,60.4108,57.0,48.0,70.0,19.21,55300
DISALEXI,2007-04-01,Alameda,6001,6,1,59.1586,54.0,42.0,70.0,25.8278,55300
DISALEXI,2007-05-01,Alameda,6001,6,1,57.3313,49.0,27.0,80.0,38.1666,55300
DISALEXI,2007-06-01,Alameda,6001,6,1,60.3435,50.0,24.0,84.0,48.7689,55300
DISALEXI,2007-07-01,Alameda,6001,6,1,55.9341,44.0,18.0,83.0,47.9295,55300
DISALEXI,2007-08-01,Alameda,6001,6,1,44.6475,29.0,9.0,71.0,44.8832,55300
DISALEXI,2007-09-01,Alameda,6001,6,1,26.0705,15.0,2.0,36.0,30.7424,55222
DISALEXI,2007-10-01,Alameda,6001,6,1,11.5722,7.0,0.0,17.0,14.0406,53763
