MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,Alameda,6001,6,1,21.5883,18.0,7.0,34.0,16.7724,47122
GEESEBAL,2003-11-01,Alameda,6001,6,1,9.7783,9.0,4.0,15.0,7.3482,44005
GEESEBAL,2003-12-01,Alameda,6001,6,1,10.2456,10.0,8.0,13.0,4.8683,20267
GEESEBAL,2004-01-01,Alameda,6001,6,1,20.6872,22.0,17.0,25.0,6.5585,20593
GEESEBAL,2004-02-01,Alameda,6001,6,1,36.7347,38.0,33.0,42.0,7.2148,42589
GEESEBAL,2004-03-01,Alameda,6001,6,1,67.1325,67.0,57.0,78.0,16.262,47121
GEESEBAL,2004-04-01,Alameda,6001,6,1,66.0484,66.0,49.0,81.0,25.1875,47122
GEESEBAL,2004-05-01,Alameda,6001,6,1,73.8064,71.0,47.0,96.0,37.8843,47122
GEESEBAL,2004-06-01,Alameda,6001,6,1,57.6866,47.0,22.0,84.0,46.2013,47122
GEESEBAL,2004-07-01,Alameda,6001,6,1,62.6035,54.0,27.0,89.0,45.9496,47122
GEESEBAL,2004-08-01,Alameda,6001,6,1,36.0323,21.0,6.0,53.0,39.7254,47122
GEESEBAL,2004-09-01,Alameda,6001,6,1,22.2686,14.0,6.0,29.0,24.0283,47122
GEESEBAL,2004-10-01,Alameda,6001,6,1,29.3135,27.0,19.0,38.0,14.2683,47122
GEESEBAL,2004-11-01,Alameda,6001,6,1,8.8851,8.0,4.0,13.0,6.8048,47091
GEESEBAL,2004-12-01,Alameda,6001,6,1,10.2059,11.0,4.0,16.0,6.8716,46689
GEESEBAL,2005-01-01,Alameda,6001,6,1,9.8099,9.0,6.0,13.0,5.531,44216
GEESEBAL,2005-02-01,Alameda,6001,6,1,26.0257,26.0,19.0,34.0,10.5538,45224
GEESEBAL,2005-03-01,Alameda,6001,6,1,69.3793,69.0,60.0,80.0,14.384,47097
GEESEBAL,2005-04-01,Alameda,6001,6,1,83.1058,83.0,70.0,97.0,19.6084,47122
GEESEBAL,2005-05-01,Alameda,6001,6,1,116.7223,119.0,101.0,136.0,25.9735,47122
GEESEBAL,2005-06-01,Alameda,6001,6,1,74.4012,72.0,51.0,94.0,31.7458,47122
GEESEBAL,2005-07-01,Alameda,6001,6,1,54.4178,43.0,25.0,73.0,39.7487,47122
GEESEBAL,2005-08-01,Alameda,6001,6,1,53.557,42.0,25.0,79.0,38.8715,47122
GEESEBAL,2005-09-01,Alameda,6001,6,1,41.5678,34.0,18.0,61.0,29.1139,47122
GEESEBAL,2005-10-01,Alameda,6001,6,1,16.7389,12.0,2.0,28.0,16.4112,47122
GEESEBAL,2005-11-01,Alameda,6001,6,1,8.5972,8.0,3.0,13.0,6.581,47025
