MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2003-10-01,Alameda,6001,6,1,40.5746,33.0,27.0,54.0,19.2203,47122
PTJPL,2003-11-01,Alameda,6001,6,1,27.7784,27.0,20.0,34.0,9.713,44123
PTJPL,2003-12-01,Alameda,6001,6,1,22.7585,22.0,20.0,25.0,4.0248,20676
PTJPL,2004-01-01,Alameda,6001,6,1,35.9772,36.0,35.0,38.0,2.1558,21008
PTJPL,2004-02-01,Alameda,6001,6,1,48.9427,48.0,45.0,52.0,5.5631,42680
PTJPL,2004-03-01,Alameda,6001,6,1,98.1576,99.0,93.0,105.0,10.7096,47121
PTJPL,2004-04-01,Alameda,6001,6,1,94.0449,94.0,83.0,102.0,16.1746,47122
PTJPL,2004-05-01,Alameda,6001,6,1,92.8099,88.0,74.0,105.0,26.234,47122
PTJPL,2004-06-01,Alameda,6001,6,1,83.3035,71.0,59.0,100.0,35.0244,47122
PTJPL,2004-07-01,Alameda,6001,6,1,61.1681,41.0,31.0,82.0,42.6738,47122
PTJPL,2004-08-01,Alameda,6001,6,1,55.4773,37.0,30.0,74.0,36.4569,47122
PTJPL,2004-09-01,Alameda,6001,6,1,41.7243,30.0,21.0,56.0,28.3906,47122
PTJPL,2004-10-01,Alameda,6001,6,1,48.7036,43.0,37.0,58.0,16.4138,47122
PTJPL,2004-11-01,Alameda,6001,6,1,40.009,40.0,38.0,42.0,4.7477,47099
PTJPL,2004-12-01,Alameda,6001,6,1,28.4845,30.0,25.0,32.0,4.8295,46756
PTJPL,2005-01-01,Alameda,6001,6,1,33.4526,34.0,32.0,35.0,2.9499,44719
PTJPL,2005-02-01,Alameda,6001,6,1,53.2719,55.0,51.0,57.0,5.4439,45534
PTJPL,2005-03-01,Alameda,6001,6,1,92.599,92.0,87.0,98.0,7.4798,47097
PTJPL,2005-04-01,Alameda,6001,6,1,102.0252,101.0,96.0,107.0,9.4786,47122
PTJPL,2005-05-01,Alameda,6001,6,1,124.2188,127.0,113.0,136.0,16.6457,47122
PTJPL,2005-06-01,Alameda,6001,6,1,87.6453,82.0,67.0,105.0,25.8569,47122
PTJPL,2005-07-01,Alameda,6001,6,1,74.957,60.0,44.0,102.0,38.8485,47122
PTJPL,2005-08-01,Alameda,6001,6,1,65.8965,48.0,36.0,94.0,38.0075,47122
PTJPL,2005-09-01,Alameda,6001,6,1,64.6797,55.0,44.0,85.0,25.4636,47122
PTJPL,2005-10-01,Alameda,6001,6,1,51.5837,49.5,36.0,66.0,17.3969,47122
PTJPL,2005-11-01,Alameda,6001,6,1,25.7944,25.0,18.0,32.0,10.0129,47046
PTJPL,2005-12-01,Alameda,6001,6,1,30.1781,32.0,31.0,33.0,6.2587,46988
PTJPL,2006-01-01,Alameda,6001,6,1,26.479,26.0,25.0,28.0,2.4957,47096
PTJPL,2006-02-01,Alameda,6001,6,1,48.4491,47.0,44.0,52.0,7.2686,47103
PTJPL,2006-03-01,Alameda,6001,6,1,72.4141,74.0,67.0,79.0,8.3564,47102
PTJPL,2006-04-01,Alameda,6001,6,1,96.8398,91.0,86.0,109.0,14.8236,47114
PTJPL,2006-05-01,Alameda,6001,6,1,112.861,113.0,99.0,126.0,20.6909,47122
PTJPL,2006-06-01,Alameda,6001,6,1,84.9948,80.0,65.0,101.0,28.5622,47122
