MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SIMS,2003-10-01,Alameda,6001,6,1,29.2282,20.0,14.0,38.0,24.5855,43721
SIMS,2003-11-01,Alameda,6001,6,1,31.9576,32.0,27.0,37.0,6.0895,41378
SIMS,2003-12-01,Alameda,6001,6,1,30.0765,30.0,30.0,31.0,0.8523,19883
SIMS,2004-01-01,Alameda,6001,6,1,29.2535,30.0,27.0,32.0,2.7191,20149
SIMS,2004-02-01,Alameda,6001,6,1,47.5385,49.0,45.0,51.0,4.7513,39989
SIMS,2004-03-01,Alameda,6001,6,1,79.5407,83.0,69.0,95.0,18.7183,43721
SIMS,2004-04-01,Alameda,6001,6,1,77.0787,80.0,56.0,98.0,25.8303,43721
SIMS,2004-05-01,Alameda,6001,6,1,59.7866,53.0,33.0,76.0,33.6608,43721
SIMS,2004-06-01,Alameda,6001,6,1,55.4949,40.0,26.0,76.0,44.4028,43721
SIMS,2004-07-01,Alameda,6001,6,1,54.3952,34.0,25.0,78.0,47.2847,43721
SIMS,2004-08-01,Alameda,6001,6,1,48.1557,29.0,21.0,67.0,43.2556,43721
SIMS,2004-09-01,Alameda,6001,6,1,45.0463,33.0,26.0,55.0,32.333,43721
SIMS,2004-10-01,Alameda,6001,6,1,41.6541,36.0,33.0,44.0,15.1066,43721
SIMS,2004-11-01,Alameda,6001,6,1,34.9749,36.0,31.0,39.0,6.08,43718
SIMS,2004-12-01,Alameda,6001,6,1,24.1948,25.0,21.0,28.0,5.0744,43471
SIMS,2005-01-01,Alameda,6001,6,1,27.4785,28.0,26.0,29.0,2.3246,42205
SIMS,2005-02-01,Alameda,6001,6,1,41.3305,42.0,38.0,45.0,4.4762,42880
SIMS,2005-03-01,Alameda,6001,6,1,78.8982,81.0,75.0,85.0,7.6209,43716
SIMS,2005-04-01,Alameda,6001,6,1,92.4958,96.0,84.0,104.0,14.9923,43721
SIMS,2005-05-01,Alameda,6001,6,1,95.643,99.0,82.0,111.0,23.7199,43721
SIMS,2005-06-01,Alameda,6001,6,1,68.7009,60.0,40.0,92.0,36.1383,43721
SIMS,2005-07-01,Alameda,6001,6,1,67.9592,53.0,30.0,100.0,48.6349,43721
SIMS,2005-08-01,Alameda,6001,6,1,57.9903,42.0,25.0,87.0,44.4818,43721
SIMS,2005-09-01,Alameda,6001,6,1,44.3454,33.0,20.0,65.0,32.573,43721
SIMS,2005-10-01,Alameda,6001,6,1,29.5662,23.0,16.0,39.0,20.7008,43721
SIMS,2005-11-01,Alameda,6001,6,1,19.4415,17.0,13.0,22.0,9.863,43669
SIMS,2005-12-01,Alameda,6001,6,1,24.7356,24.0,23.0,27.0,2.8024,43638
SIMS,2006-01-01,Alameda,6001,6,1,34.2825,35.0,32.0,37.0,3.6333,43718
SIMS,2006-02-01,Alameda,6001,6,1,43.0006,44.0,37.0,51.0,9.034,43718
SIMS,2006-03-01,Alameda,6001,6,1,73.3524,74.0,72.0,75.0,2.0609,43718
SIMS,2006-04-01,Alameda,6001,6,1,88.5712,91.0,83.0,96.0,9.5324,43719
SIMS,2006-05-01,Alameda,6001,6,1,95.165,96.0,78.0,113.0,24.8067,43721
SIMS,2006-06-01,Alameda,6001,6,1,60.8858,52.0,33.0,82.0,37.6299,43721
SIMS,2006-07-01,Alameda,6001,6,1,63.0246,48.0,31.0,89.0,45.7635,43721
SIMS,2006-08-01,Alameda,6001,6,1,51.4484,35.0,24.0,72.0,41.5115,43721
SIMS,2006-09-01,Alameda,6001,6,1,39.3623,27.0,19.0,55.0,32.0121,43721
SIMS,2006-10-01,Alameda,6001,6,1,30.6393,23.0,17.0,39.0,19.5972,43721
SIMS,2006-11-01,Alameda,6001,6,1,32.5016,31.0,30.0,35.0,4.5283,43721
SIMS,2006-12-01,Alameda,6001,6,1,29.1276,28.0,27.0,32.0,3.4439,43720
SIMS,2007-01-01,Alameda,6001,6,1,27.1882,27.0,21.0,33.0,7.2152,43721
SIMS,2007-02-01,Alameda,6001,6,1,40.814,42.0,37.0,45.0,5.3493,43721
SIMS,2007-03-01,Alameda,6001,6,1,72.5209,74.0,64.0,84.0,16.1242,43721
SIMS,2007-04-01,Alameda,6001,6,1,82.5883,82.0,66.0,101.0,22.832,43721
SIMS,2007-05-01,Alameda,6001,6,1,62.7492,55.0,35.0,83.0,35.3889,43721
SIMS,2007-06-01,Alameda,6001,6,1,56.0656,38.0,27.0,77.0,44.968,43721
SIMS,2007-07-01,Alameda,6001,6,1,60.6944,40.0,27.0,84.0,49.5492,43721
SIMS,2007-08-01,Alameda,6001,6,1,55.2988,36.0,25.0,77.0,45.7251,43721
SIMS,2007-09-01,Alameda,6001,6,1,41.6925,29.0,21.0,54.0,31.1634,43720
SIMS,2007-10-01,Alameda,6001,6,1,43.5939,39.0,33.0,49.0,15.5004,43665
SIMS,2007-11-01,Alameda,6001,6,1,26.6971,23.0,20.0,32.0,10.2728,42613
SIMS,2007-12-01,Alameda,6001,6,1,33.5367,33.0,32.0,35.0,2.869,21261
SIMS,2008-01-01,Alameda,6001,6,1,32.7443,33.0,31.0,34.0,2.5048,24040
SIMS,2008-02-01,Alameda,6001,6,1,47.3596,49.0,43.0,53.0,7.3384,43707
SIMS,2008-03-01,Alameda,6001,6,1,74.969,80.0,63.0,89.0,18.0481,43721
SIMS,2008-04-01,Alameda,6001,6,1,81.6354,83.0,62.0,101.0,26.2878,43721
SIMS,2008-05-01,Alameda,6001,6,1,67.4413,59.0,42.0,86.0,34.6903,43721
SIMS,2008-06-01,Alameda,6001,6,1,62.3246,49.0,31.0,84.0,41.501,43721
SIMS,2008-07-01,Alameda,6001,6,1,63.5818,44.0,27.0,92.0,47.3564,43721
SIMS,2008-08-01,Alameda,6001,6,1,60.1896,38.0,25.0,89.0,48.2203,43721
SIMS,2008-09-01,Alameda,6001,6,1,45.8589,30.0,19.0,69.0,36.7933,43721
SIMS,2008-10-01,Alameda,6001,6,1,36.172,26.0,21.0,48.0,23.2424,43721
SIMS,2008-11-01,Alameda,6001,6,1,31.0832,30.0,25.0,37.0,7.57,42448
SIMS,2008-12-01,Alameda,6001,6,1,21.8898,21.0,20.0,24.0,3.0691,41207
SIMS,2009-01-01,Alameda,6001,6,1,28.1509,28.0,24.0,32.0,5.8953,47384
SIMS,2009-02-01,Alameda,6001,6,1,44.2638,45.0,42.0,46.0,2.7316,47385
SIMS,2009-03-01,Alameda,6001,6,1,76.1148,81.0,65.0,87.0,14.1086,47387
SIMS,2009-04-01,Alameda,6001,6,1,78.0846,77.0,60.0,97.0,22.7223,47387
SIMS,2009-05-01,Alameda,6001,6,1,64.8955,61.0,39.0,81.0,35.1296,47387
SIMS,2009-06-01,Alameda,6001,6,1,56.2511,45.0,13.0,86.0,46.3682,47387
SIMS,2009-07-01,Alameda,6001,6,1,58.8233,50.0,8.0,96.0,51.5718,47387
SIMS,2009-08-01,Alameda,6001,6,1,56.9026,49.0,10.0,86.0,50.57,47387
SIMS,2009-09-01,Alameda,6001,6,1,49.9569,42.0,14.0,69.0,39.8268,47387
SIMS,2009-10-01,Alameda,6001,6,1,45.818,42.0,36.0,53.0,15.4225,47387
SIMS,2009-11-01,Alameda,6001,6,1,28.4929,26.0,22.0,36.0,10.6146,47387
SIMS,2009-12-01,Alameda,6001,6,1,24.4421,24.0,22.0,27.0,3.1138,47390
SIMS,2010-01-01,Alameda,6001,6,1,26.6742,27.0,25.0,28.0,2.2525,47588
SIMS,2010-02-01,Alameda,6001,6,1,41.2628,43.0,39.0,44.0,3.811,47588
SIMS,2010-03-01,Alameda,6001,6,1,74.9072,79.0,66.0,84.0,11.4539,47732
SIMS,2010-04-01,Alameda,6001,6,1,91.0907,96.0,80.0,102.0,14.2356,47732
SIMS,2010-05-01,Alameda,6001,6,1,82.2329,83.0,67.0,99.0,24.7364,47732
SIMS,2010-06-01,Alameda,6001,6,1,57.6079,49.0,19.0,83.0,44.1276,47732
SIMS,2010-07-01,Alameda,6001,6,1,52.2361,39.0,10.0,83.0,46.826,47732
SIMS,2010-08-01,Alameda,6001,6,1,45.0991,35.0,7.0,67.0,41.8829,47732
SIMS,2010-09-01,Alameda,6001,6,1,36.1716,28.0,6.0,48.0,35.8985,47732
SIMS,2010-10-01,Alameda,6001,6,1,35.8466,32.0,20.0,41.0,19.0997,47732
SIMS,2010-11-01,Alameda,6001,6,1,29.7536,28.0,24.0,31.0,7.2474,46231
SIMS,2010-12-01,Alameda,6001,6,1,26.9836,27.0,26.0,27.0,1.2797,43348
SIMS,2011-01-01,Alameda,6001,6,1,23.9828,25.0,21.0,28.0,5.144,47297
SIMS,2011-02-01,Alameda,6001,6,1,47.0442,49.0,44.0,53.0,8.2053,18557
SIMS,2011-03-01,Alameda,6001,6,1,57.7148,61.0,45.0,74.0,17.2647,43008
SIMS,2011-04-01,Alameda,6001,6,1,82.8675,85.0,67.0,100.0,21.3755,47396
SIMS,2011-05-01,Alameda,6001,6,1,81.5651,78.0,62.0,105.0,28.0681,47396
SIMS,2011-06-01,Alameda,6001,6,1,75.7806,69.0,49.0,95.0,33.2231,47396
SIMS,2011-07-01,Alameda,6001,6,1,55.2613,45.0,9.0,89.0,48.5629,47396
SIMS,2011-08-01,Alameda,6001,6,1,49.9565,41.0,7.0,78.0,45.6676,47396
SIMS,2011-09-01,Alameda,6001,6,1,41.1748,33.0,6.0,57.0,39.7808,47396
SIMS,2011-10-01,Alameda,6001,6,1,42.4366,40.0,32.0,46.0,17.6292,47396
SIMS,2011-11-01,Alameda,6001,6,1,28.9365,28.0,24.0,31.0,6.2879,47396
SIMS,2011-12-01,Alameda,6001,6,1,14.0643,13.0,6.0,19.0,9.3118,43776
SIMS,2012-01-01,Alameda,6001,6,1,20.2877,19.0,17.0,23.0,6.5987,43395
SIMS,2012-02-01,Alameda,6001,6,1,29.7645,29.0,20.0,37.0,11.9522,47891
SIMS,2012-03-01,Alameda,6001,6,1,59.9856,58.0,53.0,68.0,10.2433,47891
SIMS,2012-04-01,Alameda,6001,6,1,91.2302,92.0,77.0,106.0,17.937,47894
SIMS,2012-05-01,Alameda,6001,6,1,78.3629,73.0,52.0,99.0,38.2689,47894
SIMS,2012-06-01,Alameda,6001,6,1,61.6014,50.0,14.0,98.0,50.2745,47893
SIMS,2012-07-01,Alameda,6001,6,1,59.3259,55.0,6.0,96.0,52.8764,47893
SIMS,2012-08-01,Alameda,6001,6,1,56.246,48.0,5.0,88.0,53.3168,47894
SIMS,2012-09-01,Alameda,6001,6,1,40.2741,33.0,3.0,56.0,39.8777,47881
SIMS,2012-10-01,Alameda,6001,6,1,33.6796,31.0,15.0,41.0,21.5512,46891
SIMS,2012-11-01,Alameda,6001,6,1,35.0985,35.0,33.0,37.0,4.7705,39418
SIMS,2012-12-01,Alameda,6001,6,1,30.0935,30.0,29.0,31.0,1.6072,42961
SIMS,2013-01-01,Alameda,6001,6,1,30.3791,31.0,26.0,36.0,6.154,47451
SIMS,2013-02-01,Alameda,6001,6,1,41.9598,43.0,32.0,51.0,11.1611,45517
SIMS,2013-03-01,Alameda,6001,6,1,71.8635,75.0,56.0,87.0,18.2453,45797
SIMS,2013-04-01,Alameda,6001,6,1,88.9116,86.0,71.0,111.0,26.6034,47493
SIMS,2013-05-01,Alameda,6001,6,1,63.4624,59.0,27.0,88.0,41.7399,47493
SIMS,2013-06-01,Alameda,6001,6,1,63.7276,55.0,20.0,99.0,47.5109,47493
SIMS,2013-07-01,Alameda,6001,6,1,70.4984,66.0,19.0,109.0,54.7304,47493
SIMS,2013-08-01,Alameda,6001,6,1,60.5143,55.0,15.0,88.0,49.5361,47493
SIMS,2013-09-01,Alameda,6001,6,1,53.4144,47.0,23.0,65.0,34.4876,47493
SIMS,2013-10-01,Alameda,6001,6,1,26.335,22.0,6.0,34.0,24.4553,47493
SIMS,2013-11-01,Alameda,6001,6,1,22.885,20.0,17.0,24.0,10.0304,47493
SIMS,2013-12-01,Alameda,6001,6,1,17.271,15.0,13.0,19.0,7.031,47493
SIMS,2014-01-01,Alameda,6001,6,1,17.5113,17.0,10.0,22.0,9.3274,47645
SIMS,2014-02-01,Alameda,6001,6,1,38.3121,38.0,32.0,45.0,7.78,44654
SIMS,2014-03-01,Alameda,6001,6,1,72.8095,73.0,62.0,84.0,14.7989,44654
SIMS,2014-04-01,Alameda,6001,6,1,81.1785,79.0,64.0,95.0,22.7639,44654
SIMS,2014-05-01,Alameda,6001,6,1,57.3979,48.0,19.0,84.0,43.7931,44654
SIMS,2014-06-01,Alameda,6001,6,1,51.1708,38.0,9.0,83.0,46.4107,44654
SIMS,2014-07-01,Alameda,6001,6,1,56.4456,43.0,10.0,86.0,52.6822,44654
SIMS,2014-08-01,Alameda,6001,6,1,45.7121,35.0,6.0,67.0,45.6481,44654
SIMS,2014-09-01,Alameda,6001,6,1,43.6213,39.0,17.0,55.0,32.7772,44654
SIMS,2014-10-01,Alameda,6001,6,1,28.7664,25.0,10.0,39.0,22.4044,44654
SIMS,2014-11-01,Alameda,6001,6,1,27.7122,26.0,24.0,30.0,5.7575,44654
SIMS,2014-12-01,Alameda,6001,6,1,31.3426,32.0,28.0,35.0,4.1906,44655
SIMS,2015-01-01,Alameda,6001,6,1,19.7627,20.0,15.0,26.0,7.6582,44982
SIMS,2015-02-01,Alameda,6001,6,1,44.5242,45.0,35.0,56.0,11.7062,44857
SIMS,2015-03-01,Alameda,6001,6,1,73.6027,76.0,58.0,93.0,22.0589,44857
SIMS,2015-04-01,Alameda,6001,6,1,83.0142,80.0,64.0,106.0,26.7588,44857
SIMS,2015-05-01,Alameda,6001,6,1,63.319,63.0,36.0,84.0,32.5181,44857
SIMS,2015-06-01,Alameda,6001,6,1,67.3197,56.0,22.0,104.0,50.1845,44857
SIMS,2015-07-01,Alameda,6001,6,1,62.7206,51.0,14.0,108.0,50.5626,44857
SIMS,2015-08-01,Alameda,6001,6,1,52.7144,46.0,14.0,84.0,41.0754,44857
SIMS,2015-09-01,Alameda,6001,6,1,30.919,28.0,5.0,49.0,26.0071,44857
SIMS,2015-10-01,Alameda,6001,6,1,28.6727,25.0,9.0,40.0,23.1968,44857
SIMS,2015-11-01,Alameda,6001,6,1,39.9985,37.0,34.0,48.0,7.6044,44857
SIMS,2015-12-01,Alameda,6001,6,1,31.4995,32.0,30.0,34.0,2.9035,44856
SIMS,2016-01-01,Alameda,6001,6,1,34.5472,35.0,33.0,37.0,2.6879,44135
SIMS,2016-02-01,Alameda,6001,6,1,49.1502,50.0,41.0,59.0,10.7524,45850
SIMS,2016-03-01,Alameda,6001,6,1,74.0408,77.0,66.0,84.0,11.2217,45946
SIMS,2016-04-01,Alameda,6001,6,1,91.8104,91.0,77.0,109.0,20.0524,45948
SIMS,2016-05-01,Alameda,6001,6,1,76.1274,80.0,58.0,95.0,27.1851,45948
SIMS,2016-06-01,Alameda,6001,6,1,69.0258,66.0,37.0,100.0,38.2145,45948
