MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2003-10-01,Alameda,6001,6,1,30.0239,25.0,10.0,46.0,24.0137,47122
SSEBOP,2003-11-01,Alameda,6001,6,1,17.1507,17.0,10.0,24.0,9.2999,44123
SSEBOP,2003-12-01,Alameda,6001,6,1,15.3683,16.0,12.0,19.0,4.6718,20676
SSEBOP,2004-01-01,Alameda,6001,6,1,19.4344,19.0,16.0,23.0,5.1817,21008
SSEBOP,2004-02-01,Alameda,6001,6,1,33.1231,33.0,26.0,41.0,10.3306,42680
SSEBOP,2004-03-01,Alameda,6001,6,1,71.4157,73.0,56.0,89.0,23.1234,47121
SSEBOP,2004-04-01,Alameda,6001,6,1,66.7037,69.0,50.0,85.0,26.8939,47122
SSEBOP,2004-05-01,Alameda,6001,6,1,45.0549,39.0,21.0,62.0,31.6445,47122
SSEBOP,2004-06-01,Alameda,6001,6,1,44.611,34.0,13.0,65.0,41.1047,47122
SSEBOP,2004-07-01,Alameda,6001,6,1,48.2612,38.0,18.0,65.0,40.6233,47122
SSEBOP,2004-08-01,Alameda,6001,6,1,42.6807,31.0,16.0,60.0,36.7158,47122
SSEBOP,2004-09-01,Alameda,6001,6,1,35.3883,26.0,14.0,50.0,28.7588,47122
SSEBOP,2004-10-01,Alameda,6001,6,1,23.8928,21.0,12.0,32.0,15.1931,47122
SSEBOP,2004-11-01,Alameda,6001,6,1,23.3619,24.0,21.0,26.0,5.2487,47099
SSEBOP,2004-12-01,Alameda,6001,6,1,18.137,18.0,16.0,21.0,5.1896,46756
SSEBOP,2005-01-01,Alameda,6001,6,1,18.6468,18.0,16.0,22.0,4.4384,44719
SSEBOP,2005-02-01,Alameda,6001,6,1,31.9312,31.0,26.0,38.0,7.9703,45534
SSEBOP,2005-03-01,Alameda,6001,6,1,62.2621,62.0,50.0,75.0,15.2189,47097
SSEBOP,2005-04-01,Alameda,6001,6,1,76.7622,78.0,62.0,93.0,22.4644,47122
SSEBOP,2005-05-01,Alameda,6001,6,1,69.8574,70.0,53.0,86.0,25.6028,47122
SSEBOP,2005-06-01,Alameda,6001,6,1,48.0774,43.0,25.0,65.0,31.2488,47122
SSEBOP,2005-07-01,Alameda,6001,6,1,50.5778,40.0,18.0,72.0,42.4661,47122
SSEBOP,2005-08-01,Alameda,6001,6,1,50.3716,42.0,18.0,75.0,39.9,47122
SSEBOP,2005-09-01,Alameda,6001,6,1,36.743,30.0,16.0,51.0,28.2044,47122
SSEBOP,2005-10-01,Alameda,6001,6,1,24.0084,22.0,11.0,34.0,16.6469,47122
SSEBOP,2005-11-01,Alameda,6001,6,1,11.2979,10.0,4.0,17.0,8.6424,47046
SSEBOP,2005-12-01,Alameda,6001,6,1,9.7988,10.0,6.0,13.0,5.1843,46988
SSEBOP,2006-01-01,Alameda,6001,6,1,19.488,19.0,16.0,23.0,5.1435,47096
SSEBOP,2006-02-01,Alameda,6001,6,1,34.4118,33.0,27.0,41.0,10.5176,47103
SSEBOP,2006-03-01,Alameda,6001,6,1,46.5345,43.0,36.0,55.0,13.7389,47102
SSEBOP,2006-04-01,Alameda,6001,6,1,68.8985,68.0,56.0,81.0,16.4835,47114
SSEBOP,2006-05-01,Alameda,6001,6,1,72.1085,73.0,51.0,94.0,29.1672,47122
