MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2011-05-01,San Luis Obispo,06079,06,079,85.2591,82.4989,48.5013,120.4982,47.0797,9362870
DISALEXI,2011-05-01,San Mateo,06081,06,081,122.9565,132.0,93.0,155.0,40.6505,1090184
DISALEXI,2011-05-01,Sierra,06091,06,091,108.1621,108.0,86.0,132.0,30.4502,1299952
DISALEXI,2011-05-01,Sacramento,06067,06,067,80.8191,75.0,58.0,97.0,31.9106,2808098
DISALEXI,2011-05-01,Tulare,06107,06,107,97.3635,94.4994,60.5027,132.497,47.3008,10676191
DISALEXI,2011-05-01,San Benito,06069,06,069,79.3077,81.0,52.0,108.0,39.4468,4000773
DISALEXI,2011-05-01,Butte,06007,06,007,115.0241,119.0,87.0,146.0,38.3218,4487289
DISALEXI,2011-05-01,Merced,06047,06,047,80.9563,72.4968,44.5054,114.5003,47.5454,5633554
DISALEXI,2011-05-01,Tuolumne,06109,06,109,118.8989,124.0,97.0,144.0,34.3786,3430382
DISALEXI,2011-05-01,Orange,06059,06,059,94.5717,92.0,74.0,116.0,33.1418,2249451
DISALEXI,2011-05-01,Los Angeles,06037,06,037,72.519,72.4997,30.4959,108.4953,48.7549,11178825
DISALEXI,2011-05-01,Santa Cruz,06087,06,087,130.1496,139.0,108.0,156.0,35.4057,1233293
DISALEXI,2011-05-01,Sonoma,06097,06,097,120.904,122.0,95.0,148.0,35.6054,4499334
DISALEXI,2011-05-01,Marin,06041,06,041,137.6522,146.0,111.0,168.0,39.6725,1345366
DISALEXI,2011-05-01,Alameda,06001,06,001,79.1675,72.4958,54.5077,98.4912,34.3017,2028887
DISALEXI,2011-05-01,Alpine,06003,06,003,101.0909,101.0,82.0,120.0,29.395,533869
DISALEXI,2011-05-01,Placer,06061,06,061,110.4315,113.0,85.0,137.0,33.7471,2653524
DISALEXI,2011-05-01,Nevada,06057,06,057,116.6975,118.0,101.0,134.0,24.4097,1828601
DISALEXI,2011-05-01,Yolo,06113,06,113,89.6149,87.0,64.0,113.0,32.7737,2924457
DISALEXI,2011-05-01,Fresno,06019,06,019,85.9422,80.4968,46.5009,124.5,50.3866,13064704
DISALEXI,2011-05-01,Trinity,06105,06,105,117.1742,119.0,99.0,137.0,26.3791,7341542
DISALEXI,2011-05-01,Shasta,06089,06,089,102.7786,104.0,82.0,125.0,29.3553,9784911
DISALEXI,2011-05-01,Yuba,06115,06,115,110.4376,112.0,85.0,137.0,35.0946,1830978
DISALEXI,2011-05-01,Colusa,06011,06,011,81.5945,81.0,52.0,109.0,37.2305,3312220
DISALEXI,2011-05-01,Riverside,06065,06,065,36.5802,14.4925,0.1472,64.4984,44.8256,20675070
DISALEXI,2011-05-01,Contra Costa,06013,06,013,88.2001,81.0,60.0,112.0,37.7559,2009952
DISALEXI,2011-05-01,Humboldt,06023,06,023,127.8646,133.0,113.0,146.0,27.2272,9436862
DISALEXI,2011-05-01,San Diego,06073,06,073,75.2013,80.5001,42.5077,108.4972,45.7563,11848776
DISALEXI,2011-05-01,Monterey,06053,06,053,96.3271,95.0,70.0,122.0,36.9691,9213013
DISALEXI,2011-05-01,Mendocino,06045,06,045,132.5807,136.0,113.0,155.0,30.2777,9517359
DISALEXI,2011-05-01,El Dorado,06017,06,017,123.204,126.0,106.0,143.0,26.9941,3391328
