MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2012-07-01,San Luis Obispo,06079,06,079,42.5957,26.4977,0.1201,72.4969,45.9332,9460820
EEMETRIC,2012-07-01,San Mateo,06081,06,081,87.5561,94.5017,54.4991,122.4985,41.6671,1168559
EEMETRIC,2012-07-01,Sierra,06091,06,091,110.2334,108.4966,68.5054,152.501,55.4504,2765112
EEMETRIC,2012-07-01,Sacramento,06067,06,067,70.1246,48.4937,10.4946,114.5026,67.6912,2856203
EEMETRIC,2012-07-01,Tulare,06107,06,107,120.4306,108.4968,60.5004,172.5008,76.2441,13403414
EEMETRIC,2012-07-01,San Benito,06069,06,069,27.2241,6.4771,0.1014,46.4985,36.5371,4001235
EEMETRIC,2012-07-01,Butte,06007,06,007,104.4311,102.4998,44.5004,164.503,69.2462,4826442
EEMETRIC,2012-07-01,Merced,06047,06,047,83.012,64.4978,0.0872,152.5015,80.5213,5692262
EEMETRIC,2012-07-01,Tuolumne,06109,06,109,96.9959,94.5017,50.4995,140.5017,58.8229,6344996
EEMETRIC,2012-07-01,Orange,06059,06,059,99.3361,96.4986,70.5107,126.4939,41.0646,2215222
EEMETRIC,2012-07-01,Los Angeles,06037,06,037,68.2587,62.5016,14.4954,104.4919,56.845,11147528
EEMETRIC,2012-07-01,Santa Cruz,06087,06,087,108.3455,114.0,82.0,138.0,40.1629,1245157
EEMETRIC,2012-07-01,Sonoma,06097,06,097,100.0904,94.4999,54.4982,146.4989,57.619,4511263
EEMETRIC,2012-07-01,Marin,06041,06,041,79.1985,80.4995,42.502,116.4954,46.2175,1361496
EEMETRIC,2012-07-01,Alameda,06001,06,001,42.635,30.4996,2.4375,66.4956,44.8447,2152432
EEMETRIC,2012-07-01,Alpine,06003,06,003,73.1285,72.5006,42.4997,100.4942,41.0312,2112443
EEMETRIC,2012-07-01,Placer,06061,06,061,95.1994,92.5031,48.5795,136.4995,59.2837,4310848
EEMETRIC,2012-07-01,Nevada,06057,06,057,95.0501,92.5028,58.5036,130.4926,50.3723,2795999
EEMETRIC,2012-07-01,Yolo,06113,06,113,86.0846,74.5043,20.4946,144.5028,69.7952,2936989
EEMETRIC,2012-07-01,Fresno,06019,06,019,90.758,80.5006,30.5007,140.4985,70.6433,16331066
EEMETRIC,2012-07-01,Trinity,06105,06,105,127.9079,130.4996,84.4993,172.4973,60.4429,9145314
EEMETRIC,2012-07-01,Shasta,06089,06,089,99.2741,96.4955,52.5011,146.498,59.9643,11063153
EEMETRIC,2012-07-01,Yuba,06115,06,115,95.4454,84.5002,28.5027,162.5047,73.4027,1853132
EEMETRIC,2012-07-01,Colusa,06011,06,011,90.8012,74.4984,16.4927,166.506,76.5938,3327977
EEMETRIC,2012-07-01,Riverside,06065,06,065,45.5278,26.4929,2.4495,70.4907,52.8971,20823686
EEMETRIC,2012-07-01,Contra Costa,06013,06,013,55.9292,44.5253,10.4949,82.4916,53.5879,2182144
EEMETRIC,2012-07-01,Humboldt,06023,06,023,155.9087,156.4998,110.5011,204.4971,64.0394,9821805
EEMETRIC,2012-07-01,San Diego,06073,06,073,85.3658,86.5009,50.4991,118.4948,49.1367,11785290
EEMETRIC,2012-07-01,Monterey,06053,06,053,50.6077,46.4986,8.486,84.5007,43.2188,9442611
EEMETRIC,2012-07-01,Mendocino,06045,06,045,143.7158,148.5004,90.5036,198.499,71.3908,9974108
EEMETRIC,2012-07-01,El Dorado,06017,06,017,101.9966,102.4916,58.4989,144.4963,58.267,5041469
EEMETRIC,2012-07-01,Siskiyou,06093,06,093,102.0694,96.4978,52.5048,150.4972,60.863,18123535
EEMETRIC,2012-07-01,Madera,06039,06,039,81.6194,72.4959,18.5006,130.5005,67.2476,6014943
EEMETRIC,2012-07-01,Lake,06033,06,033,88.2431,86.5038,46.4967,126.4989,53.4335,3821763
EEMETRIC,2012-07-01,Ventura,06111,06,111,74.6863,72.5012,42.5036,104.496,43.0994,5035659
EEMETRIC,2012-07-01,Sutter,06101,06,101,128.1483,134.4961,62.501,200.5053,75.6276,1750915
EEMETRIC,2012-07-01,Glenn,06021,06,021,76.021,60.4979,2.4241,134.4989,72.5431,3815038
EEMETRIC,2012-07-01,Mariposa,06043,06,043,80.2398,72.5026,16.5035,132.4997,66.105,4139910
EEMETRIC,2012-07-01,San Bernardino,06071,06,071,28.1612,13.4638,0.5877,37.4626,42.5615,57322548
EEMETRIC,2012-07-01,Stanislaus,06099,06,099,78.2575,56.499,4.4686,144.4996,76.2296,4354889
EEMETRIC,2012-07-01,Imperial,06025,06,025,45.3815,9.3849,0.6372,57.4662,67.6964,12483593
EEMETRIC,2012-07-01,Santa Clara,06085,06,085,49.5688,40.4975,12.4921,78.4994,43.3725,3740794
EEMETRIC,2012-07-01,Calaveras,06009,06,009,92.7064,88.496,30.4982,146.5004,66.7684,2982702
EEMETRIC,2012-07-01,Tehama,06103,06,103,52.3571,34.4963,2.4434,88.4991,55.0888,8527563
EEMETRIC,2012-07-01,Santa Barbara,06083,06,083,56.983,52.4996,22.501,86.4969,41.2081,7117215
