MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2022-02-01,San Luis Obispo,06079,06,079,39.6695,41,31,50,14.596,9519025
ENSEMBLE,2022-02-01,San Mateo,06081,06,081,36.1549,37,28,45,12.0479,1302245
ENSEMBLE,2022-02-01,Sierra,06091,06,091,36.7187,38,29,46,11.5627,1616625
ENSEMBLE,2022-02-01,Sacramento,06067,06,067,44.2345,45,36,52,11.8297,2859063
ENSEMBLE,2022-02-01,Tulare,06107,06,107,36.7853,38,29,46,13.6469,10423229
ENSEMBLE,2022-02-01,San Benito,06069,06,069,33.5513,34,25,43,13.3976,4000694
ENSEMBLE,2022-02-01,Butte,06007,06,007,39.5876,41,31,50,15.109,4674547
ENSEMBLE,2022-02-01,Merced,06047,06,047,39.7161,39,28,50,16.2437,5694420
ENSEMBLE,2022-02-01,Tuolumne,06109,06,109,33.9197,35,26,42,11.4387,4126802
ENSEMBLE,2022-02-01,Orange,06059,06,059,38.4498,38,25,51,16.8494,2274100
ENSEMBLE,2022-02-01,Los Angeles,06037,06,037,29.036,27,16,40,16.6587,11234390
ENSEMBLE,2022-02-01,Santa Cruz,06087,06,087,38.8111,40,32,47,12.4158,1272103
ENSEMBLE,2022-02-01,Sonoma,06097,06,097,42.5676,44,36,50,10.6582,4553306
ENSEMBLE,2022-02-01,Marin,06041,06,041,42.9238,44,37,50,9.3757,1489335
ENSEMBLE,2022-02-01,Alameda,06001,06,001,35.5316,36,24,47,14.7132,2156011
ENSEMBLE,2022-02-01,Alpine,06003,06,003,22.0875,22,15,29,10.5461,725678
ENSEMBLE,2022-02-01,Placer,06061,06,061,41.1199,42,34,49,10.9859,3314712
ENSEMBLE,2022-02-01,Nevada,06057,06,057,39.9872,41,34,46,8.952,1970980
ENSEMBLE,2022-02-01,Yolo,06113,06,113,44.1772,45,35,54,14.0287,2938562
ENSEMBLE,2022-02-01,Fresno,06019,06,019,30.8904,30,19,42,15.1891,13483658
ENSEMBLE,2022-02-01,Trinity,06105,06,105,37.52,39,31,46,11.6008,8410973
ENSEMBLE,2022-02-01,Shasta,06089,06,089,36.7228,37,30,44,10.5754,10179060
ENSEMBLE,2022-02-01,Yuba,06115,06,115,44.8017,45,39,51,9.1078,1851977
ENSEMBLE,2022-02-01,Colusa,06011,06,011,40.0444,40,30,51,15.1751,3309311
ENSEMBLE,2022-02-01,Riverside,06065,06,065,20.7246,12,4,34,21.0123,20921846
ENSEMBLE,2022-02-01,Contra Costa,06013,06,013,43.1968,45,35,52,12.747,2182950
ENSEMBLE,2022-02-01,Humboldt,06023,06,023,39.4385,40,34,46,8.6234,10198745
ENSEMBLE,2022-02-01,San Diego,06073,06,073,38.2785,42,24,53,19.5852,12131385
ENSEMBLE,2022-02-01,Monterey,06053,06,053,37.7745,38,30,47,13.2134,9493100
ENSEMBLE,2022-02-01,Mendocino,06045,06,045,42.0373,42,36,49,10.5865,9942227
ENSEMBLE,2022-02-01,El Dorado,06017,06,017,40.4683,42,34,48,11.1701,3958710
ENSEMBLE,2022-02-01,Siskiyou,06093,06,093,30.0842,31,24,38,10.5493,15818495
ENSEMBLE,2022-02-01,Madera,06039,06,039,36.5072,37,29,45,12.882,4844388
ENSEMBLE,2022-02-01,Lake,06033,06,033,38.6113,39,31,47,12.4899,3791841
