MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
FILLED,2014-05-01,San Luis Obispo,06079,06,079,60.4163,49.0,15.0,102.0,48.9784,9519275
FILLED,2014-05-01,San Mateo,06081,06,081,109.0721,119.0,85.0,138.0,35.8131,1303767
FILLED,2014-05-01,Sierra,06091,06,091,114.1144,117.0,91.0,143.0,36.5726,2768755
FILLED,2014-05-01,Sacramento,06067,06,067,89.9307,81.0,56.0,115.0,45.2789,2861622
FILLED,2014-05-01,Tulare,06107,06,107,87.4059,82.5004,44.5028,130.4982,53.0937,13924332
FILLED,2014-05-01,San Benito,06069,06,069,54.0493,46.0,14.0,89.0,43.6069,4001303
FILLED,2014-05-01,Butte,06007,06,007,122.8773,134.4988,88.5022,162.5003,49.6098,4826561
FILLED,2014-05-01,Merced,06047,06,047,68.7958,54.4982,10.4609,116.4985,61.0845,5694512
FILLED,2014-05-01,Tuolumne,06109,06,109,91.5932,96.0,59.0,129.0,47.0454,6544726
FILLED,2014-05-01,Orange,06059,06,059,88.2564,85.0,65.0,110.0,33.7454,2274100
FILLED,2014-05-01,Los Angeles,06037,06,037,59.9856,54.0,20.0,92.0,45.2621,11357716
FILLED,2014-05-01,Santa Cruz,06087,06,087,123.4588,135.0,107.0,147.0,32.5126,1272107
FILLED,2014-05-01,Sonoma,06097,06,097,116.2796,121.0,89.0,147.0,36.3648,4553307
FILLED,2014-05-01,Marin,06041,06,041,124.4427,131.0,107.0,148.0,30.9792,1489335
FILLED,2014-05-01,Alameda,06001,06,001,64.6303,52.0,22.0,103.0,51.0622,2159333
FILLED,2014-05-01,Alpine,06003,06,003,73.0314,75.0,50.0,96.0,30.7092,2130616
FILLED,2014-05-01,Placer,06061,06,061,120.7006,124.0,96.0,151.0,38.5176,4322809
FILLED,2014-05-01,Nevada,06057,06,057,124.6427,129.0,100.0,153.0,34.7813,2801504
FILLED,2014-05-01,Yolo,06113,06,113,91.2946,84.0,52.0,128.0,47.2241,2939947
FILLED,2014-05-01,Fresno,06019,06,019,76.2117,74.4983,22.4881,120.4989,56.6791,17298482
FILLED,2014-05-01,Trinity,06105,06,105,134.4507,142.0,117.0,159.0,31.5551,9230627
FILLED,2014-05-01,Shasta,06089,06,089,123.409,132.0,91.0,159.0,43.6651,11072292
FILLED,2014-05-01,Yuba,06115,06,115,119.5663,126.0,84.0,160.0,49.495,1853280
FILLED,2014-05-01,Colusa,06011,06,011,87.9572,82.4973,46.4983,126.4934,50.1218,3327977
FILLED,2014-05-01,Riverside,06065,06,065,34.0943,12.4826,2.4046,48.4943,47.7703,20976551
FILLED,2014-05-01,Contra Costa,06013,06,013,84.4731,77.0,40.0,129.0,55.7466,2188022
FILLED,2014-05-01,Humboldt,06023,06,023,154.7191,162.0,147.0,171.0,25.4429,10276005
FILLED,2014-05-01,San Diego,06073,06,073,70.3658,70.0,32.0,105.0,46.0684,12132940
FILLED,2014-05-01,Monterey,06053,06,053,77.0454,82.0,39.0,114.0,43.6864,9493400
FILLED,2014-05-01,Mendocino,06045,06,045,139.3546,150.0,120.0,165.0,34.2207,10077633
FILLED,2014-05-01,El Dorado,06017,06,017,126.569,133.0,106.0,155.0,37.0166,5136516
FILLED,2014-05-01,Siskiyou,06093,06,093,111.3535,122.0,85.0,145.0,41.7856,18246241
FILLED,2014-05-01,Madera,06039,06,039,87.6613,92.503,38.4999,132.4986,56.5811,6194187
FILLED,2014-05-01,Lake,06033,06,033,120.2875,126.0,96.0,148.0,36.7542,3821763
FILLED,2014-05-01,Ventura,06111,06,111,84.7977,84.6605,84.6605,84.6605,77.3987,5251577
FILLED,2014-05-01,Sutter,06101,06,101,101.5878,101.0,54.0,146.0,55.585,1750915
FILLED,2014-05-01,Glenn,06021,06,021,94.5966,92.4927,48.4997,138.4989,53.0655,3815095
FILLED,2014-05-01,Mariposa,06043,06,043,94.1554,107.0,53.0,138.0,52.6813,4209974
FILLED,2014-05-01,San Bernardino,06071,06,071,14.6854,4.4453,2.4476,14.4712,25.7335,57776786
FILLED,2014-05-01,Stanislaus,06099,06,099,77.3485,62.4946,28.4987,124.5032,59.9081,4356925
FILLED,2014-05-01,Imperial,06025,06,025,44.1605,4.4338,0.5038,36.4868,75.2323,12784906
FILLED,2014-05-01,Santa Clara,06085,06,085,87.3936,85.0,49.0,128.0,45.188,3741976
FILLED,2014-05-01,Calaveras,06009,06,009,121.4753,127.0,97.0,149.0,36.5449,2984094
FILLED,2014-05-01,Tehama,06103,06,103,87.5449,84.4968,52.5072,124.4985,46.456,8528386
FILLED,2014-05-01,Santa Barbara,06083,06,083,86.4227,86.409,86.409,86.409,45.6479,7572913
FILLED,2014-05-01,Mono,06051,06,051,41.7445,36.0,13.0,61.0,34.0637,8955775
FILLED,2014-05-01,Del Norte,06015,06,015,150.4659,154.0,142.0,163.0,19.8894,2899005
FILLED,2014-05-01,Napa,06055,06,055,114.7413,114.0,83.0,146.0,41.1577,2279839
FILLED,2014-05-01,Solano,06095,06,095,107.7332,102.0,66.0,150.0,48.6282,2561295
FILLED,2014-05-01,Modoc,06049,06,049,65.6855,60.0,36.0,93.0,37.3618,12078572
