MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2007-12-01,San Luis Obispo,06079,06,079,8.0883,6,1,13,7.6125,8069974
GEESEBAL,2007-12-01,San Mateo,06081,06,081,6.3533,6,1,8,6.2548,698435
GEESEBAL,2007-12-01,Sierra,06091,06,091,4.8581,2,0,6,7.062,676157
GEESEBAL,2007-12-01,Sacramento,06067,06,067,6.9204,6,3,10,5.9122,2527783
GEESEBAL,2007-12-01,Tulare,06107,06,107,13.9285,9,0,25,14.425,10501696
GEESEBAL,2007-12-01,San Benito,06069,06,069,7.0528,5,1,12,7.3549,3247980
GEESEBAL,2007-12-01,Butte,06007,06,007,10.3385,8,5,14,7.8514,2469957
GEESEBAL,2007-12-01,Merced,06047,06,047,17.8437,19,11,25,9.6898,5049089
GEESEBAL,2007-12-01,Tuolumne,06109,06,109,11.8601,10,1,20,10.4787,2692407
GEESEBAL,2007-12-01,Orange,06059,06,059,22.4891,23,15,30,11.9384,2198317
GEESEBAL,2007-12-01,Los Angeles,06037,06,037,12.1237,11,4,18,10.1431,10654765
GEESEBAL,2007-12-01,Santa Cruz,06087,06,087,15.5135,15,8,23,10.1366,893639
GEESEBAL,2007-12-01,Sonoma,06097,06,097,9.2962,6,2,14,8.9783,3475062
GEESEBAL,2007-12-01,Marin,06041,06,041,8.163,6,1,13,8.1154,1018015
GEESEBAL,2007-12-01,Alameda,06001,06,001,6.9923,5,1,11,6.8694,1479119
GEESEBAL,2007-12-01,Alpine,06003,06,003,5.0289,0,0,8,7.8879,133221
GEESEBAL,2007-12-01,Placer,06061,06,061,6.6379,5,2,9,7.1779,2749389
GEESEBAL,2007-12-01,Nevada,06057,06,057,6.3729,4,1,9,7.2337,1396486
GEESEBAL,2007-12-01,Yolo,06113,06,113,3.2607,1,0,5,3.9655,2552816
GEESEBAL,2007-12-01,Fresno,06019,06,019,16.603,16,6,25,12.0186,11054406
GEESEBAL,2007-12-01,Trinity,06105,06,105,17.1934,18,6,27,12.0859,2955347
GEESEBAL,2007-12-01,Shasta,06089,06,089,8.9039,7,2,14,7.7634,4675733
GEESEBAL,2007-12-01,Yuba,06115,06,115,6.1613,5,3,7,6.0131,1432989
GEESEBAL,2007-12-01,Colusa,06011,06,011,5.5317,4,1,9,5.7554,2282946
GEESEBAL,2007-12-01,Riverside,06065,06,065,14.3959,12,4,22,12.1737,20144733
GEESEBAL,2007-12-01,Contra Costa,06013,06,013,10.9845,11,5,16,6.9872,1671734
GEESEBAL,2007-12-01,Humboldt,06023,06,023,14.9908,14,4,23,11.9483,2098473
GEESEBAL,2007-12-01,San Diego,06073,06,073,16.5004,15,4,27,13.702,11548319
GEESEBAL,2007-12-01,Monterey,06053,06,053,8.427,6,1,14,8.2314,7804993
GEESEBAL,2007-12-01,Mendocino,06045,06,045,16.73,16,5,27,12.3595,4556822
GEESEBAL,2007-12-01,El Dorado,06017,06,017,6.5209,3,0,10,7.9135,2916296
GEESEBAL,2007-12-01,Siskiyou,06093,06,093,9.3188,9,1,15,7.9872,655016
GEESEBAL,2007-12-01,Madera,06039,06,039,20.3431,21,15,27,9.4157,4146121
GEESEBAL,2007-12-01,Lake,06033,06,033,7.7072,7,3,11,5.6634,2551370
GEESEBAL,2007-12-01,Ventura,06111,06,111,9.2832,6,0,15,10.4502,4822271
GEESEBAL,2007-12-01,Sutter,06101,06,101,3.3425,1,0,6,4.4147,1625072
GEESEBAL,2007-12-01,Glenn,06021,06,021,6.6293,6,2,10,5.4194,2271501
GEESEBAL,2007-12-01,Mariposa,06043,06,043,17.4582,18,8,26,11.3286,2677741
GEESEBAL,2007-12-01,San Bernardino,06071,06,071,8.5226,7,2,13,7.7615,55744278
GEESEBAL,2007-12-01,Stanislaus,06099,06,099,13.4206,13,4,21,10.2185,3863088
