MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2022-03-01,San Luis Obispo,06079,06,079,69.212,71.0,54.0,85.0,20.2186,9519250
PTJPL,2022-03-01,San Mateo,06081,06,081,80.3314,82.0,75.0,87.0,9.4248,1302049
PTJPL,2022-03-01,Sierra,06091,06,091,60.3584,63.0,48.0,72.0,15.5064,2122349
PTJPL,2022-03-01,Sacramento,06067,06,067,81.0508,78.0,71.0,88.0,15.0624,2860266
PTJPL,2022-03-01,Tulare,06107,06,107,61.6988,64.0,46.0,77.0,20.7542,10716465
PTJPL,2022-03-01,San Benito,06069,06,069,64.8885,68.0,54.0,77.0,15.9606,4001096
PTJPL,2022-03-01,Butte,06007,06,007,74.8929,76.0,64.0,85.0,15.4709,4759598
PTJPL,2022-03-01,Merced,06047,06,047,70.7531,68.0,56.0,87.0,20.6379,5694495
PTJPL,2022-03-01,Tuolumne,06109,06,109,58.1807,60.0,50.0,68.0,14.744,4699005
PTJPL,2022-03-01,Orange,06059,06,059,81.0924,83.0,73.0,91.0,14.1838,2274100
PTJPL,2022-03-01,Los Angeles,06037,06,037,48.1126,46.0,30.0,62.0,22.2016,11321232
PTJPL,2022-03-01,Santa Cruz,06087,06,087,82.5653,87.0,77.0,91.0,13.2137,1271445
PTJPL,2022-03-01,Sonoma,06097,06,097,83.0153,84.0,78.0,90.0,9.1011,4553306
PTJPL,2022-03-01,Marin,06041,06,041,83.1241,84.0,78.0,89.0,8.2929,1489335
PTJPL,2022-03-01,Alameda,06001,06,001,74.977,76.0,67.0,82.0,14.7807,2157402
PTJPL,2022-03-01,Alpine,06003,06,003,33.9781,33.0,29.0,38.0,8.166,916875
PTJPL,2022-03-01,Placer,06061,06,061,66.7393,68.0,60.0,76.0,14.2369,3613046
PTJPL,2022-03-01,Nevada,06057,06,057,66.0487,68.0,61.0,75.0,14.0955,2271197
PTJPL,2022-03-01,Yolo,06113,06,113,83.9383,83.0,74.0,94.0,13.8448,2939664
PTJPL,2022-03-01,Fresno,06019,06,019,57.6021,56.0,40.0,71.0,22.8632,13070865
PTJPL,2022-03-01,Trinity,06105,06,105,76.1155,77.0,69.0,83.0,10.7895,8744022
PTJPL,2022-03-01,Shasta,06089,06,089,78.7318,79.0,71.0,87.0,12.7816,10532218
PTJPL,2022-03-01,Yuba,06115,06,115,77.2577,78.0,72.0,84.0,11.4092,1852814
PTJPL,2022-03-01,Colusa,06011,06,011,75.3483,76.0,63.0,85.0,16.977,3322802
PTJPL,2022-03-01,Riverside,06065,06,065,40.1748,27.0,18.0,58.0,30.0729,20919105
PTJPL,2022-03-01,Contra Costa,06013,06,013,83.1634,81.0,75.0,87.0,15.8991,2186969
PTJPL,2022-03-01,Humboldt,06023,06,023,84.1975,85.0,80.0,88.0,6.4153,10242047
PTJPL,2022-03-01,San Diego,06073,06,073,60.7482,64.0,42.0,79.0,23.4088,12131278
PTJPL,2022-03-01,Monterey,06053,06,053,72.9211,75.0,62.0,85.0,16.6685,9492660
PTJPL,2022-03-01,Mendocino,06045,06,045,80.7641,83.0,76.0,88.0,10.4291,10057845
PTJPL,2022-03-01,El Dorado,06017,06,017,59.3637,62.0,49.0,69.0,15.1217,4317937
PTJPL,2022-03-01,Siskiyou,06093,06,093,70.8848,71.0,63.0,80.0,11.498,16781992
PTJPL,2022-03-01,Madera,06039,06,039,63.0694,62.0,54.0,69.0,16.5343,5092580
PTJPL,2022-03-01,Lake,06033,06,033,77.8715,77.0,69.0,85.0,15.9952,3809549
PTJPL,2022-03-01,Ventura,06111,06,111,52.846,53.0,41.0,64.0,16.3427,5251113
PTJPL,2022-03-01,Sutter,06101,06,101,74.3093,74.0,63.0,84.0,14.6117,1750914
PTJPL,2022-03-01,Glenn,06021,06,021,73.9629,74.0,60.0,84.0,19.0363,3807627
PTJPL,2022-03-01,Mariposa,06043,06,043,60.2337,61.0,56.0,66.0,10.2407,3773808
PTJPL,2022-03-01,San Bernardino,06071,06,071,23.1117,20.0,15.0,27.0,13.5009,57307008
PTJPL,2022-03-01,Stanislaus,06099,06,099,75.5489,75.0,64.0,87.0,15.1322,4356873
PTJPL,2022-03-01,Imperial,06025,06,025,41.539,19.0,16.0,34.0,45.8529,12784906
PTJPL,2022-03-01,Santa Clara,06085,06,085,73.5993,75.0,65.0,84.0,15.4549,3741772
PTJPL,2022-03-01,Calaveras,06009,06,009,61.8976,62.0,56.0,67.0,10.1314,2906900
PTJPL,2022-03-01,Tehama,06103,06,103,80.8278,81.0,71.0,91.0,15.7038,8298335
PTJPL,2022-03-01,Santa Barbara,06083,06,083,77.196,79.0,66.0,90.0,18.4721,7571028
PTJPL,2022-03-01,Mono,06051,06,051,33.087,30.0,25.0,37.0,14.2001,6218612
PTJPL,2022-03-01,Del Norte,06015,06,015,73.6508,74.0,71.0,76.0,3.6934,2831135
PTJPL,2022-03-01,Napa,06055,06,055,81.7214,82.0,75.0,88.0,14.3367,2279828
PTJPL,2022-03-01,Solano,06095,06,095,93.5153,88.0,80.0,106.0,17.9208,2560653
PTJPL,2022-03-01,Modoc,06049,06,049,58.1544,58.0,52.0,64.0,10.6162,11656458
PTJPL,2022-03-01,San Joaquin,06077,06,077,80.9844,80.0,71.0,90.0,14.8968,4103977
PTJPL,2022-03-01,Inyo,06027,06,027,18.965,16.4875,14.5087,22.4714,8.709,28068897
PTJPL,2022-03-01,Plumas,06063,06,063,55.9504,54.0,46.0,65.0,13.2493,6811598
PTJPL,2022-03-01,Amador,06005,06,005,62.9307,63.0,57.0,69.0,10.5183,1539419
PTJPL,2022-03-01,San Francisco,06075,06,075,76.4335,76.0,73.0,80.0,7.5023,131400
PTJPL,2022-03-01,Kings,06031,06,031,56.2032,50.0,41.0,68.0,21.2351,4000339
PTJPL,2022-03-01,Lassen,06035,06,035,50.6868,49.0,43.0,58.0,10.5737,12384940
PTJPL,2022-03-01,Kern,06029,06,029,42.162,38.0,23.0,57.0,23.0708,23422157
