MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2006-07-01,San Luis Obispo,06079,06,079,53.4123,41.0,6.0,91.0,50.0434,9505442
SSEBOP,2006-07-01,San Mateo,06081,06,081,100.4548,110.0,63.0,143.0,46.7237,1299473
SSEBOP,2006-07-01,Sierra,06091,06,091,147.3013,153.0,113.0,190.0,53.9509,2768620
SSEBOP,2006-07-01,Sacramento,06067,06,067,86.7769,72.5004,22.5,136.4937,73.3166,2861472
SSEBOP,2006-07-01,Tulare,06107,06,107,102.5641,98.5006,48.5035,152.4975,67.0449,13578511
SSEBOP,2006-07-01,San Benito,06069,06,069,56.5222,52.0,11.0,91.0,46.6994,4001297
SSEBOP,2006-07-01,Butte,06007,06,007,146.9766,166.5075,96.5042,206.5081,73.3257,4826561
SSEBOP,2006-07-01,Merced,06047,06,047,83.7541,64.5042,2.4202,152.5015,80.0179,5694512
SSEBOP,2006-07-01,Tuolumne,06109,06,109,117.8982,122.4984,60.5003,174.5034,67.6559,6390269
SSEBOP,2006-07-01,Orange,06059,06,059,57.4356,50.0,28.0,83.0,39.6712,2273059
SSEBOP,2006-07-01,Los Angeles,06037,06,037,57.3272,46.4977,10.4864,94.5005,51.3358,11355687
SSEBOP,2006-07-01,Santa Cruz,06087,06,087,124.9433,142.0,102.0,155.0,41.9972,1267338
SSEBOP,2006-07-01,Sonoma,06097,06,097,121.1508,125.0,71.0,174.0,59.0444,4552752
SSEBOP,2006-07-01,Marin,06041,06,041,100.7988,100.0,63.0,146.0,48.6861,1488326
SSEBOP,2006-07-01,Alameda,06001,06,001,69.9574,55.0,29.0,100.0,55.1177,2157689
SSEBOP,2006-07-01,Alpine,06003,06,003,95.7271,97.0,67.0,125.0,41.6265,2122234
SSEBOP,2006-07-01,Placer,06061,06,061,154.1033,162.4937,112.4992,210.4967,67.746,4320531
SSEBOP,2006-07-01,Nevada,06057,06,057,153.4762,156.5014,114.5082,198.4933,53.7742,2800198
SSEBOP,2006-07-01,Yolo,06113,06,113,107.7531,106.5003,50.5053,160.4963,68.3144,2939714
SSEBOP,2006-07-01,Fresno,06019,06,019,93.8906,88.4985,26.499,148.4994,72.7003,16453248
SSEBOP,2006-07-01,Trinity,06105,06,105,169.699,178.5068,146.507,198.4967,41.0,9195101
SSEBOP,2006-07-01,Shasta,06089,06,089,138.083,149.0,100.0,185.0,56.2117,11051150
SSEBOP,2006-07-01,Yuba,06115,06,115,131.9764,142.5011,62.5023,206.5055,80.0982,1853280
SSEBOP,2006-07-01,Colusa,06011,06,011,117.6926,112.4919,52.4997,180.5002,77.4037,3327977
SSEBOP,2006-07-01,Riverside,06065,06,065,27.0731,2.4258,0.1015,32.4936,51.2865,20976426
SSEBOP,2006-07-01,Contra Costa,06013,06,013,86.037,72.4964,36.5011,124.4984,64.5379,2187083
SSEBOP,2006-07-01,Humboldt,06023,06,023,204.1511,220.5084,192.5091,232.4957,46.3903,10272821
SSEBOP,2006-07-01,San Diego,06073,06,073,48.0854,40.5001,6.4835,76.497,43.5604,12129476
SSEBOP,2006-07-01,Monterey,06053,06,053,69.5657,72.5039,28.5026,106.5014,45.7417,9468823
SSEBOP,2006-07-01,Mendocino,06045,06,045,183.0902,200.5064,152.5027,222.4998,55.0012,10077067
SSEBOP,2006-07-01,El Dorado,06017,06,017,156.1515,162.5044,118.5016,204.5002,59.0891,5096211
SSEBOP,2006-07-01,Siskiyou,06093,06,093,128.3178,139.0,88.0,176.0,59.8222,18205162
SSEBOP,2006-07-01,Madera,06039,06,039,95.5511,98.499,32.5018,150.5001,67.6434,6028995
SSEBOP,2006-07-01,Lake,06033,06,033,141.981,146.498,106.4991,180.5014,53.849,3821763
SSEBOP,2006-07-01,Ventura,06111,06,111,86.1573,78.2042,78.2042,78.2042,722.5919,5250932
SSEBOP,2006-07-01,Sutter,06101,06,101,140.0943,146.505,70.4943,214.4943,81.5935,1750915
SSEBOP,2006-07-01,Glenn,06021,06,021,107.306,112.5018,24.495,172.4966,80.6786,3815095
SSEBOP,2006-07-01,Mariposa,06043,06,043,105.0205,112.5038,44.5008,162.5013,67.4496,4184333
SSEBOP,2006-07-01,San Bernardino,06071,06,071,9.7566,0.1264,0.1264,6.4665,26.7849,57776371
SSEBOP,2006-07-01,Stanislaus,06099,06,099,84.6632,72.4969,10.4856,144.5012,74.2553,4356816
SSEBOP,2006-07-01,Imperial,06025,06,025,44.4424,0.0708,0.0708,14.4772,94.2587,12784906
SSEBOP,2006-07-01,Santa Clara,06085,06,085,89.0479,85.0,47.0,131.0,51.4972,3741936
SSEBOP,2006-07-01,Calaveras,06009,06,009,129.1589,136.5023,64.4984,194.5023,76.2907,2984094
SSEBOP,2006-07-01,Tehama,06103,06,103,91.0445,92.4987,26.501,148.4989,66.2092,8528384
SSEBOP,2006-07-01,Santa Barbara,06083,06,083,83.6464,78.7724,78.7724,78.7724,566.6311,7520671
SSEBOP,2006-07-01,Mono,06051,06,051,47.8577,37.0,11.0,69.0,46.9653,8802258
SSEBOP,2006-07-01,Del Norte,06015,06,015,186.3275,199.0,177.0,208.0,35.4086,2897635
SSEBOP,2006-07-01,Napa,06055,06,055,124.6764,120.501,84.4979,164.5036,55.1659,2279839
SSEBOP,2006-07-01,Solano,06095,06,095,107.2503,90.4969,48.4957,160.5041,72.4775,2560669
SSEBOP,2006-07-01,Modoc,06049,06,049,75.048,55.0,24.0,114.0,63.3957,12078572
SSEBOP,2006-07-01,San Joaquin,06077,06,077,108.6223,108.4985,38.4987,168.4941,76.5983,4104883
SSEBOP,2006-07-01,Inyo,06027,06,027,12.6362,0.097,0.097,12.4859,31.34,29078709
SSEBOP,2006-07-01,Plumas,06063,06,063,142.9262,149.0,114.0,179.0,47.2138,7520601
SSEBOP,2006-07-01,Amador,06005,06,005,118.7389,116.496,60.4968,176.503,71.0936,1743864
SSEBOP,2006-07-01,San Francisco,06075,06,075,33.5239,21.0,8.0,45.0,35.9281,132011
SSEBOP,2006-07-01,Kings,06031,06,031,101.7308,82.501,4.4819,190.5029,92.8775,4005618
SSEBOP,2006-07-01,Lassen,06035,06,035,74.8635,60.492,30.4987,112.5,55.316,13553009
SSEBOP,2006-07-01,Kern,06029,06,029,50.1104,16.485,0.1128,84.5006,64.9852,23495840
