MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2003-10-01,Alameda,6001,6,1,31.7194,28.0,13.0,46.0,23.1934,2149889
ENSEMBLE,2003-11-01,Alameda,6001,6,1,16.0345,15.0,9.0,23.0,9.6866,1996456
ENSEMBLE,2003-12-01,Alameda,6001,6,1,13.1466,13.0,8.0,18.0,7.0202,1131128
ENSEMBLE,2004-01-01,Alameda,6001,6,1,17.3253,18.0,10.0,24.0,8.8062,1206669
ENSEMBLE,2004-02-01,Alameda,6001,6,1,30.4516,31.0,23.0,38.0,10.1056,2052090
ENSEMBLE,2004-03-01,Alameda,6001,6,1,66.8071,69.0,50.0,85.0,22.3509,2158273
ENSEMBLE,2004-04-01,Alameda,6001,6,1,74.7294,72.0,53.0,97.0,28.9176,2157028
ENSEMBLE,2004-05-01,Alameda,6001,6,1,76.4808,69.0,43.0,108.0,44.2998,2157238
ENSEMBLE,2004-06-01,Alameda,6001,6,1,70.51,60.0,28.0,104.0,52.5723,2157034
ENSEMBLE,2004-07-01,Alameda,6001,6,1,68.7632,59.0,29.0,99.0,50.2731,2150449
ENSEMBLE,2004-08-01,Alameda,6001,6,1,58.3221,49.0,21.0,85.0,45.059,2149680
ENSEMBLE,2004-09-01,Alameda,6001,6,1,36.6517,28.0,12.0,53.0,31.565,2158933
ENSEMBLE,2004-10-01,Alameda,6001,6,1,28.5653,26.0,16.0,39.0,18.445,2157578
ENSEMBLE,2004-11-01,Alameda,6001,6,1,19.8161,20.0,14.0,25.0,9.0565,2155961
ENSEMBLE,2004-12-01,Alameda,6001,6,1,17.7521,17.0,13.0,23.0,6.815,2146234
ENSEMBLE,2005-01-01,Alameda,6001,6,1,18.5121,18.0,14.0,24.0,7.4952,2066693
ENSEMBLE,2005-02-01,Alameda,6001,6,1,28.877,29.0,22.0,37.0,10.9229,2111964
ENSEMBLE,2005-03-01,Alameda,6001,6,1,62.4858,67.0,48.0,78.0,19.7592,2158159
ENSEMBLE,2005-04-01,Alameda,6001,6,1,80.7744,90.0,60.0,103.0,30.7891,2158568
ENSEMBLE,2005-05-01,Alameda,6001,6,1,98.0472,103.0,71.0,124.0,34.6216,2158642
ENSEMBLE,2005-06-01,Alameda,6001,6,1,78.0891,68.0,47.0,107.0,41.5404,2158394
