MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,Alameda,6001,6,1,27.4698,24.0,9.0,41.0,22.2916,2128224
GEESEBAL,2003-11-01,Alameda,6001,6,1,7.9756,6.0,1.0,12.0,7.9419,1865519
GEESEBAL,2003-12-01,Alameda,6001,6,1,5.9968,4.0,0.0,10.0,6.575,1044636
GEESEBAL,2004-01-01,Alameda,6001,6,1,12.3394,10.0,5.0,19.0,9.4984,1125945
GEESEBAL,2004-02-01,Alameda,6001,6,1,28.3915,29.0,21.0,37.0,12.4192,1990712
GEESEBAL,2004-03-01,Alameda,6001,6,1,58.9427,58.0,42.0,75.0,25.8001,2154760
GEESEBAL,2004-04-01,Alameda,6001,6,1,78.1934,78.0,53.0,105.0,36.4476,2156230
GEESEBAL,2004-05-01,Alameda,6001,6,1,87.7997,80.0,44.0,132.0,54.6595,2156879
GEESEBAL,2004-06-01,Alameda,6001,6,1,78.5767,66.0,20.0,125.0,65.616,2156958
GEESEBAL,2004-07-01,Alameda,6001,6,1,84.5544,76.0,28.0,130.0,64.8349,2150025
GEESEBAL,2004-08-01,Alameda,6001,6,1,58.4846,42.0,7.0,95.0,57.2764,2149252
GEESEBAL,2004-09-01,Alameda,6001,6,1,30.3883,22.0,4.0,45.0,31.6681,2158831
GEESEBAL,2004-10-01,Alameda,6001,6,1,25.5525,24.0,10.0,38.0,19.4449,2148254
GEESEBAL,2004-11-01,Alameda,6001,6,1,5.0465,2.0,0.0,7.0,7.4193,2096301
GEESEBAL,2004-12-01,Alameda,6001,6,1,9.8031,10.0,1.0,16.0,7.8108,2049915
GEESEBAL,2005-01-01,Alameda,6001,6,1,6.6082,4.0,2.0,9.0,6.9497,1974038
GEESEBAL,2005-02-01,Alameda,6001,6,1,17.9009,16.0,7.0,27.0,13.4308,2074776
GEESEBAL,2005-03-01,Alameda,6001,6,1,56.8373,58.0,39.0,74.0,22.6824,2154942
GEESEBAL,2005-04-01,Alameda,6001,6,1,81.0646,87.0,52.0,110.0,36.6787,2158073
GEESEBAL,2005-05-01,Alameda,6001,6,1,115.7658,123.0,83.0,152.0,42.3836,2158237
GEESEBAL,2005-06-01,Alameda,6001,6,1,94.889,85.0,57.0,134.0,49.07,2158278
GEESEBAL,2005-07-01,Alameda,6001,6,1,82.724,69.0,34.0,124.0,58.1407,2158307
GEESEBAL,2005-08-01,Alameda,6001,6,1,77.3579,67.0,31.0,116.0,55.0286,2157215
GEESEBAL,2005-09-01,Alameda,6001,6,1,49.5874,43.0,20.0,74.0,36.3406,2158400
GEESEBAL,2005-10-01,Alameda,6001,6,1,27.4841,22.0,5.0,42.0,25.4681,2148256
GEESEBAL,2005-11-01,Alameda,6001,6,1,9.5971,8.0,2.0,15.0,8.9876,2090689
GEESEBAL,2005-12-01,Alameda,6001,6,1,4.2047,2.0,0.0,7.0,5.6242,2029996
GEESEBAL,2006-01-01,Alameda,6001,6,1,5.5241,4.0,0.0,8.0,6.186,2045120
GEESEBAL,2006-02-01,Alameda,6001,6,1,6.6375,3.0,1.0,8.0,9.9151,2144093
GEESEBAL,2006-03-01,Alameda,6001,6,1,38.6495,38.0,16.0,60.0,24.9326,2121947
GEESEBAL,2006-04-01,Alameda,6001,6,1,61.1686,66.0,36.0,87.0,32.3534,2135125
GEESEBAL,2006-05-01,Alameda,6001,6,1,96.1539,96.0,60.0,133.0,46.9996,2158633
GEESEBAL,2006-06-01,Alameda,6001,6,1,93.3705,86.0,53.0,133.0,52.4202,2158702
GEESEBAL,2006-07-01,Alameda,6001,6,1,108.6491,104.0,61.0,154.0,61.2814,2157642
GEESEBAL,2006-08-01,Alameda,6001,6,1,75.2498,69.0,27.0,114.0,55.7889,2156865
GEESEBAL,2006-09-01,Alameda,6001,6,1,44.5763,41.0,16.0,66.0,33.606,2155698
GEESEBAL,2006-10-01,Alameda,6001,6,1,30.7186,28.0,14.0,43.0,21.3073,2151800
GEESEBAL,2006-11-01,Alameda,6001,6,1,13.1643,13.0,6.0,19.0,8.6577,2103765
GEESEBAL,2006-12-01,Alameda,6001,6,1,7.945,6.0,0.0,13.0,7.8068,2033510
GEESEBAL,2007-01-01,Alameda,6001,6,1,8.3201,5.0,1.0,13.0,9.6903,2113807
GEESEBAL,2007-02-01,Alameda,6001,6,1,19.2382,19.0,13.0,25.0,9.4566,2141797
GEESEBAL,2007-03-01,Alameda,6001,6,1,44.3386,42.0,29.0,57.0,21.1494,2156050
GEESEBAL,2007-04-01,Alameda,6001,6,1,67.8919,62.0,42.0,95.0,34.0229,2157224
GEESEBAL,2007-05-01,Alameda,6001,6,1,109.9283,108.0,70.0,155.0,53.1233,2154995
GEESEBAL,2007-06-01,Alameda,6001,6,1,99.6908,99.0,45.0,143.0,60.7331,2155389
GEESEBAL,2007-07-01,Alameda,6001,6,1,89.6442,84.0,42.0,130.0,57.2019,2157931
GEESEBAL,2007-08-01,Alameda,6001,6,1,76.1899,70.0,38.0,109.0,47.78,2158279
GEESEBAL,2007-09-01,Alameda,6001,6,1,44.5114,35.0,12.0,71.0,37.5404,2145345
GEESEBAL,2007-10-01,Alameda,6001,6,1,27.5412,24.0,12.0,40.0,20.2615,2073022
GEESEBAL,2007-11-01,Alameda,6001,6,1,22.5558,24.0,15.0,31.0,12.0992,1909734
GEESEBAL,2007-12-01,Alameda,6001,6,1,6.9923,5.0,1.0,11.0,6.8694,1479119
GEESEBAL,2008-01-01,Alameda,6001,6,1,7.1877,5.0,1.0,11.0,7.1408,1517906
GEESEBAL,2008-02-01,Alameda,6001,6,1,11.2778,9.0,3.0,16.0,10.3271,2092158
GEESEBAL,2008-03-01,Alameda,6001,6,1,28.2791,20.0,5.0,45.0,27.2392,2154510
GEESEBAL,2008-04-01,Alameda,6001,6,1,73.6445,70.0,43.0,103.0,38.6075,2157375
GEESEBAL,2008-05-01,Alameda,6001,6,1,83.2241,74.0,41.0,124.0,53.0312,2156920
GEESEBAL,2008-06-01,Alameda,6001,6,1,83.1167,80.0,24.0,131.0,62.1368,2156548
GEESEBAL,2008-07-01,Alameda,6001,6,1,84.4857,80.0,35.0,125.0,57.9791,2157836
GEESEBAL,2008-08-01,Alameda,6001,6,1,78.2002,75.0,36.0,114.0,51.8669,2157419
GEESEBAL,2008-09-01,Alameda,6001,6,1,39.6388,33.0,6.0,62.0,36.0538,2156968
GEESEBAL,2008-10-01,Alameda,6001,6,1,25.008,21.0,5.0,39.0,22.5433,2130928
