MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2003-10-01,Alameda,6001,6,1,46.705,39.0,27.0,64.0,25.458,2146039
PTJPL,2003-11-01,Alameda,6001,6,1,25.6794,25.0,17.0,31.0,10.2205,1995718
PTJPL,2003-12-01,Alameda,6001,6,1,23.4162,23.0,21.0,26.0,5.1617,1127823
PTJPL,2004-01-01,Alameda,6001,6,1,34.9542,36.0,33.0,37.0,3.5353,1203161
PTJPL,2004-02-01,Alameda,6001,6,1,44.4956,44.0,41.0,47.0,6.0061,2051152
PTJPL,2004-03-01,Alameda,6001,6,1,92.5399,93.0,85.0,100.0,13.2029,2158234
PTJPL,2004-04-01,Alameda,6001,6,1,95.6598,96.0,86.0,105.0,17.9586,2156984
PTJPL,2004-05-01,Alameda,6001,6,1,103.6577,100.0,80.0,126.0,30.0628,2157201
PTJPL,2004-06-01,Alameda,6001,6,1,96.1884,85.0,63.0,126.0,41.7284,2157003
PTJPL,2004-07-01,Alameda,6001,6,1,80.2219,66.4992,38.4978,116.5036,50.0057,2150406
PTJPL,2004-08-01,Alameda,6001,6,1,70.5179,60.0,36.0,98.0,42.4477,2149638
PTJPL,2004-09-01,Alameda,6001,6,1,48.5852,37.0,24.0,68.0,32.8441,2158904
PTJPL,2004-10-01,Alameda,6001,6,1,48.9687,45.0,35.0,62.0,18.0883,2157555
PTJPL,2004-11-01,Alameda,6001,6,1,38.7232,40.0,36.0,42.0,5.8576,2155882
PTJPL,2004-12-01,Alameda,6001,6,1,30.3062,31.0,28.0,33.0,5.1141,2145864
PTJPL,2005-01-01,Alameda,6001,6,1,32.4173,33.0,30.0,35.0,4.2261,2065305
PTJPL,2005-02-01,Alameda,6001,6,1,48.073,48.0,44.0,52.0,5.842,2111161
PTJPL,2005-03-01,Alameda,6001,6,1,85.2193,85.0,80.0,90.0,8.3192,2158108
PTJPL,2005-04-01,Alameda,6001,6,1,97.7408,96.0,91.0,102.0,12.4641,2158551
PTJPL,2005-05-01,Alameda,6001,6,1,124.2578,125.0,114.0,134.0,17.1389,2158628
PTJPL,2005-06-01,Alameda,6001,6,1,97.8257,92.0,73.0,121.0,31.976,2158382
PTJPL,2005-07-01,Alameda,6001,6,1,86.9699,74.503,48.4945,122.4992,47.1889,2158312
PTJPL,2005-08-01,Alameda,6001,6,1,78.737,69.0,40.0,113.0,45.1031,2157415
PTJPL,2005-09-01,Alameda,6001,6,1,65.1888,57.0,43.0,85.0,27.2901,2158841
PTJPL,2005-10-01,Alameda,6001,6,1,58.332,56.0,42.0,73.0,20.6763,2158913
PTJPL,2005-11-01,Alameda,6001,6,1,31.8601,31.0,20.0,43.0,13.8472,2153996
PTJPL,2005-12-01,Alameda,6001,6,1,29.835,32.0,29.0,33.0,6.112,2151921
PTJPL,2006-01-01,Alameda,6001,6,1,26.2264,26.0,24.0,28.0,4.1943,2155287
PTJPL,2006-02-01,Alameda,6001,6,1,44.1581,44.0,40.0,47.0,7.1045,2155189
PTJPL,2006-03-01,Alameda,6001,6,1,66.6826,67.0,61.0,73.0,9.4938,2136983
PTJPL,2006-04-01,Alameda,6001,6,1,87.4216,86.0,81.0,93.0,10.4476,2138060
PTJPL,2006-05-01,Alameda,6001,6,1,118.9229,120.0,104.0,133.0,23.9278,2158832
PTJPL,2006-06-01,Alameda,6001,6,1,100.8474,96.0,71.0,130.0,38.4954,2158739
PTJPL,2006-07-01,Alameda,6001,6,1,98.48,90.4988,56.4976,136.4965,50.5902,2157689
PTJPL,2006-08-01,Alameda,6001,6,1,74.758,66.0,38.0,107.0,42.829,2157086
PTJPL,2006-09-01,Alameda,6001,6,1,49.2243,38.0,22.0,72.0,33.744,2156553
PTJPL,2006-10-01,Alameda,6001,6,1,46.7918,42.0,29.0,63.0,23.4871,2157320
PTJPL,2006-11-01,Alameda,6001,6,1,37.497,37.0,32.0,44.0,7.7884,2157481
PTJPL,2006-12-01,Alameda,6001,6,1,33.2643,34.0,28.0,39.0,7.1261,2146093
PTJPL,2007-01-01,Alameda,6001,6,1,36.9586,36.0,33.0,40.0,6.6824,2149666
PTJPL,2007-02-01,Alameda,6001,6,1,37.8797,37.0,33.0,41.0,6.9948,2156198
PTJPL,2007-03-01,Alameda,6001,6,1,78.0004,79.0,71.0,85.0,13.2657,2157433
PTJPL,2007-04-01,Alameda,6001,6,1,88.3676,90.0,78.0,99.0,17.2915,2157840
PTJPL,2007-05-01,Alameda,6001,6,1,113.8201,113.0,86.0,140.0,34.9144,2156351
PTJPL,2007-06-01,Alameda,6001,6,1,88.6031,78.5007,48.4873,122.5078,46.4611,2156077
PTJPL,2007-07-01,Alameda,6001,6,1,82.8561,70.4993,44.4975,114.498,46.0647,2157936
PTJPL,2007-08-01,Alameda,6001,6,1,74.5003,63.0,43.0,100.0,39.1077,2158312
