MODEL,DATE,NAME,GEOID,STATEFP,COUNTYFP,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2003-10-01,Alameda,6001,6,1,35.3681,29.0,12.0,52.0,29.0952,2151771
SSEBOP,2003-11-01,Alameda,6001,6,1,19.8999,18.0,9.0,29.0,13.9267,1995718
SSEBOP,2003-12-01,Alameda,6001,6,1,14.0841,13.0,7.0,19.0,8.5982,1127823
SSEBOP,2004-01-01,Alameda,6001,6,1,15.0277,15.0,8.0,21.0,8.7408,1203161
SSEBOP,2004-02-01,Alameda,6001,6,1,27.6365,29.0,17.0,38.0,13.5245,2051152
SSEBOP,2004-03-01,Alameda,6001,6,1,62.4828,68.0,39.0,86.0,29.501,2158234
SSEBOP,2004-04-01,Alameda,6001,6,1,73.6,75.0,44.0,102.0,37.4536,2156984
SSEBOP,2004-05-01,Alameda,6001,6,1,61.0161,50.0,24.0,91.0,46.6025,2157201
SSEBOP,2004-06-01,Alameda,6001,6,1,58.0295,43.0,16.0,89.0,51.9528,2157003
SSEBOP,2004-07-01,Alameda,6001,6,1,56.4034,43.0,18.0,84.0,49.5825,2150406
SSEBOP,2004-08-01,Alameda,6001,6,1,50.7791,39.0,16.0,75.0,44.5687,2149638
SSEBOP,2004-09-01,Alameda,6001,6,1,42.8228,33.0,12.0,63.0,38.3826,2158904
SSEBOP,2004-10-01,Alameda,6001,6,1,28.6984,24.0,12.0,40.0,22.2188,2157555
SSEBOP,2004-11-01,Alameda,6001,6,1,23.2517,23.0,16.0,30.0,11.1261,2155882
SSEBOP,2004-12-01,Alameda,6001,6,1,19.1341,19.0,13.0,25.0,9.1667,2145864
SSEBOP,2005-01-01,Alameda,6001,6,1,18.8985,19.0,13.0,25.0,8.5844,2065305
SSEBOP,2005-02-01,Alameda,6001,6,1,29.9642,32.0,21.0,40.0,13.6077,2111161
SSEBOP,2005-03-01,Alameda,6001,6,1,56.5538,64.0,39.0,75.0,24.3599,2158108
SSEBOP,2005-04-01,Alameda,6001,6,1,75.6601,86.0,49.0,103.0,34.5619,2158551
SSEBOP,2005-05-01,Alameda,6001,6,1,77.7371,81.0,47.0,107.0,39.2756,2158628
SSEBOP,2005-06-01,Alameda,6001,6,1,65.6898,55.0,31.0,93.0,45.5286,2158382
SSEBOP,2005-07-01,Alameda,6001,6,1,65.524,50.0,26.0,95.0,52.5776,2158312
SSEBOP,2005-08-01,Alameda,6001,6,1,56.087,44.0,22.0,81.0,45.0453,2157415
SSEBOP,2005-09-01,Alameda,6001,6,1,40.4273,32.0,17.0,57.0,32.0964,2158841
SSEBOP,2005-10-01,Alameda,6001,6,1,31.5346,26.0,12.0,45.0,25.2724,2158913
SSEBOP,2005-11-01,Alameda,6001,6,1,19.0139,15.0,5.0,29.0,16.5858,2153996
SSEBOP,2005-12-01,Alameda,6001,6,1,12.5436,11.0,5.0,19.0,9.529,2151921
SSEBOP,2006-01-01,Alameda,6001,6,1,18.7304,18.0,11.0,26.0,10.6864,2155287
SSEBOP,2006-02-01,Alameda,6001,6,1,29.7505,30.0,18.0,40.0,15.1137,2155189
SSEBOP,2006-03-01,Alameda,6001,6,1,37.7699,39.0,26.0,50.0,17.7923,2136983
SSEBOP,2006-04-01,Alameda,6001,6,1,57.5627,63.0,39.0,78.0,26.3879,2138060
SSEBOP,2006-05-01,Alameda,6001,6,1,83.8429,88.0,48.0,117.0,43.8174,2158832
SSEBOP,2006-06-01,Alameda,6001,6,1,71.6528,63.0,36.0,100.0,47.1913,2158739
SSEBOP,2006-07-01,Alameda,6001,6,1,69.9574,55.0,29.0,100.0,55.1177,2157689
SSEBOP,2006-08-01,Alameda,6001,6,1,54.5589,44.0,22.0,78.0,43.6944,2157086
SSEBOP,2006-09-01,Alameda,6001,6,1,44.8937,37.0,19.0,64.0,35.1502,2156553
SSEBOP,2006-10-01,Alameda,6001,6,1,29.7175,25.0,12.0,43.0,23.1036,2157320
SSEBOP,2006-11-01,Alameda,6001,6,1,18.1373,16.0,9.0,26.0,12.537,2157481
SSEBOP,2006-12-01,Alameda,6001,6,1,18.4468,17.0,9.0,27.0,11.775,2146093
SSEBOP,2007-01-01,Alameda,6001,6,1,23.0121,22.0,12.0,33.0,13.8694,2149666
SSEBOP,2007-02-01,Alameda,6001,6,1,28.311,28.0,16.0,39.0,15.1103,2156198
SSEBOP,2007-03-01,Alameda,6001,6,1,58.4451,62.0,36.0,81.0,28.2779,2157433
SSEBOP,2007-04-01,Alameda,6001,6,1,70.0765,70.0,40.0,100.0,37.1931,2157840
SSEBOP,2007-05-01,Alameda,6001,6,1,64.1779,54.0,25.0,97.0,47.7402,2156351
SSEBOP,2007-06-01,Alameda,6001,6,1,58.3845,42.0,13.0,91.0,54.9948,2156077
SSEBOP,2007-07-01,Alameda,6001,6,1,58.1548,43.0,15.0,89.0,53.2293,2157936
SSEBOP,2007-08-01,Alameda,6001,6,1,52.6409,38.0,12.0,81.0,49.3106,2158312
SSEBOP,2007-09-01,Alameda,6001,6,1,38.3304,29.0,10.0,58.0,35.212,2145821
SSEBOP,2007-10-01,Alameda,6001,6,1,30.5166,25.0,9.0,46.0,25.7098,2112713
SSEBOP,2007-11-01,Alameda,6001,6,1,22.6722,21.0,9.0,34.0,16.6197,2020819
SSEBOP,2007-12-01,Alameda,6001,6,1,17.8675,16.0,9.0,26.0,11.8679,1584308
SSEBOP,2008-01-01,Alameda,6001,6,1,19.2537,18.0,11.0,27.0,11.0849,1615602
SSEBOP,2008-02-01,Alameda,6001,6,1,33.6462,34.0,21.0,45.0,16.7589,2146886
SSEBOP,2008-03-01,Alameda,6001,6,1,58.8245,63.0,36.0,81.0,28.5478,2158425
SSEBOP,2008-04-01,Alameda,6001,6,1,71.7817,73.0,42.0,101.0,37.8286,2157898
SSEBOP,2008-05-01,Alameda,6001,6,1,67.8738,59.0,31.0,100.0,46.6165,2157614
SSEBOP,2008-06-01,Alameda,6001,6,1,58.9689,43.0,14.0,93.0,53.6027,2156907
SSEBOP,2008-07-01,Alameda,6001,6,1,55.2784,41.0,15.0,84.0,50.2948,2157865
SSEBOP,2008-08-01,Alameda,6001,6,1,54.7097,41.0,16.0,82.0,48.6305,2157528
SSEBOP,2008-09-01,Alameda,6001,6,1,42.5208,32.0,13.0,63.0,37.8724,2157281
SSEBOP,2008-10-01,Alameda,6001,6,1,33.7417,27.0,10.0,50.0,29.2264,2156019
SSEBOP,2008-11-01,Alameda,6001,6,1,21.4089,19.0,10.0,31.0,14.7525,2041841
SSEBOP,2008-12-01,Alameda,6001,6,1,15.8477,15.0,8.0,23.0,10.2242,1967195
SSEBOP,2009-01-01,Alameda,6001,6,1,24.7232,24.0,14.0,34.0,13.7212,2149988
SSEBOP,2009-02-01,Alameda,6001,6,1,26.6583,28.0,17.0,36.0,12.6836,2154465
SSEBOP,2009-03-01,Alameda,6001,6,1,53.6707,58.0,34.0,74.0,25.6303,2158070
SSEBOP,2009-04-01,Alameda,6001,6,1,69.6337,72.0,42.0,97.0,35.1211,2158273
SSEBOP,2009-05-01,Alameda,6001,6,1,67.5034,59.0,30.0,101.0,45.9218,2157611
SSEBOP,2009-06-01,Alameda,6001,6,1,56.883,43.0,19.0,87.0,47.7676,2156726
SSEBOP,2009-07-01,Alameda,6001,6,1,61.1228,48.0,21.0,91.0,51.2518,2157803
SSEBOP,2009-08-01,Alameda,6001,6,1,53.8325,42.0,16.0,81.0,46.5645,2157459
SSEBOP,2009-09-01,Alameda,6001,6,1,45.8377,36.0,14.0,69.0,38.7067,2157852
SSEBOP,2009-10-01,Alameda,6001,6,1,35.8735,33.0,20.0,49.0,21.1915,2156858
SSEBOP,2009-11-01,Alameda,6001,6,1,27.2985,27.0,16.0,38.0,14.8614,2157401
SSEBOP,2009-12-01,Alameda,6001,6,1,15.6432,15.0,9.0,21.0,8.6706,2148910
SSEBOP,2010-01-01,Alameda,6001,6,1,17.9427,18.0,12.0,23.0,7.9864,1909677
SSEBOP,2010-02-01,Alameda,6001,6,1,26.5555,28.0,20.0,34.0,10.6773,1911194
SSEBOP,2010-03-01,Alameda,6001,6,1,54.8961,60.0,37.0,73.0,24.5971,2159008
SSEBOP,2010-04-01,Alameda,6001,6,1,66.8369,74.0,43.0,91.0,30.7106,2159025
SSEBOP,2010-05-01,Alameda,6001,6,1,79.0449,81.0,45.0,111.0,41.6063,2158452
SSEBOP,2010-06-01,Alameda,6001,6,1,70.9275,60.0,31.0,105.0,50.4963,2158843
SSEBOP,2010-07-01,Alameda,6001,6,1,60.2426,48.0,23.0,89.0,47.8463,2157593
SSEBOP,2010-08-01,Alameda,6001,6,1,54.1311,44.0,22.0,78.0,42.2095,2156261
SSEBOP,2010-09-01,Alameda,6001,6,1,44.519,35.0,17.0,65.0,36.1581,2158552
SSEBOP,2010-10-01,Alameda,6001,6,1,31.3504,26.0,14.0,44.0,23.5523,2157011
SSEBOP,2010-11-01,Alameda,6001,6,1,20.6621,19.0,11.0,28.0,13.561,1979731
SSEBOP,2010-12-01,Alameda,6001,6,1,13.4809,13.0,8.0,18.0,7.7324,1936168
SSEBOP,2011-01-01,Alameda,6001,6,1,18.9253,18.0,12.0,25.0,9.7567,2148115
SSEBOP,2011-02-01,Alameda,6001,6,1,34.5926,35.0,20.0,47.0,18.1423,1583814
SSEBOP,2011-03-01,Alameda,6001,6,1,47.8759,52.0,29.0,67.0,23.5606,1985503
SSEBOP,2011-04-01,Alameda,6001,6,1,71.0203,77.0,45.0,97.0,33.8284,2148560
SSEBOP,2011-05-01,Alameda,6001,6,1,70.8258,70.0,40.0,98.0,38.4354,2159305
SSEBOP,2011-06-01,Alameda,6001,6,1,60.4185,50.0,26.0,89.0,43.2224,2159294
