MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2021-12-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,2.7545,2.0,1.0,4.0,3.3485,668
DISALEXI,2021-12-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
DISALEXI,2021-12-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,18.7008,19.0,17.0,21.0,4.0294,39743
DISALEXI,2021-12-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,17.9743,18.0,16.0,21.0,3.8775,9502
DISALEXI,2021-12-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,12.0647,11.0,8.0,15.0,6.6983,159376
DISALEXI,2021-12-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,11.8972,12.0,9.0,14.0,4.432,74387
DISALEXI,2021-12-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,14.7375,14.0,11.0,18.0,4.9351,9746
DISALEXI,2021-12-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
DISALEXI,2021-12-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
DISALEXI,2021-12-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,19.5838,20.0,16.0,22.0,5.3304,5982
DISALEXI,2021-12-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,12.2295,12.0,9.0,16.0,5.3724,2353
DISALEXI,2021-12-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,7.0586,6.0,4.0,9.0,3.5764,1605
DISALEXI,2021-12-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,9.9413,7.0,3.0,16.0,8.494,137880
DISALEXI,2021-12-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,10.4879,10.0,7.0,13.0,4.3229,48489
DISALEXI,2021-12-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,5.607,5.5,3.0,8.0,3.0987,374
DISALEXI,2021-12-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
DISALEXI,2021-12-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,11.0853,11.0,5.0,16.0,7.425,7870
DISALEXI,2021-12-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
DISALEXI,2021-12-01,5-054,5-054,ASH VALLEY,ASH VALLEY,16.6048,16.0,10.0,23.0,9.2504,12106
DISALEXI,2021-12-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
DISALEXI,2021-12-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,12.9521,13.0,9.0,16.0,5.8725,1877
DISALEXI,2021-12-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,13.4919,4.0,1.0,34.0,15.3044,620
DISALEXI,2021-12-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,4.2222,2.0,0.0,6.0,5.9111,198
DISALEXI,2021-12-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,4.8745,4.0,4.0,6.0,1.9056,510
DISALEXI,2021-12-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,,,,,0
DISALEXI,2021-12-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,,,,,0
DISALEXI,2021-12-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,,,,,0
DISALEXI,2021-12-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,,,,,,0
DISALEXI,2021-12-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,,,,,0
DISALEXI,2021-12-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,,,,,0
DISALEXI,2021-12-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,0.171,0.0,0.0,0.0,0.5504,918
DISALEXI,2021-12-01,5-015,5-015,BIG VALLEY,BIG VALLEY,15.2367,16.0,12.0,18.0,4.3993,39663
DISALEXI,2021-12-01,5-004,5-004,BIG VALLEY,BIG VALLEY,13.504,13.0,11.0,16.0,4.4907,162022
DISALEXI,2021-12-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,12.7518,13.0,10.0,15.0,4.1363,7575
DISALEXI,2021-12-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,,,,,0
DISALEXI,2021-12-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,5.2097,5.0,2.0,7.0,3.7689,1130
DISALEXI,2021-12-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,9.2792,9.0,7.0,12.0,3.0398,154
DISALEXI,2021-12-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,7.4358,6.0,1.0,13.0,6.9347,17397
DISALEXI,2021-12-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,5.0,4.0,4.0,7.0,2.582,12
DISALEXI,2021-12-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,,,,,0
DISALEXI,2021-12-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,6.6318,6.0,4.0,10.0,4.3349,4188
DISALEXI,2021-12-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,7.8284,4.0,1.0,12.0,9.214,74895
DISALEXI,2021-12-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,15.6583,16.0,2.0,25.0,12.7897,7963
DISALEXI,2021-12-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,5.5189,5.0,4.0,7.0,2.5785,1324
DISALEXI,2021-12-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,,,,,0
