MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2006-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,21.0479,21.0,15.0,26.0,7.8275,668
ENSEMBLE,2006-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
ENSEMBLE,2006-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,37.3536,37.0,30.0,45.0,11.5711,39743
ENSEMBLE,2006-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,34.9691,35.0,28.0,42.0,10.9658,9502
ENSEMBLE,2006-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,34.5023,37.0,22.0,48.0,17.3581,159794
ENSEMBLE,2006-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,29.3545,30.0,15.0,43.0,17.2167,74425
ENSEMBLE,2006-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,41.6605,41.0,30.0,54.0,14.9807,9746
ENSEMBLE,2006-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
ENSEMBLE,2006-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
ENSEMBLE,2006-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,37.0201,36.0,23.0,50.0,18.041,5982
ENSEMBLE,2006-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,23.4505,23.0,14.0,32.0,13.2891,2353
ENSEMBLE,2006-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,9.8255,11.0,4.0,14.0,5.9748,1605
ENSEMBLE,2006-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,35.7578,22.0,15.0,49.0,30.9231,137884
ENSEMBLE,2006-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,44.3573,47.0,37.0,54.0,14.1806,48489
ENSEMBLE,2006-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,69.2398,71.0,65.0,76.0,9.6315,538
ENSEMBLE,2006-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
ENSEMBLE,2006-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,63.8501,66.0,53.0,76.0,15.6976,7870
ENSEMBLE,2006-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
ENSEMBLE,2006-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,23.7431,21.0,14.0,31.0,13.6065,12106
