MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
FILLED,2019-08-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,37.0314,36.0,28.0,46.0,14.173,668
FILLED,2019-08-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
FILLED,2019-08-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,77.461,77.0,61.0,94.0,23.795,39743
FILLED,2019-08-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,76.3305,79.0,62.0,93.0,21.6029,9502
FILLED,2019-08-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,110.3193,122.0,85.0,143.0,42.9199,159280
FILLED,2019-08-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,86.3131,93.0,44.0,128.0,46.012,74425
FILLED,2019-08-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,105.4778,114.0,85.0,136.0,38.5277,9746
FILLED,2019-08-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
FILLED,2019-08-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
FILLED,2019-08-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,77.9873,80.0,58.0,95.0,25.9059,5982
FILLED,2019-08-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,62.6783,64.0,50.0,76.0,19.8893,2353
FILLED,2019-08-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,61.5589,61.0,47.0,75.0,19.2234,1605
FILLED,2019-08-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,70.0397,30.0,15.0,141.0,73.0174,136108
FILLED,2019-08-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,134.1655,143.0,119.0,159.0,36.5175,48489
FILLED,2019-08-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,98.0502,98.5,91.0,110.0,15.7389,538
FILLED,2019-08-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
FILLED,2019-08-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,94.7252,99.0,73.0,114.0,27.4092,7870
FILLED,2019-08-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
FILLED,2019-08-01,5-054,5-054,ASH VALLEY,ASH VALLEY,94.4342,101.0,64.0,128.0,39.2775,12106
FILLED,2019-08-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
FILLED,2019-08-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,95.1961,101.0,76.0,114.0,21.2,1877
FILLED,2019-08-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,,,,,,0
FILLED,2019-08-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,,,,,,0
FILLED,2019-08-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,100.5529,106.0,96.0,112.0,16.9866,510
FILLED,2019-08-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,,,,,0
FILLED,2019-08-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,,,,,0
FILLED,2019-08-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,,,,,0
FILLED,2019-08-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,99.9744,98.0,92.0,107.0,10.1967,39
FILLED,2019-08-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,,,,,0
FILLED,2019-08-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,,,,,0
FILLED,2019-08-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,8.2745,7.0,6.0,11.0,3.8466,918
FILLED,2019-08-01,5-015,5-015,BIG VALLEY,BIG VALLEY,78.2186,76.0,54.0,99.0,33.4971,41040
FILLED,2019-08-01,5-004,5-004,BIG VALLEY,BIG VALLEY,93.198,103.0,57.0,128.0,42.3418,163109
FILLED,2019-08-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,34.2982,30.0,21.0,43.0,18.1728,7575
FILLED,2019-08-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,,,,,0
FILLED,2019-08-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,59.7389,57.0,48.0,70.0,15.4552,1130
FILLED,2019-08-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,,,,,,0
FILLED,2019-08-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,69.572,67.0,11.0,115.0,57.1697,16206
FILLED,2019-08-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,19.0,19.5,15.0,22.5,5.3229,12
FILLED,2019-08-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,,,,,0
FILLED,2019-08-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,102.6574,109.0,77.0,127.0,32.9038,4250
FILLED,2019-08-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,118.0824,123.0,108.0,133.0,21.7812,74902
FILLED,2019-08-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,21.7959,8.0,4.0,24.0,27.9433,7963
FILLED,2019-08-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,115.7304,120.0,85.0,150.0,41.0537,1324
