MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2025-09-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,3.3084,0.0,0.0,1.0,10.276,668
GEESEBAL,2025-09-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
GEESEBAL,2025-09-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,40.7413,40.0,28.0,53.0,16.3181,39743
GEESEBAL,2025-09-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,38.3812,38.0,28.0,49.0,14.7765,9502
GEESEBAL,2025-09-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,64.9106,71.0,47.0,89.0,28.7691,159280
GEESEBAL,2025-09-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,44.9527,46.0,24.0,67.0,25.8645,74425
GEESEBAL,2025-09-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,62.3831,63.0,50.0,78.0,18.3587,9746
GEESEBAL,2025-09-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
GEESEBAL,2025-09-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
GEESEBAL,2025-09-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,30.7304,29.0,16.0,41.0,15.8707,5982
GEESEBAL,2025-09-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,30.7527,30.0,18.0,42.0,15.7814,2353
GEESEBAL,2025-09-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,12.9632,14.0,6.0,19.0,8.2484,1605
GEESEBAL,2025-09-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,22.9229,2.0,0.0,28.0,36.5453,136108
GEESEBAL,2025-09-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,74.9111,77.0,59.0,92.0,20.9197,48489
GEESEBAL,2025-09-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,84.8829,85.0,77.0,91.0,10.4923,538
GEESEBAL,2025-09-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
GEESEBAL,2025-09-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,85.9778,90.0,69.0,104.0,24.7538,7870
GEESEBAL,2025-09-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
GEESEBAL,2025-09-01,5-054,5-054,ASH VALLEY,ASH VALLEY,61.401,68.0,37.0,86.0,26.9961,12106
GEESEBAL,2025-09-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
GEESEBAL,2025-09-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,91.1289,95.0,81.0,101.0,14.8011,1877
GEESEBAL,2025-09-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,,,,,,0
GEESEBAL,2025-09-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,,,,,,0
GEESEBAL,2025-09-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,39.8608,41.0,36.0,46.0,8.1706,510
GEESEBAL,2025-09-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,,,,,0
GEESEBAL,2025-09-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,,,,,0
