MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2015-08-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,37.0449,35.0,26.0,46.0,15.1176,668
PTJPL,2015-08-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
PTJPL,2015-08-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,86.1626,87.0,69.0,104.0,25.5184,39743
PTJPL,2015-08-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,97.8792,101.0,75.0,124.0,32.1144,9502
PTJPL,2015-08-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,94.7387,105.0,73.0,119.0,32.2406,159794
PTJPL,2015-08-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,77.3866,79.0,42.0,111.0,35.3143,74425
PTJPL,2015-08-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,80.8764,71.0,48.0,117.0,39.0423,9746
PTJPL,2015-08-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
PTJPL,2015-08-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
PTJPL,2015-08-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,80.5316,79.0,58.0,100.0,28.0497,5982
PTJPL,2015-08-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,94.0055,93.0,86.0,101.0,10.0782,2353
PTJPL,2015-08-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,35.9888,36.0,31.0,41.0,9.175,1605
PTJPL,2015-08-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,74.8744,49.0,18.0,133.0,61.6517,137884
PTJPL,2015-08-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,100.6305,109.0,90.0,120.0,26.7564,48489
PTJPL,2015-08-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,91.4517,94.0,89.0,98.0,9.5028,538
PTJPL,2015-08-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
PTJPL,2015-08-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,95.4311,103.0,75.0,118.0,29.2189,7870
PTJPL,2015-08-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
PTJPL,2015-08-01,5-054,5-054,ASH VALLEY,ASH VALLEY,98.9769,108.0,81.0,120.0,27.3322,12106
PTJPL,2015-08-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
PTJPL,2015-08-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,68.065,62.0,43.0,94.0,25.3382,1877
PTJPL,2015-08-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,133.2597,133.0,128.0,138.0,7.5532,620
PTJPL,2015-08-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,93.5753,97.0,92.0,100.0,11.6512,219
PTJPL,2015-08-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,21.3412,20.0,18.0,24.0,4.5677,510
PTJPL,2015-08-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,,,,,0
PTJPL,2015-08-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,,,,,0
PTJPL,2015-08-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,,,,,0
PTJPL,2015-08-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,141.359,141.0,139.0,143.0,3.301,39
PTJPL,2015-08-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,,,,,0
PTJPL,2015-08-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,,,,,0
PTJPL,2015-08-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,14.4368,15.0,13.0,16.0,3.4813,918
PTJPL,2015-08-01,5-015,5-015,BIG VALLEY,BIG VALLEY,87.3796,92.0,51.0,121.0,38.1156,41040
PTJPL,2015-08-01,5-004,5-004,BIG VALLEY,BIG VALLEY,75.7165,81.0,38.0,109.0,36.5081,163109
PTJPL,2015-08-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,30.3389,16.0,13.0,26.0,30.8483,7575
PTJPL,2015-08-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,,,,,0
