MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SIMS,2024-12-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,13.2165,13.0,12.0,15.0,3.0578,642
SIMS,2024-12-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
SIMS,2024-12-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,19.3283,19.0,19.0,19.0,1.2206,39699
SIMS,2024-12-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,19.1256,19.0,19.0,19.0,0.9243,9494
SIMS,2024-12-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,20.2129,20.0,19.0,21.0,1.6865,159620
SIMS,2024-12-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,18.5638,19.0,18.0,20.0,1.5191,74348
SIMS,2024-12-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,18.5273,18.0,17.0,20.0,1.5245,9743
SIMS,2024-12-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
SIMS,2024-12-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
SIMS,2024-12-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,21.7151,20.0,19.0,25.0,3.2314,5956
SIMS,2024-12-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,18.0758,18.0,17.0,19.0,1.4541,2347
SIMS,2024-12-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,20.0492,20.0,19.0,21.0,1.6082,1605
SIMS,2024-12-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,14.8345,10.0,7.0,18.0,13.465,137630
SIMS,2024-12-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,32.7694,32.0,29.0,36.0,5.0096,48436
SIMS,2024-12-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,40.3903,40.0,39.0,42.0,2.6479,538
SIMS,2024-12-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
SIMS,2024-12-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,33.9911,39.0,28.0,43.0,12.1788,7783
SIMS,2024-12-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
SIMS,2024-12-01,5-054,5-054,ASH VALLEY,ASH VALLEY,15.5588,15.0,15.0,16.0,1.0523,12105
SIMS,2024-12-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
SIMS,2024-12-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,30.8166,32.0,28.0,33.0,3.7137,1876
SIMS,2024-12-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,42.0421,43.0,40.0,45.0,4.8643,618
SIMS,2024-12-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,32.7032,34.0,29.0,37.0,5.5368,219
SIMS,2024-12-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,24.251,25.0,24.0,25.0,1.432,510
SIMS,2024-12-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,,,,,0
SIMS,2024-12-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,,,,,0
SIMS,2024-12-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,,,,,0
SIMS,2024-12-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,21.5135,23.0,19.0,23.0,1.9949,37
SIMS,2024-12-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,,,,,0
SIMS,2024-12-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,,,,,0
