MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,33.8406,33.0,20.0,46.0,18.4766,27472
DISALEXI,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,8.2943,7.0,3.0,12.0,6.0991,27472
DISALEXI,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
DISALEXI,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
DISALEXI,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,18.4824,18.0,14.0,23.0,6.0966,23110
DISALEXI,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,58.5422,59.0,48.0,69.0,13.3605,27448
DISALEXI,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,88.1341,89.0,77.0,101.0,15.8468,27472
DISALEXI,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,108.8381,113.0,97.0,124.5,21.2677,27472
DISALEXI,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,123.9717,129.0,99.0,152.0,36.6487,27472
DISALEXI,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,143.1094,145.0,120.0,173.0,36.6834,27419
DISALEXI,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,122.0153,126.0,102.0,145.0,28.2668,27472
DISALEXI,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,66.3,66.0,52.0,81.0,20.5221,27472
DISALEXI,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,45.7228,46.0,39.0,53.0,9.8626,27472
DISALEXI,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,12.3513,10.0,8.0,17.0,6.2974,27418
DISALEXI,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,1.281,0.0,0.0,0.0,3.2649,27344
DISALEXI,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,16.1117,15.0,13.0,19.0,4.8033,27472
DISALEXI,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.8501,24.0,20.0,29.0,6.9344,27472
DISALEXI,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,40.0943,39.0,33.0,46.0,9.8038,24827
DISALEXI,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,61.3687,61.0,51.0,70.0,14.1382,27380
DISALEXI,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,95.9429,99.0,85.0,108.0,16.6163,27472
DISALEXI,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,90.1185,91.0,72.0,111.0,25.7153,27472
DISALEXI,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,148.2006,158.0,122.0,183.0,44.7399,27472
DISALEXI,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,111.923,113.0,87.0,141.0,39.8146,27472
