MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,50.3816,51.0,28.0,71.0,26.5535,36364
EEMETRIC,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,20.3953,20.0,12.0,28.0,10.9628,36364
EEMETRIC,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
EEMETRIC,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
EEMETRIC,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,26.7889,27.0,20.0,34.0,10.6902,30830
EEMETRIC,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,86.8358,88.0,77.0,99.0,17.253,36291
EEMETRIC,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,98.1873,100.0,91.0,107.0,14.1759,36364
EEMETRIC,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,127.2552,131.0,121.0,138.0,17.5315,36364
EEMETRIC,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,130.165,136.0,117.0,149.0,27.6492,36364
EEMETRIC,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,160.8712,166.0,141.0,188.0,34.729,35725
EEMETRIC,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,130.5277,133.0,112.0,151.0,26.6273,36364
EEMETRIC,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,80.6389,81.0,66.0,97.0,21.0099,36364
EEMETRIC,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,51.8664,54.0,41.0,64.0,15.216,36364
EEMETRIC,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,27.5227,28.0,21.0,35.0,10.565,36354
EEMETRIC,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,11.0532,4.0,0.0,20.0,13.7872,36337
EEMETRIC,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,30.3636,32.0,21.0,41.0,14.0167,36364
EEMETRIC,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,41.8659,43.0,31.0,54.0,16.209,36364
EEMETRIC,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,68.3667,69.0,60.0,78.0,15.214,33229
EEMETRIC,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,68.2029,70.0,59.0,79.0,16.0936,36175
EEMETRIC,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,114.2106,117.0,109.0,123.0,14.485,36341
EEMETRIC,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,127.6282,132.0,120.0,140.0,18.3831,36364
EEMETRIC,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,166.0827,177.0,146.0,196.0,43.6309,36364
EEMETRIC,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,136.5514,142.0,116.0,164.0,37.5293,36364
