MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,49.1956,50.0,36.0,61.0,18.6105,36364
ENSEMBLE,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,22.4455,23.0,20.0,26.0,6.9387,36364
ENSEMBLE,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
ENSEMBLE,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
ENSEMBLE,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,29.6196,29.0,27.0,33.0,4.7293,30830
ENSEMBLE,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,76.4631,77.0,70.0,83.0,10.3154,36292
ENSEMBLE,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,93.0599,94.0,85.0,102.0,12.64,36364
ENSEMBLE,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,124.8459,127.0,117.0,136.0,15.269,36364
ENSEMBLE,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,132.3664,137.0,119.0,150.0,24.348,36364
ENSEMBLE,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,148.244,150.0,128.0,171.0,28.7365,36277
ENSEMBLE,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,126.2113,128.0,107.0,146.0,22.7897,36364
ENSEMBLE,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,88.0959,90.0,76.0,102.0,16.2355,36364
ENSEMBLE,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,47.775,49.0,40.0,54.0,9.5602,36364
ENSEMBLE,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,29.3618,28.0,26.0,33.0,5.8971,36357
ENSEMBLE,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,21.0515,19.0,17.0,23.0,6.2161,36312
ENSEMBLE,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,25.6931,27.0,20.0,30.0,6.6848,36364
ENSEMBLE,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.329,39.0,31.0,43.0,8.1117,36364
