MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,9.7042,1.0,0.0,17.0,13.2443,36348
GEESEBAL,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,9.5039,11.0,0.0,17.0,8.5994,36360
GEESEBAL,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
GEESEBAL,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
GEESEBAL,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,8.8043,7.0,4.0,14.0,6.4608,30820
GEESEBAL,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,45.0821,45.0,40.0,51.0,8.5724,36290
GEESEBAL,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,40.8543,33.0,26.0,38.0,25.5197,36364
GEESEBAL,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,156.217,160.0,151.0,164.0,18.331,36364
GEESEBAL,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,164.5139,170.0,156.0,178.0,19.2263,36364
GEESEBAL,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,194.6533,206.0,180.0,211.0,26.3321,36266
GEESEBAL,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,146.6792,151.0,136.0,162.0,19.495,36364
GEESEBAL,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,99.0737,102.0,89.0,114.0,19.8473,36364
GEESEBAL,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.9508,37.0,34.0,39.0,4.0612,36363
GEESEBAL,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,5.2972,4.0,2.0,7.0,4.0817,36326
GEESEBAL,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,2.4941,0.0,0.0,5.0,3.3182,36291
GEESEBAL,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,12.8994,13.0,12.0,14.0,2.1372,36343
GEESEBAL,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,21.1683,21.0,18.0,24.0,5.3949,36356
GEESEBAL,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,50.493,52.0,43.0,58.0,11.0572,33390
GEESEBAL,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,76.715,78.0,72.0,81.0,19.7694,36269
GEESEBAL,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,144.4831,146.0,142.0,149.0,6.4952,36364
GEESEBAL,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,159.2869,162.0,157.0,165.0,10.506,36364
GEESEBAL,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,182.1203,198.0,188.0,201.0,39.7761,36363
GEESEBAL,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,142.201,152.0,128.0,167.0,38.5232,36364
GEESEBAL,2005-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,81.7463,87.0,61.0,104.0,26.8779,36364
GEESEBAL,2005-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,33.8286,34.0,28.0,41.0,11.1773,36363
GEESEBAL,2005-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,6.1796,6.0,4.0,8.0,2.7597,36328
GEESEBAL,2005-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,12.0884,10.0,1.0,21.0,10.9691,11700
GEESEBAL,2006-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,6.6678,6.0,2.0,11.0,5.2515,11354
GEESEBAL,2006-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,2.2965,2.0,0.0,4.0,2.6178,36361
GEESEBAL,2006-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,7.1961,4.0,0.0,9.0,8.8412,36362
GEESEBAL,2006-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,74.8747,61.0,56.0,103.0,27.7037,36364
