MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.9502,36.0,35.0,38.0,6.6681,36364
PTJPL,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.6396,39.0,35.0,42.0,9.4898,36364
PTJPL,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
PTJPL,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
PTJPL,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,30.2583,30.0,29.0,32.0,2.3271,30823
PTJPL,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,61.3651,61.0,58.0,64.0,4.6962,36291
PTJPL,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,67.9874,67.0,64.0,70.0,5.284,36364
PTJPL,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,101.9863,100.0,96.0,106.0,7.8249,36364
PTJPL,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,109.878,109.0,106.0,113.0,6.5092,36364
PTJPL,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,124.538,123.0,117.0,129.0,10.9327,36277
PTJPL,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,103.2974,102.0,97.0,108.0,7.8835,36364
PTJPL,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,93.5556,97.0,84.0,101.0,12.0654,36364
PTJPL,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.903,35.0,34.0,37.0,3.8718,36364
PTJPL,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,34.2098,32.0,30.0,37.0,6.4146,36346
PTJPL,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,33.2928,36.0,26.0,38.0,6.5111,36297
PTJPL,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,17.1727,17.0,16.0,18.0,1.7006,36364
PTJPL,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,29.7592,29.0,28.0,32.0,2.7945,36364
PTJPL,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,47.7532,47.0,45.0,50.0,5.2258,33463
PTJPL,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,45.9207,45.0,44.0,48.0,15.3947,36269
PTJPL,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,91.3158,91.0,88.0,94.0,6.4572,36364
PTJPL,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,96.9563,96.0,93.0,99.0,5.7258,36364
PTJPL,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,116.8479,116.0,113.0,120.0,7.8247,36364
PTJPL,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,105.8313,106.0,99.0,111.0,8.7968,36364
PTJPL,2005-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,101.1744,104.0,99.0,108.0,12.285,36364
PTJPL,2005-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,54.0273,55.0,50.0,58.0,5.5127,36364
PTJPL,2005-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,31.8863,34.0,30.0,35.0,4.1287,36364
PTJPL,2005-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.404,38.0,37.0,38.0,0.9771,13699
PTJPL,2006-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.4028,22.0,22.0,28.0,3.3582,13256
PTJPL,2006-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,31.7052,32.0,30.0,33.0,2.3643,36364
PTJPL,2006-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,39.0539,40.0,37.0,42.0,4.4702,36364
PTJPL,2006-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,76.6899,76.0,73.0,79.0,5.0296,36364
PTJPL,2006-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,112.5745,112.0,108.0,116.0,6.6354,36364
PTJPL,2006-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,120.3185,119.0,116.0,123.0,6.7405,36364
PTJPL,2006-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,118.6489,117.0,113.0,123.0,8.5304,36364
PTJPL,2006-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,103.2437,103.0,100.0,106.0,6.6064,36364
PTJPL,2006-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,77.2293,77.0,73.0,81.0,6.7513,36364
PTJPL,2006-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,50.4906,50.0,48.0,53.0,3.9637,36364
PTJPL,2006-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,40.6753,44.0,42.0,45.0,7.9667,36253
PTJPL,2006-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.3265,25.0,23.0,26.0,5.2056,36359
PTJPL,2007-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,22.3771,22.0,21.0,23.0,1.7083,36351
PTJPL,2007-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,25.6318,25.0,24.0,27.0,3.2442,36364
PTJPL,2007-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,63.3915,62.0,59.0,66.0,6.0458,36364
PTJPL,2007-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,88.7176,88.0,85.0,92.0,5.6355,36364
PTJPL,2007-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,116.6065,116.0,112.0,119.0,7.1077,36257
PTJPL,2007-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,113.515,113.0,110.0,116.0,7.43,36364
PTJPL,2007-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,113.0797,116.0,106.0,121.0,13.0858,35914
PTJPL,2007-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,105.5693,105.0,100.0,110.0,8.2402,36165
PTJPL,2007-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,80.0914,80.0,77.0,82.0,5.4189,36364
