MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SIMS,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,82.5216,87.0,72.0,96.0,14.9795,35184
SIMS,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.432,36.0,35.0,36.0,1.9685,35184
SIMS,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SIMS,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SIMS,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,47.3625,48.0,47.0,49.0,2.2289,29853
SIMS,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,105.6806,109.0,104.0,112.0,9.658,35112
SIMS,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,106.4423,110.0,105.0,112.0,9.7835,35184
SIMS,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,134.6648,139.0,132.0,143.0,13.9173,35184
SIMS,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,139.5221,147.0,134.0,155.0,24.5274,35184
SIMS,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,146.5566,153.0,128.0,174.0,35.5064,35125
SIMS,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,126.8431,135.0,108.0,149.0,27.2977,35184
SIMS,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,94.6514,100.0,84.0,110.0,19.177,35184
SIMS,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,64.6112,67.0,61.0,71.0,8.21,35184
