MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,70.7704,73.0,51.0,94.0,25.9348,36364
SSEBOP,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,21.7559,22.0,17.0,27.0,7.0252,36364
SSEBOP,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SSEBOP,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
SSEBOP,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,40.9243,42.0,36.0,47.0,7.394,30823
SSEBOP,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,93.7814,98.0,83.0,108.0,18.2523,36291
SSEBOP,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,98.0492,102.0,90.0,111.0,17.5437,36364
SSEBOP,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,117.3375,122.0,107.0,134.0,23.3444,36364
SSEBOP,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,124.3477,132.0,111.0,147.0,32.9867,36364
SSEBOP,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,126.2341,129.0,101.0,157.0,38.2945,36277
SSEBOP,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,107.3743,111.0,82.0,135.0,33.1923,36364
SSEBOP,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,82.6083,85.0,65.0,101.0,21.6453,36364
SSEBOP,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,52.9768,54.0,44.0,63.0,11.936,36364
SSEBOP,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36.6206,38.0,32.0,42.0,7.4616,36346
SSEBOP,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,29.3381,30.0,26.0,34.0,6.1525,36297
SSEBOP,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.1788,38.0,32.0,43.0,7.5383,36364
SSEBOP,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,49.0051,51.0,42.0,57.0,10.4675,36364
SSEBOP,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,78.961,83.0,68.0,93.0,17.6554,33463
SSEBOP,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,83.0546,88.0,74.0,96.0,17.112,36269
SSEBOP,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,105.8436,111.0,98.0,121.0,21.531,36364
SSEBOP,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,114.4611,119.0,105.0,130.0,21.5067,36364
SSEBOP,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,152.9251,161.0,135.0,180.0,39.473,36364
SSEBOP,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,124.1827,126.0,101.0,152.0,35.2241,36364
SSEBOP,2005-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,86.0151,86.0,65.0,109.0,26.7328,36364
