MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2019-01-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,18.3481,17.0,11.0,24.0,10.3442,37173
DISALEXI,2019-01-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,18.3514,18.0,13.0,24.0,7.666,128401
DISALEXI,2019-01-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,21.775,22.0,19.0,25.0,5.9127,110021
DISALEXI,2019-01-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,21.3434,22.0,18.0,25.0,5.203,29117
DISALEXI,2019-01-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,20.6997,18.0,13.0,27.0,12.7589,33347
DISALEXI,2019-01-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,17.7489,18.0,14.0,22.0,6.0202,89935
DISALEXI,2019-01-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,16.8107,16.0,12.0,22.0,6.7788,29510
DISALEXI,2019-01-01,7-016,7-016,AMES VALLEY,AMES VALLEY,10.9525,10.0,6.0,15.0,7.1107,487562
DISALEXI,2019-01-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,9.6525,9.0,6.0,12.0,5.8718,584277
DISALEXI,2019-01-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,28.6364,29.0,25.0,33.0,6.1433,22322
DISALEXI,2019-01-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,17.2463,17.0,13.0,22.0,6.5909,38867
DISALEXI,2019-01-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,10.1092,9.0,7.0,13.0,4.4922,9175
DISALEXI,2019-01-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,12.9944,12.0,9.0,16.0,6.0306,4530054
DISALEXI,2019-01-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,19.0634,19.0,15.0,23.0,7.0211,89735
DISALEXI,2019-01-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,15.1612,12.0,6.0,24.0,12.1884,2915
DISALEXI,2019-01-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,22.0507,23.0,20.0,25.0,4.1105,217
DISALEXI,2019-01-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,14.9496,15.0,9.0,20.0,7.6009,17646
DISALEXI,2019-01-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,8.9962,8.0,6.0,11.0,4.629,1152269
DISALEXI,2019-01-01,5-054,5-054,ASH VALLEY,ASH VALLEY,,,,,,0
DISALEXI,2019-01-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,8.5277,7.0,4.0,11.0,6.6779,124166
DISALEXI,2019-01-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,21.3814,21.0,17.0,26.0,6.7607,8578
DISALEXI,2019-01-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,20.0129,17.0,9.0,30.0,13.3332,3334
DISALEXI,2019-01-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,25.8509,26.0,21.0,31.0,8.0279,21865
DISALEXI,2019-01-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,11.6886,11.0,9.0,14.0,3.9675,40934
DISALEXI,2019-01-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,11.7333,11.0,9.0,15.0,4.6157,3078
DISALEXI,2019-01-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,5.9025,5.0,2.0,8.0,6.3727,175679
DISALEXI,2019-01-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,8.8771,8.0,4.0,12.0,6.3748,402232
DISALEXI,2019-01-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,21.3485,21.0,17.0,26.0,5.4051,23511
DISALEXI,2019-01-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,24.2595,24.0,13.0,36.0,13.9416,22465
DISALEXI,2019-01-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,27.7916,29.0,24.0,32.0,5.7614,6897
DISALEXI,2019-01-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,15.2751,15.0,10.0,20.0,7.2647,32897
DISALEXI,2019-01-01,5-015,5-015,BIG VALLEY,BIG VALLEY,19.6563,19.0,16.0,23.0,5.3352,105211
DISALEXI,2019-01-01,5-004,5-004,BIG VALLEY,BIG VALLEY,19.2429,19.0,16.0,22.0,4.3666,212840
DISALEXI,2019-01-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,14.8263,13.0,3.0,24.0,12.9918,139802
DISALEXI,2019-01-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,8.7283,8.0,4.0,12.0,6.0984,136440
DISALEXI,2019-01-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,11.845,11.0,8.0,15.0,5.8207,9991
DISALEXI,2019-01-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,17.3519,18.0,14.0,21.0,5.4472,1512
DISALEXI,2019-01-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,6.512,4.0,1.0,9.0,7.9538,282155
DISALEXI,2019-01-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,4.9331,4.0,1.0,7.0,5.3955,405078
DISALEXI,2019-01-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,36.8029,38.0,34.0,40.0,5.2909,6201
DISALEXI,2019-01-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,16.0383,17.0,12.0,20.0,5.9094,27177
DISALEXI,2019-01-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,,,,,,0
DISALEXI,2019-01-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,6.5621,5.0,2.0,9.0,6.0325,2233899
DISALEXI,2019-01-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,23.4659,24.0,18.0,29.0,6.8405,8162
DISALEXI,2019-01-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,6.4461,5.0,2.0,9.0,5.5716,413068
DISALEXI,2019-01-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,3.1654,1.0,1.0,3.0,5.2326,97670
DISALEXI,2019-01-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,9.3721,7.0,4.0,12.0,8.9108,31076
DISALEXI,2019-01-01,6-101,6-101,BULL FLAT,BULL FLAT,14.3435,13.0,6.0,21.0,9.65,73280
DISALEXI,2019-01-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,14.8059,14.0,11.0,19.0,5.869,10377
DISALEXI,2019-01-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,14.3717,15.0,9.0,20.0,7.1463,12860
DISALEXI,2019-01-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,,,,,0
