MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2025-10-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,16.361,15.0,8.0,22.0,11.1965,37173
EEMETRIC,2025-10-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,8.1436,3.0,1.0,9.0,13.7066,179273
EEMETRIC,2025-10-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,37.1972,38.0,20.0,52.0,22.2645,110099
EEMETRIC,2025-10-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,27.8914,25.0,8.0,43.0,21.3532,29366
EEMETRIC,2025-10-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,33.4661,29.0,12.0,53.0,24.0168,505202
EEMETRIC,2025-10-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,24.0987,19.0,10.0,34.0,18.6107,288796
EEMETRIC,2025-10-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,54.6083,54.0,40.0,68.0,20.3403,30572
EEMETRIC,2025-10-01,7-016,7-016,AMES VALLEY,AMES VALLEY,15.2674,15.0,8.0,20.0,9.6418,487562
EEMETRIC,2025-10-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,1.7623,0.0,0.0,1.0,8.0287,584286
EEMETRIC,2025-10-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,46.6192,44.0,25.0,66.0,25.715,22366
EEMETRIC,2025-10-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,38.3381,37.0,19.0,56.0,23.8442,38900
EEMETRIC,2025-10-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,7.5913,6.0,1.0,11.0,7.7001,9175
EEMETRIC,2025-10-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,14.0903,9.0,6.0,16.0,15.4648,4537321
EEMETRIC,2025-10-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,37.8323,34.0,10.0,63.0,28.8864,89741
EEMETRIC,2025-10-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,57.3292,51.0,37.0,76.0,28.1122,3590
EEMETRIC,2025-10-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,42.0487,37.0,26.0,58.0,20.4103,3534
EEMETRIC,2025-10-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,44.9799,45.0,32.0,59.0,17.3389,17646
EEMETRIC,2025-10-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,3.6304,1.0,0.0,4.0,10.4897,1152313
EEMETRIC,2025-10-01,5-054,5-054,ASH VALLEY,ASH VALLEY,33.6415,25.0,16.0,49.0,23.1798,27015
EEMETRIC,2025-10-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,5.1095,4.0,1.0,8.0,4.8201,124166
EEMETRIC,2025-10-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,56.8664,54.0,42.0,72.0,18.2404,8980
EEMETRIC,2025-10-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,65.4367,65.0,53.0,77.0,18.5061,3025
EEMETRIC,2025-10-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,55.9536,52.0,37.0,74.0,25.5673,81015
EEMETRIC,2025-10-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,5.6264,3.0,0.0,10.0,6.7788,40934
EEMETRIC,2025-10-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,16.8189,10.0,2.0,22.0,20.9479,6191
EEMETRIC,2025-10-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,13.5113,13.0,5.0,18.0,11.4392,175679
EEMETRIC,2025-10-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,9.2899,6.0,3.0,12.0,9.8607,402232
EEMETRIC,2025-10-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,36.2323,34.0,21.0,50.0,19.8876,57592
EEMETRIC,2025-10-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,59.8896,59.0,47.0,72.0,18.1259,62624
EEMETRIC,2025-10-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,72.6697,80.0,55.0,95.0,26.6652,7582
EEMETRIC,2025-10-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,14.9677,15.0,10.0,19.0,6.7813,32897
