MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2018-05-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,42.5901,38.0,26.0,56.0,21.565,37173
ENSEMBLE,2018-05-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,13.1337,6.0,2.0,17.0,18.6803,179273
ENSEMBLE,2018-05-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,89.3557,89.0,58.0,123.0,38.1168,110099
ENSEMBLE,2018-05-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,67.5997,64.0,41.0,91.0,33.6033,29366
ENSEMBLE,2018-05-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,96.0762,94.0,76.0,119.0,27.3925,513210
ENSEMBLE,2018-05-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,87.1193,83.0,67.0,105.0,26.8062,305817
ENSEMBLE,2018-05-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,111.1919,119.0,93.0,137.0,32.6457,30572
ENSEMBLE,2018-05-01,7-016,7-016,AMES VALLEY,AMES VALLEY,5.9087,3.0,1.0,8.0,7.199,487562
ENSEMBLE,2018-05-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,5.7319,4.0,2.0,7.0,6.0546,584286
ENSEMBLE,2018-05-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,107.684,110.0,87.0,129.0,29.6128,22366
ENSEMBLE,2018-05-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,113.5752,123.0,98.0,134.0,27.0432,38900
ENSEMBLE,2018-05-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,12.7266,9.0,4.0,19.0,11.1031,9175
ENSEMBLE,2018-05-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,16.6939,10.4661,4.5098,20.4891,21.2405,4542513
ENSEMBLE,2018-05-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,80.4931,90.0,39.0,118.0,42.0405,89741
ENSEMBLE,2018-05-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,118.9053,123.0,106.0,134.0,19.2589,3590
ENSEMBLE,2018-05-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,82.6528,76.0,58.0,108.0,32.313,3534
ENSEMBLE,2018-05-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,78.2785,80.0,62.0,94.0,22.1442,17646
ENSEMBLE,2018-05-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,4.4311,3.0,1.0,5.0,8.0567,1152313
ENSEMBLE,2018-05-01,5-054,5-054,ASH VALLEY,ASH VALLEY,97.8632,99.0,84.0,113.0,19.3981,27015
ENSEMBLE,2018-05-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,5.2482,4.0,3.0,7.0,4.1116,124166
ENSEMBLE,2018-05-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,99.2476,103.0,90.5,111.0,15.9017,8980
ENSEMBLE,2018-05-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,94.0714,93.5,82.0,106.0,16.6079,3334
ENSEMBLE,2018-05-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,82.8426,81.0,55.0,99.0,40.8019,86226
