MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
FILLED,2023-04-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,68.9194,69.0,58.0,80.0,16.5727,37173
FILLED,2023-04-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,28.2069,19.0,5.0,42.0,30.5317,179273
FILLED,2023-04-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,89.2176,89.0,74.0,105.0,20.2104,110099
FILLED,2023-04-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,74.6138,76.0,61.0,90.0,22.914,29366
FILLED,2023-04-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,53.7673,50.0,39.0,64.0,21.7646,513210
FILLED,2023-04-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,51.7011,48.0,37.0,63.0,20.5306,305817
FILLED,2023-04-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,73.406,76.0,61.0,86.0,17.9036,30572
FILLED,2023-04-01,7-016,7-016,AMES VALLEY,AMES VALLEY,9.4709,6.0,2.0,13.0,10.4085,487562
FILLED,2023-04-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,5.8631,5.0,3.0,7.0,5.0077,584286
FILLED,2023-04-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,93.0183,93.0,83.0,104.0,15.0011,22366
FILLED,2023-04-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,107.4138,113.0,99.0,119.0,15.6321,38900
FILLED,2023-04-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,89.125,89.0,81.0,97.0,11.9202,9175
FILLED,2023-04-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,38.7335,32.0,22.0,50.0,23.828,4542646
FILLED,2023-04-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,49.2519,51.0,30.0,69.0,24.1116,89741
FILLED,2023-04-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,105.0373,107.0,93.0,118.0,16.134,3590
FILLED,2023-04-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,82.0897,76.0,62.0,103.0,25.4294,3534
FILLED,2023-04-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,81.8873,82.0,72.0,92.0,14.2589,17646
