MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2007-11-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,5.3728,5.0,4.0,6.0,3.5379,37089
GEESEBAL,2007-11-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,7.1771,5.0,0.0,13.0,7.8012,155539
GEESEBAL,2007-11-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,16.5345,17.0,9.0,22.0,9.1802,106306
GEESEBAL,2007-11-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,9.1735,8.0,6.0,12.0,5.5821,25544
GEESEBAL,2007-11-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,12.4286,13.0,9.0,16.0,5.8682,445404
GEESEBAL,2007-11-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,12.6054,13.0,10.0,16.0,5.0162,288447
GEESEBAL,2007-11-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,11.2951,9.0,6.0,16.0,7.5742,29546
GEESEBAL,2007-11-01,7-016,7-016,AMES VALLEY,AMES VALLEY,2.1036,0.0,0.0,2.0,3.9215,487246
GEESEBAL,2007-11-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,12.7571,12.0,5.0,19.0,9.2767,578055
GEESEBAL,2007-11-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,20.3256,20.0,12.0,28.0,11.1701,19357
GEESEBAL,2007-11-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,19.4052,20.0,11.0,29.0,10.725,36633
GEESEBAL,2007-11-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,13.8366,17.0,0.0,22.0,10.6415,9093
