MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
PTJPL,2015-06-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,39.1992,35.0,28.0,47.0,17.2171,37173
PTJPL,2015-06-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,21.7889,17.0,8.0,30.0,18.0999,179273
PTJPL,2015-06-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,109.4969,110.0,82.0,141.0,35.6381,110099
PTJPL,2015-06-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,92.9563,92.0,61.0,125.0,39.7653,29366
PTJPL,2015-06-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,93.3889,83.0,63.0,124.0,38.6169,513210
PTJPL,2015-06-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,90.7108,82.0,64.0,114.0,36.0328,305817
PTJPL,2015-06-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,114.3737,123.0,91.0,142.0,37.3234,30572
PTJPL,2015-06-01,7-016,7-016,AMES VALLEY,AMES VALLEY,8.1707,7.0,4.0,10.0,5.7446,487562
PTJPL,2015-06-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,4.4165,4.0,2.0,6.0,3.9978,584286
PTJPL,2015-06-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,107.2835,103.0,76.0,138.0,37.1262,22366
PTJPL,2015-06-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,140.7991,150.0,134.0,154.0,20.6139,38900
PTJPL,2015-06-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,51.7337,48.0,40.0,62.0,16.9963,9175
PTJPL,2015-06-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,21.9283,16.4713,10.5408,24.4772,23.3381,4542520
PTJPL,2015-06-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,105.6692,123.0,60.0,144.0,42.9281,89741
PTJPL,2015-06-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,111.1565,110.0,85.0,139.0,26.9421,3590
