MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2013-02-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,22.8972,21.0,11.0,32.0,15.6447,37173
SSEBOP,2013-02-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,3.0861,0.0,0.0,2.0,8.2747,152503
SSEBOP,2013-02-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,38.2908,38.0,31.0,46.0,11.7457,108743
SSEBOP,2013-02-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,34.8726,36.0,28.0,42.0,12.0649,26841
SSEBOP,2013-02-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,7.2452,5.0,2.0,11.0,7.0588,147666
SSEBOP,2013-02-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,,,,,,0
SSEBOP,2013-02-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,23.7499,23.0,15.0,32.0,11.8274,20162
SSEBOP,2013-02-01,7-016,7-016,AMES VALLEY,AMES VALLEY,1.7835,0.0,0.0,2.0,4.2189,487511
SSEBOP,2013-02-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,0.8584,0.0,0.0,0.0,3.0601,583942
SSEBOP,2013-02-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,46.0044,46.0,37.0,56.0,13.1331,20534
SSEBOP,2013-02-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,48.1731,52.0,47.0,55.0,10.2768,38709
SSEBOP,2013-02-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,42.984,43.0,37.0,49.0,10.7699,8565
SSEBOP,2013-02-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,5.4612,1.0,0.0,5.0,11.166,4536381
SSEBOP,2013-02-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,11.7748,9.0,3.0,18.0,10.9138,88038
SSEBOP,2013-02-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,45.1549,45.0,36.0,56.0,14.2155,3590
SSEBOP,2013-02-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,21.3214,19.0,9.0,32.0,14.7572,3339
SSEBOP,2013-02-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,44.5961,46.0,31.0,59.0,21.8429,17593
SSEBOP,2013-02-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,1.3602,0.0,0.0,1.0,3.2963,1146206
SSEBOP,2013-02-01,5-054,5-054,ASH VALLEY,ASH VALLEY,13.1562,1.0,0.0,40.5,18.179,64
SSEBOP,2013-02-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,1.1821,0.0,0.0,1.0,3.0656,124166
SSEBOP,2013-02-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,30.0079,30.0,24.0,36.0,9.4621,8114
SSEBOP,2013-02-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,29.5705,30.0,20.0,40.0,13.8396,3334
SSEBOP,2013-02-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,32.6313,30.0,17.0,40.0,22.4452,72816
SSEBOP,2013-02-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,31.3545,31.0,25.0,37.0,10.5773,39848
SSEBOP,2013-02-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,42.9575,43.0,34.0,50.0,12.9369,5860
SSEBOP,2013-02-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,0.7349,0.0,0.0,0.0,3.4805,175679
SSEBOP,2013-02-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,1.3687,0.0,0.0,1.0,3.8678,402232
SSEBOP,2013-02-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,61.7224,65.0,59.0,69.0,10.9687,57747
SSEBOP,2013-02-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,39.4709,41.0,30.0,51.0,15.998,58169
SSEBOP,2013-02-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,63.9988,67.0,62.0,69.0,9.3115,7376
SSEBOP,2013-02-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,35.5222,35.0,28.0,44.0,11.7924,28577
SSEBOP,2013-02-01,5-015,5-015,BIG VALLEY,BIG VALLEY,31.8702,32.0,24.0,40.0,12.7927,97536
