MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,43.797,44.0,30.0,58.0,20.0799,93484
DISALEXI,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,13.8405,13.0,8.0,19.0,8.5709,93501
DISALEXI,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
DISALEXI,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
DISALEXI,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,23.08,23.0,17.0,28.0,8.0766,79277
DISALEXI,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,69.8859,71.0,55.0,85.0,19.2498,91740
DISALEXI,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,96.582,98.0,81.0,114.0,23.0897,93573
DISALEXI,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,122.9272,124.0,102.0,149.0,32.3816,94379
DISALEXI,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,141.9881,144.0,109.0,179.0,45.5941,94418
DISALEXI,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,167.4354,172.0,132.0,207.0,47.5347,93963
DISALEXI,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,135.9843,141.0,112.0,163.0,33.5454,94310
DISALEXI,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,79.9385,79.0,59.0,102.0,28.0663,94192
DISALEXI,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,51.7071,52.0,43.0,59.0,13.0017,93389
DISALEXI,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,18.8104,17.0,9.0,25.0,11.6602,93341
DISALEXI,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,5.9148,3.0,0.0,10.0,7.2189,93013
DISALEXI,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,20.3253,19.0,15.0,25.0,7.3998,92889
DISALEXI,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,33.5664,33.0,25.0,41.0,11.0148,93276
DISALEXI,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,55.2727,55.0,41.0,70.0,17.8508,89896
