MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,57.0288,52.0,21.0,89.0,40.2744,174310
EEMETRIC,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,23.3767,23.0,9.0,37.0,16.0298,174310
EEMETRIC,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
EEMETRIC,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
EEMETRIC,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,25.2134,23.0,9.0,38.0,18.8791,148743
EEMETRIC,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,80.7057,83.0,56.0,108.0,39.8051,172585
EEMETRIC,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,88.5379,94.0,68.0,113.0,36.5861,174418
EEMETRIC,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,119.4043,124.0,94.0,145.0,41.0836,174418
EEMETRIC,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,133.4775,137.0,101.0,171.0,50.5598,174305
EEMETRIC,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,170.5517,175.0,132.0,216.0,59.3117,170315
EEMETRIC,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,137.3733,141.0,105.0,174.0,49.512,174418
EEMETRIC,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,83.538,83.0,57.0,110.0,38.2919,174418
EEMETRIC,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,50.5382,51.0,30.0,71.0,26.9943,174315
EEMETRIC,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,35.4145,34.0,20.0,52.0,19.7041,174155
EEMETRIC,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.3332,18.0,0.0,49.0,24.2716,172252
EEMETRIC,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,31.4706,31.0,12.0,50.0,22.2172,173911
EEMETRIC,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,42.8206,42.0,22.0,63.0,25.9221,174178
EEMETRIC,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,63.0764,64.0,42.0,84.0,31.4339,167129
EEMETRIC,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,68.3002,69.0,46.0,89.0,31.4146,173684
EEMETRIC,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,110.4592,115.0,91.0,132.0,35.0546,174328
EEMETRIC,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,124.1103,128.0,99.0,150.0,39.5817,174344
EEMETRIC,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,174.2925,182.0,134.0,226.0,66.5738,173632
EEMETRIC,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,149.5062,156.0,111.0,197.0,60.9983,173570
EEMETRIC,2005-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,100.3819,103.0,70.0,136.0,43.9159,174238
EEMETRIC,2005-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,60.5093,60.0,41.0,84.0,28.869,174057
EEMETRIC,2005-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.2228,22.0,12.0,36.0,15.1647,174361
EEMETRIC,2005-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,27.8154,32.0,21.0,37.0,11.3031,36900
EEMETRIC,2006-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,25.1984,24.0,18.0,35.0,11.7315,33536
EEMETRIC,2006-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,45.8672,44.0,24.0,65.0,27.6551,174418
EEMETRIC,2006-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,49.2846,50.0,30.0,72.0,26.4502,174292
EEMETRIC,2006-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,107.3013,111.0,86.0,135.0,38.3833,174292
