MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
ENSEMBLE,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,52.0289,54.0,41.0,64.0,17.2742,174384
ENSEMBLE,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,23.2783,23.0,19.0,28.0,6.6271,174383
ENSEMBLE,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
ENSEMBLE,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
ENSEMBLE,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,29.6511,30.0,25.0,34.0,7.561,149067
ENSEMBLE,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,74.5462,76.0,67.0,85.0,16.4344,173322
ENSEMBLE,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,87.3193,90.0,77.0,101.0,19.1695,174418
ENSEMBLE,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,127.1925,131.0,117.0,143.0,23.2446,174418
ENSEMBLE,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,138.6339,145.0,124.0,158.0,26.8909,174400
ENSEMBLE,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,163.4653,170.0,138.0,191.0,35.6997,173623
ENSEMBLE,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,133.6803,140.0,116.0,154.0,27.2942,174418
ENSEMBLE,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,96.9383,101.0,84.0,112.0,20.2623,174418
ENSEMBLE,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,48.1812,49.0,43.0,55.0,9.8024,174386
ENSEMBLE,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,32.2594,32.0,27.0,38.0,8.2249,174392
ENSEMBLE,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,23.5825,22.0,18.0,29.0,8.7885,173830
ENSEMBLE,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.8164,25.0,20.0,30.0,6.997,174404
ENSEMBLE,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,36.9336,38.0,32.0,43.0,9.2199,174414
ENSEMBLE,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,61.3592,64.0,54.0,71.0,13.8083,168643
ENSEMBLE,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,72.9053,75.0,62.0,85.0,17.9718,174157
ENSEMBLE,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,117.0104,120.0,108.0,130.0,18.6834,174418
ENSEMBLE,2005-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,124.8025,129.0,114.0,140.0,22.1578,174415
ENSEMBLE,2005-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,168.0546,177.0,151.0,193.0,36.0044,174339
ENSEMBLE,2005-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,142.6321,150.0,124.0,167.0,32.4645,174328
ENSEMBLE,2005-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,100.584,107.0,84.0,120.0,26.4818,174403
ENSEMBLE,2005-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,56.4943,58.0,49.0,65.0,11.8905,174288
ENSEMBLE,2005-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,26.0761,26.0,22.0,31.0,6.296,174416
ENSEMBLE,2005-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.431,25.0,21.0,29.0,6.581,50555
ENSEMBLE,2006-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,22.0924,22.0,19.0,26.0,5.0613,46499
ENSEMBLE,2006-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,39.0593,40.0,33.0,47.0,10.8139,174417
ENSEMBLE,2006-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,43.6475,45.0,37.0,52.0,12.0211,174418
ENSEMBLE,2006-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,95.3306,97.0,86.0,107.0,17.8642,174418
ENSEMBLE,2006-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,142.6033,145.0,132.0,159.0,22.989,174416
ENSEMBLE,2006-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,153.8193,161.0,137.0,177.0,31.8091,174353
ENSEMBLE,2006-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,160.5328,166.0,143.0,187.0,35.064,174410
ENSEMBLE,2006-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,143.282,149.0,122.0,169.0,34.4039,174418
ENSEMBLE,2006-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,108.5917,113.0,93.0,127.0,24.5474,174289
ENSEMBLE,2006-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,64.7979,67.0,55.0,76.0,16.1689,174409
ENSEMBLE,2006-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,32.6717,33.0,27.0,39.0,8.9667,173938
ENSEMBLE,2006-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,26.4979,27.0,22.0,32.0,7.2824,174086
ENSEMBLE,2007-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,28.7499,30.0,22.0,35.0,8.8015,174392
ENSEMBLE,2007-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,27.9691,29.0,23.0,33.0,7.4454,174414
ENSEMBLE,2007-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,73.5336,75.0,66.0,84.0,16.1642,174390
ENSEMBLE,2007-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,108.5982,112.0,100.0,121.0,18.9085,174417
ENSEMBLE,2007-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,154.8525,160.0,143.0,171.0,24.1062,173862
ENSEMBLE,2007-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,156.9226,165.0,142.0,181.0,32.9515,174343
ENSEMBLE,2007-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,154.507,163.0,136.0,180.0,35.9525,169666
ENSEMBLE,2007-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,151.9599,160.0,131.0,177.0,33.3521,171839
ENSEMBLE,2007-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,105.7853,112.0,93.0,122.0,22.7548,174414
ENSEMBLE,2007-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,67.4933,70.0,58.0,78.0,14.1337,150587
ENSEMBLE,2007-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
ENSEMBLE,2007-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
ENSEMBLE,2008-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,24.2789,25.0,19.0,29.0,7.4277,147173
ENSEMBLE,2008-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.8637,39.0,32.0,45.0,8.9652,174176
ENSEMBLE,2008-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,61.4231,64.0,55.0,70.0,13.1571,174416
ENSEMBLE,2008-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,102.9157,107.0,95.0,115.0,19.0147,174418
ENSEMBLE,2008-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,134.637,137.0,123.0,151.0,23.6067,174409
ENSEMBLE,2008-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,152.693,157.0,134.0,178.0,32.6466,174409
ENSEMBLE,2008-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,167.9548,178.0,140.0,202.0,42.0965,173880
ENSEMBLE,2008-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,149.7293,157.0,126.0,176.0,34.2015,160483
