MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
GEESEBAL,2003-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,17.464,17.0,1.0,30.0,14.5003,173458
GEESEBAL,2003-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,12.6289,13.0,4.0,20.0,9.303,173808
GEESEBAL,2003-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
GEESEBAL,2004-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,,,,,,0
GEESEBAL,2004-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,12.7231,13.0,6.0,18.0,7.6032,148516
GEESEBAL,2004-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,52.8376,54.0,42.0,66.0,16.1394,173283
GEESEBAL,2004-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,60.041,42.0,30.0,97.0,36.31,174417
GEESEBAL,2004-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,154.8951,161.0,147.0,166.0,24.5189,174418
GEESEBAL,2004-06-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,155.205,163.0,134.0,176.0,25.1007,174398
GEESEBAL,2004-07-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,195.4559,207.0,187.0,214.0,29.8088,173478
GEESEBAL,2004-08-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,149.9116,157.0,142.0,165.0,22.3894,174416
GEESEBAL,2004-09-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,109.3245,115.0,98.0,125.0,20.2244,174417
GEESEBAL,2004-10-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,37.3701,38.0,34.0,41.0,5.8533,174016
GEESEBAL,2004-11-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,10.1063,9.0,5.0,15.0,6.4733,173981
GEESEBAL,2004-12-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,2.814,1.0,0.0,6.0,3.7246,173087
GEESEBAL,2005-01-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,13.4278,14.0,12.0,16.0,3.3297,173289
GEESEBAL,2005-02-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,23.4968,24.0,19.0,28.0,6.7014,173704
GEESEBAL,2005-03-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,53.9896,57.0,46.0,65.0,14.461,168238
GEESEBAL,2005-04-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,77.5643,80.0,70.0,84.0,19.2612,174143
GEESEBAL,2005-05-01,1-001,1-001,SMITH RIVER PLAIN,SMITH RIVER PLAIN,144.6685,147.0,142.0,151.0,12.8225,174416
